projects/Chart6/source/org/jfree/chart/util/ShapeList.java134
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134SerialUtilities.writeShape(shape,stream);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134SerialUtilities.writeShape(this.shape,stream);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134stream.defaultWriteObject();
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134intcount=size();
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134intcount=this.size();
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134intcount=0;
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134intcount=size()-1;
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134SerialUtilities.writeShape(stream,stream);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134intcount=size()-1;intcount=size()-1;
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134intcount=size()-1;Integercount=size()-1;
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134intcount=size()-1;Intcount=size()-1;
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134intcount=1;
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134intcount=this.size()-1;
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134intcount=0;intcount=0;
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134intcount=0;Intcount=0;
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134stream.defaultWriteObject();stream.defaultWriteObject();
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134stream.defaultWriteObject();SerialUtilities.writeShape(this.shape,stream);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134stream.defaultWriteObject();SerialUtilities.writeShape(shape,stream);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134intcount=this.size();intcount=this.size();
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134intcount=this.size();Intcount=this.size();
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134stream.writeInt(-1);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134intcount=0;ObjectOutputStreamstream=SerialUtilities.writeShape(stream);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134intcount=0;ObjectOutputStreamstream=SerialUtilities.writeShape(stream,stream);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134stream.defaultWriteObject();SerialUtilities.writeShape(stream,stream);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134stream.defaultWriteObject();SerialUtilities.writeShape(stream);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134stream.writeObject(this);
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134intcount=length();
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134intcount=getSize();
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134intcount=size()-1;ObjectOutputStreamstream=size()-1;
projects/Chart6/source/org/jfree/chart/util/ShapeList.java134stream.defaultWriteObject();SerialUtilities.writeShape(this,stream);
