projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395doublelabelLinkMargin=0.0;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395doublelabelLinkMargin=0.0d;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395doublelabelLinkMargin=1.0;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395privatedoublelabelLinkMargin=0.025;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395privatedoublelabelLinkMargin=0.0;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395privatedoublelabelLinkMargin=1.0;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395doublelabelLinkMargin=0.025;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395privatedoublelabelLinkMargin=0.0;doublelabelLinkMargin=0.0;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395privatedoublelabelLinkMargin=0.0;Double.parseDouble(labelLinkMargin);
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395privatedoublelabelLinkMargin=0.0;Double.parseDouble(labelLinkMargin));
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395privatedoublelabelLinkMargin=1.0;doublelabelLinkMargin=1.0;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395privatedoublelabelLinkMargin=1.0;doublelabelLinkMargin=0.0;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395privatedoublelabelLinkMargin=1.0;DoublelabelLinkMargin=1.0;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395privatedoublelabelLinkMargin=1.0;doublelabelLinkMargin=Double.parseDouble("n");
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395privatedoublelabelLinkMargin=0.0;this.labelLinkMargin=0.0;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395privatedoublelabelLinkMargin=0.0;this.labelLinkMargin=1.0;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395privatedoublelabelLinkMargin=0.0;doublelabelLinkMargin=1.0;
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395privatedoublelabelLinkMargin=0.0;doublelabelLinkMargin=Math.max(0.0,labelLineMargin);
projects/Chart15/source/org/jfree/chart/plot/PiePlot.java395privatedoublelabelLinkMargin=1.0;PiePlotplot=getPlot();
