bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number	this_action
1	[BUG]  [BUGGY]  Throwable  t  =  args[rawType.getCause();  [CE]  ']'  expected  [FE]                    ClassCastException      [CONTEXT]        throw  new  RuntimeException(     "Failed  to  invoke       "  +  constructor  +       "  with  no  args     ",  e.getTargetException());  }  catch  (IllegalAccessException  e)  {  throw  new  AssertionError(e);  }  }  };  }  catch  (NoSuchMethodException  e)  {      [BUGGY]  Throwable  t  =  args[rawType.getCause();  [BUGGY]      }  }  [CLASS]  ConstructorConstructor  1  2  3  4  5  6  7  8  9  10  11  12  [METHOD]  newDefaultConstructor  [RETURN_TYPE]  <T>  Class<?  super  T>  rawType  [VARIABLES]  UnsafeAllocator  unsafeAllocator  boolean  Constructor  constructor  Class  rawType  Map  instanceCreators  Object[]  args  InvocationTargetException  e  InstantiationException  e  IllegalAccessException  e  NoSuchMethodException  e  	projects/Gson3/gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java	0.24618298195866545	119	119	2	replace	Throwable  t  =  args[rawType.getCause();	  Throwable    t    =    rawType.getCause();    	non-compiled	[CE]  ']'  expected	8	None	replace
2	[BUG]  [BUGGY]  Throwable  t  =  this.rawType.getCause();  [CE]  cannot  find  symbol  rawType  [FE]                      ClassCastException      [CONTEXT]        throw  new  RuntimeException(     "Failed  to  invoke       "  +  constructor  +       "  with  no  args     ",  e.getTargetException());  }  catch  (IllegalAccessException  e)  {  throw  new  AssertionError(e);  }  }  };  }  catch  (NoSuchMethodException  e)  {      [BUGGY]  Throwable  t  =  this.rawType.getCause();  [BUGGY]      }  }  [CLASS]  ConstructorConstructor  1  2  3  4  5  6  7  8  9  10  11  12  [METHOD]  newDefaultConstructor  [RETURN_TYPE]  <T>  Class<?  super  T>  rawType  [VARIABLES]  UnsafeAllocator  unsafeAllocator  boolean  Constructor  constructor  Class  rawType  Map  instanceCreators  Object[]  args  InvocationTargetException  e  InstantiationException  e  IllegalAccessException  e  NoSuchMethodException  e  	projects/Gson3/gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java	0.24618298195866545	119	119	2	replace	Throwable  t  =  this.rawType.getCause();	  Throwable    t    =    rawType.getCause();    	non-compiled	[CE]  cannot  find  symbol  rawType	8	None	replace
3	[BUG]  [BUGGY]  Throwable  t  =  type.getCause();  [CE]  cannot  find  symbol  type  [FE]                        ClassCastException      [CONTEXT]        throw  new  RuntimeException(     "Failed  to  invoke       "  +  constructor  +       "  with  no  args     ",  e.getTargetException());  }  catch  (IllegalAccessException  e)  {  throw  new  AssertionError(e);  }  }  };  }  catch  (NoSuchMethodException  e)  {      [BUGGY]  Throwable  t  =  type.getCause();  [BUGGY]      }  }  [CLASS]  ConstructorConstructor  1  2  3  4  5  6  7  8  9  10  11  12  [METHOD]  newDefaultConstructor  [RETURN_TYPE]  <T>  Class<?  super  T>  rawType  [VARIABLES]  UnsafeAllocator  unsafeAllocator  boolean  Constructor  constructor  Class  rawType  Map  instanceCreators  Object[]  args  InvocationTargetException  e  InstantiationException  e  IllegalAccessException  e  NoSuchMethodException  e  	projects/Gson3/gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java	0.24618298195866545	119	119	2	replace	Throwable  t  =  type.getCause();	  Throwable    t    =    rawType.getCause();    	non-compiled	[CE]  cannot  find  symbol  type	8	None	replace
4	[BUG]  [BUGGY]  Throwable  t  =  args.getCause();  [CE]  cannot  find  symbol  args  [FE]                          ClassCastException      [CONTEXT]        throw  new  RuntimeException(     "Failed  to  invoke       "  +  constructor  +       "  with  no  args     ",  e.getTargetException());  }  catch  (IllegalAccessException  e)  {  throw  new  AssertionError(e);  }  }  };  }  catch  (NoSuchMethodException  e)  {      [BUGGY]  Throwable  t  =  args.getCause();  [BUGGY]      }  }  [CLASS]  ConstructorConstructor  1  2  3  4  5  6  7  8  9  10  11  12  [METHOD]  newDefaultConstructor  [RETURN_TYPE]  <T>  Class<?  super  T>  rawType  [VARIABLES]  UnsafeAllocator  unsafeAllocator  boolean  Constructor  constructor  Class  rawType  Map  instanceCreators  Object[]  args  InvocationTargetException  e  InstantiationException  e  IllegalAccessException  e  NoSuchMethodException  e  	projects/Gson3/gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java	0.24618298195866545	119	119	2	replace	Throwable  t  =  args.getCause();	  Throwable    t    =    rawType.getCause();    	non-compiled	[CE]  cannot  find  symbol  args	8	None	replace
5	[BUG]  [BUGGY]  Throwable  t  =  context.getCause();  [CE]  cannot  find  symbol  context  [FE]                            ClassCastException      [CONTEXT]        throw  new  RuntimeException(     "Failed  to  invoke       "  +  constructor  +       "  with  no  args     ",  e.getTargetException());  }  catch  (IllegalAccessException  e)  {  throw  new  AssertionError(e);  }  }  };  }  catch  (NoSuchMethodException  e)  {      [BUGGY]  Throwable  t  =  context.getCause();  [BUGGY]      }  }  [CLASS]  ConstructorConstructor  1  2  3  4  5  6  7  8  9  10  11  12  [METHOD]  newDefaultConstructor  [RETURN_TYPE]  <T>  Class<?  super  T>  rawType  [VARIABLES]  UnsafeAllocator  unsafeAllocator  boolean  Constructor  constructor  Class  rawType  Map  instanceCreators  Object[]  args  InvocationTargetException  e  InstantiationException  e  IllegalAccessException  e  NoSuchMethodException  e  	projects/Gson3/gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java	0.24618298195866545	119	119	2	replace	Throwable  t  =  context.getCause();	  Throwable    t    =    rawType.getCause();    	non-compiled	[CE]  cannot  find  symbol  context	8	None	replace
6	[BUG]  [BUGGY]  Throwable  t  =  constructor.getTargetException();  [CE]  cannot  find  symbol  constructor  [FE]          AssertionError      [CONTEXT]        throw  new  RuntimeException(     "Failed  to  invoke       "  +  constructor  +       "  with  no  args     ",  e.getTargetException());  }  catch  (IllegalAccessException  e)  {  throw  new  AssertionError(e);  }  }  };  }  catch  (NoSuchMethodException  e)  {      [BUGGY]  Throwable  t  =  constructor.getTargetException();  [BUGGY]      }  }  [CLASS]  ConstructorConstructor  1  2  3  4  5  6  7  8  9  10  11  12  [METHOD]  newDefaultConstructor  [RETURN_TYPE]  <T>  Class<?  super  T>  rawType  [VARIABLES]  UnsafeAllocator  unsafeAllocator  boolean  Constructor  constructor  Class  rawType  Map  instanceCreators  Object[]  args  InvocationTargetException  e  InstantiationException  e  IllegalAccessException  e  NoSuchMethodException  e  	projects/Gson3/gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java	0.24618298195866545	119	119	2	replace	Throwable  t  =  constructor.getTargetException();	  throw    new    AssertionError(       "       ");    Throwable    t    =    e.getTargetException();    	non-compiled	[CE]  cannot  find  symbol  constructor	95	None	replace
7	[BUG]  [BUGGY]  throw  new  AssertionError( "Missing  args: "  +  e.getTargetException());  [CE]  cannot  find  symbol  [FE]            AssertionError      [CONTEXT]        throw  new  RuntimeException(     "Failed  to  invoke       "  +  constructor  +       "  with  no  args     ",  e.getTargetException());  }  catch  (IllegalAccessException  e)  {  throw  new  AssertionError(e);  }  }  };  }  catch  (NoSuchMethodException  e)  {      [BUGGY]  throw  new  AssertionError( "Missing  args: "  +  e.getTargetException());  [BUGGY]      }  }  [CLASS]  ConstructorConstructor  1  2  3  4  5  6  7  8  9  10  11  12  [METHOD]  newDefaultConstructor  [RETURN_TYPE]  <T>  Class<?  super  T>  rawType  [VARIABLES]  UnsafeAllocator  unsafeAllocator  boolean  Constructor  constructor  Class  rawType  Map  instanceCreators  Object[]  args  InvocationTargetException  e  InstantiationException  e  IllegalAccessException  e  NoSuchMethodException  e  	projects/Gson3/gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java	0.24618298195866545	119	119	2	replace	throw  new  AssertionError( "Missing  args: "  +  e.getTargetException());	  throw    new    AssertionError(       "       ");    Throwable    t    =    e.getTargetException();    	non-compiled	[CE]  cannot  find  symbol	95	None	replace
8	[BUG]  [BUGGY]  Throwable  t  =  e.getMessage(),  e);  [CE]  ';'  expected  [FE]              ClassCastException      [CONTEXT]        throw  new  RuntimeException(     "Failed  to  invoke       "  +  constructor  +       "  with  no  args     ",  e.getTargetException());  }  catch  (IllegalAccessException  e)  {  throw  new  AssertionError(e);  }  }  };  }  catch  (NoSuchMethodException  e)  {      [BUGGY]  Throwable  t  =  e.getMessage(),  e);  [BUGGY]      }  }  [CLASS]  ConstructorConstructor  1  2  3  4  5  6  7  8  9  10  11  12  [METHOD]  newDefaultConstructor  [RETURN_TYPE]  <T>  Class<?  super  T>  rawType  [VARIABLES]  UnsafeAllocator  unsafeAllocator  boolean  Constructor  constructor  Class  rawType  Map  instanceCreators  Object[]  args  InvocationTargetException  e  InstantiationException  e  IllegalAccessException  e  NoSuchMethodException  e  	projects/Gson3/gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java	0.24618298195866545	119	119	2	replace	Throwable  t  =  e.getMessage(),  e);	  Throwable    t    =    e.getMessage();    	non-compiled	[CE]  ';'  expected	123	None	replace
9	[BUG]  [BUGGY]  Throwable  t  =  args[e.getMessage();  [CE]  ']'  expected  [FE]                ClassCastException      [CONTEXT]        throw  new  RuntimeException(     "Failed  to  invoke       "  +  constructor  +       "  with  no  args     ",  e.getTargetException());  }  catch  (IllegalAccessException  e)  {  throw  new  AssertionError(e);  }  }  };  }  catch  (NoSuchMethodException  e)  {      [BUGGY]  Throwable  t  =  args[e.getMessage();  [BUGGY]      }  }  [CLASS]  ConstructorConstructor  1  2  3  4  5  6  7  8  9  10  11  12  [METHOD]  newDefaultConstructor  [RETURN_TYPE]  <T>  Class<?  super  T>  rawType  [VARIABLES]  UnsafeAllocator  unsafeAllocator  boolean  Constructor  constructor  Class  rawType  Map  instanceCreators  Object[]  args  InvocationTargetException  e  InstantiationException  e  IllegalAccessException  e  NoSuchMethodException  e  	projects/Gson3/gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java	0.24618298195866545	119	119	2	replace	Throwable  t  =  args[e.getMessage();	  Throwable    t    =    e.getMessage();    	non-compiled	[CE]  ']'  expected	123	None	replace
10	[BUG]  [BUGGY]  Throwable  t  =  e.getMessage(),  e;  [CE]  incompatible  types  [FE]                  ClassCastException      [CONTEXT]        throw  new  RuntimeException(     "Failed  to  invoke       "  +  constructor  +       "  with  no  args     ",  e.getTargetException());  }  catch  (IllegalAccessException  e)  {  throw  new  AssertionError(e);  }  }  };  }  catch  (NoSuchMethodException  e)  {      [BUGGY]  Throwable  t  =  e.getMessage(),  e;  [BUGGY]      }  }  [CLASS]  ConstructorConstructor  1  2  3  4  5  6  7  8  9  10  11  12  [METHOD]  newDefaultConstructor  [RETURN_TYPE]  <T>  Class<?  super  T>  rawType  [VARIABLES]  UnsafeAllocator  unsafeAllocator  boolean  Constructor  constructor  Class  rawType  Map  instanceCreators  Object[]  args  InvocationTargetException  e  InstantiationException  e  IllegalAccessException  e  NoSuchMethodException  e  	projects/Gson3/gson/src/main/java/com/google/gson/internal/ConstructorConstructor.java	0.24618298195866545	119	119	2	replace	Throwable  t  =  e.getMessage(),  e;	  Throwable    t    =    e.getMessage();    	non-compiled	[CE]  incompatible  types	123	None	replace
