projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+1;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room*SHORT_WRITE;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+2;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=len;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=length;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=2;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=1;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=4;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=3;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room*SHORT_WRITE+1;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room*4;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room*2;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+3;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+4;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=1;_outputTail+=1;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=1;int_outputTail+=1;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=1;_outputTail+=2;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=1;Integer_outputTail+=1;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=1;Integer_outputTail=text.length();
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+2;_outputTail+=room+2;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+2;_outputTail+=space+2;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+2;int_outputTail+=room+2;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+2;_outputTail+=room+3;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+2;_outputTail+=room+1;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=space;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=lineno;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=2;_outputTail+=2;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=2;int_outputTail+=2;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=2;_outputTail+=2;this.writer.writeRawLong(text);
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=2;Integer_outputTail+=2;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=2;_outputTail+=2;}else{_outputTail+=2;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+1;_outputTail+=room+1;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+1;_outputTail+=space+1;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+1;int_outputTail+=room+1;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+1;_outputTail+=room+2;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room*SHORT_WRITE;_outputTail+=room*SHORT_WRITE;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room*SHORT_WRITE;int_outputTail+=room*SHORT_WRITE;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room*SHORT_WRITE;_outputTail+=space*SHORT_WRITE;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room*SHORT_WRITE;_outputTail+=Room*SHORT_WRITE;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=linen;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_writer.write(text);
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_writer.writeRawLong(text);
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_writer.write(text,0,room);
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_writer.writeLong(text);
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479writeRawLong(text);
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room*1;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+1;int_outputTail=room+1;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+1;Integer_outputTail=text.indexOf(room);
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room*3;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+2;Integer_outputTail+=room+2;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+2;int_outputTail=room+2;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=2;Integer_outputTail=text.indexOf('ufffd',room);
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=2;Integer_outputTail=text.indexOf('ufffd')+1;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=2;Integer_outputTail=text.indexOf('n',room);
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=2;int_outputTail=text.length();
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=1;TextUtilities.writeRawLong(text,_outputBuffer,_outputTail);
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=1;int_outputTail=text.length();
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=1;Integer_outputTail=TextUtilities.writeRawLong(text);
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=1;TextUtilities.writeRawLong(text,_outputTail);
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479TextUtilities.writeRawLong(text);
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479intlen=text.length();
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room*SHORT_WRITE;int_outputTail=room*SHORT_WRITE;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room*SHORT_WRITE;Integer_outputTail=text.length();
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479Integerqlen=text.length();
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room*SHORT_WRITE;if(room<SHORT_WRITE){_outputTail+=room*SHORT_WRITE;}else{writeRawLong(text);}
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room*SHORT_WRITE;if(room<SHORT_WRITE){_outputTail+=room*SHORT_WRITE;}else{_flushBuffer();}
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room*SHORT_WRITE;if(room<SHORT_WRITE){_outputTail+=room*SHORT_WRITE;}
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=2;Integer_outputTail=text.indexOf(room,_outputBuffer,_outputTail);
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=2;Integer_outputTail=text.indexOf(room,_outputBuffer,_outputTail);_outputTail+=2;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=2;Integer_outputTail=text.indexOf('ufffd',room);_outputTail+=2;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=2;Integer_outputTail=text.indexOf(room,_outputBuffer,0);_outputTail+=2;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+1;((_outputTail+room+1)>=_outputEnd)?text.substring(0,room+1):text.substring(0,room+1);
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+1;((_outputTail+room+1)>=_outputEnd)?Math.min(_outputBuffer.length,room+1):text;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+1;((_outputTail+room+1)>=_outputEnd)?text.length():SHORT_WRITE;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+2;((_outputTail+room+2)>=_outputEnd)?text.substring(0,room):text.substring(_outputBuffer,_outputTail);
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+2;((_outputTail+room+2)>_outputEnd)?_outputBuffer.getLength():SHORT_WRITE;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=room+2;((_outputTail+room+2)>=_outputEnd)?text.substring(0,room):text.substring(_outputTail+1,room);
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=Room.SHORT_WRITE;
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=1;Integer_outputTail=text.indexOf('ufffd',room);
projects/JacksonCore18/src/main/java/com/fasterxml/jackson/core/json/WriterBasedJsonGenerator.java479_outputTail+=1;Integer_outputTail=TextUtilities.writeRaw(text);
