compilation error,177,replace,[CE] cannot find symbol CONTINUED_FRACTION_NON_DIVERGENCE,throw new ConvergenceException(LocalizedFormats.CONTINUED_FRACTION_NAN_DIVERGENCE,   x); ,throw new ConvergenceException(LocalizedFormats.CONTINUED_FRACTION_NON_DIVERGENCE, x);
compilation error,177,replace,[CE] cannot find symbol CONTINUED_FIRACTION_NAN_DIVERGENCE,throw new ConvergenceException(LocalizedFormats.CONTINUED_FRACTION_NAN_DIVERGENCE,   x); ,throw new ConvergenceException(LocalizedFormats.CONTINUED_FIRACTION_NAN_DIVERGENCE, x);
compilation error,177,add,[CE] cannot find symbol scaleFactor,,  x = scaleFactor.doubleValue();
compilation error,177,add,[CE] cannot find symbol scaleFactor,,  x = scaleFactor.computeScale(x, hN);
compilation error,177,add,[CE] cannot find symbol scaleFactor,,  x = scaleFactor.evaluate(x, deltaN);
compilation error,177,add,[CE] ';' expected,,  x = scaleFactor.evaluate(x, deltaN));
compilation error,177,add,[CE] cannot find symbol scaleFactor,,  x = scaleFactor.scale();
compilation error,189,add,[CE] possible loss of precision,,  n = Math.abs(dPrev - dPrev);
compilation error,189,add,[CE] ';' expected,,  n = scaleFactor.evaluate(x, epsilon));
compilation error,189,add,[CE] possible loss of precision,,  n = Math.abs(hN - deltaN)% epsilon;
compilation error,189,add,[CE] possible loss of precision,,  n = Math.abs(dPrev - dPrev)/ epsilon;
compilation error,189,add,[CE] cannot find symbol scaleFactor,,  n = scaleFactor.evaluate(x, epsilon);
