projects/Closure36/src/com/google/javascript/jscomp/InlineVariables.java86callback.process(externs,root);
projects/Closure36/src/com/google/javascript/jscomp/InlineVariables.java86callback.process(externs,root,getFilterForMode());
projects/Closure36/src/com/google/javascript/jscomp/InlineVariables.java86callback.process(externs,root,aliasCandidates);
projects/Closure36/src/com/google/javascript/jscomp/InlineVariables.java86callback.process(root,externs);
projects/Closure36/src/com/google/javascript/jscomp/InlineVariables.java86callback.process(externs,root,inlineAllStrings);
projects/Closure36/src/com/google/javascript/jscomp/InlineVariables.java86callback.process(externs,root,this);
projects/Closure36/src/com/google/javascript/jscomp/InlineVariables.java86callback.process(externs,root,refInfo);
projects/Closure36/src/com/google/javascript/jscomp/InlineVariables.java86callback.process(externs,root,staleVars);
projects/Closure36/src/com/google/javascript/jscomp/InlineVariables.java86
projects/Closure36/src/com/google/javascript/jscomp/InlineVariables.java86callback.process(externs,root,callback);
projects/Closure36/src/com/google/javascript/jscomp/InlineVariables.java86callback.process(externs,root,false);
projects/Closure36/src/com/google/javascript/jscomp/InlineVariables.java86Callbackcallback=callback.process(externs,root);
