projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"true":"false");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"false");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(this.value?"true":"false");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"true");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"false");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(key?"true":"false");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"true");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(buffer?"true":"false");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"false");JsonWriterout=(JsonWriter)this.values.get(0);
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"false");JsonWriterout=(JsonWriter)this.value;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"false");JsonWriterout=junit.framework.ComparisonFailure(value);
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"false");JsonWriterout=junit.framework.ComparisonFailure();
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"false");junit.framework.ComparisonFailure:expected;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"false");JsonWriterout=(JsonWriter)null;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"false");junit.framework.ComparisonFailure:value;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"false");JsonWriterout=getWriter();
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"false");JsonWriterout=(JsonWriter)this.value;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"false");JsonWriterout=(JsonWriter)this.values.get(0);
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"false");JsonWriterout=junit.framework.ComparisonFailure(value);
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"false");JsonWriterout=junit.framework.ComparisonFailure();
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"false");junit.framework.ComparisonFailure:expected;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"false");JsonWriterout=(JsonWriter)null;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"false");JsonWriterout=(JsonWriter)super.value;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"false");JsonWriterout=getWriter();
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(this.value?"false":"true");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":",false");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?null:"false");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(this.value?"null":"false");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?null:"null");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(this.value?"null":"true");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"true");JsonWriterout=(JsonWriter)this.value;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"true");JsonWriterout=(JsonWriter)this.values.get(0);
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"true");JsonWriterout=junit.framework.ComparisonFailure(value);
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"true");junit.framework.ComparisonFailure:expected;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"true");JsonWriterout=junit.framework.ComparisonFailure();
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"true");JsonWriterout=(JsonWriter)null;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"true");JsonWriterout=(JsonWriter)super.value;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"true");JsonWriterout=getWriter();
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(this.value?"false":this.false);
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"null");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(this.value?"false":"false");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(this.value?"true":",false");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"true");JsonWriterout=(JsonWriter)this.values.get(0);
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"true");JsonWriterout=(JsonWriter)this.value;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"true");JsonWriterout=junit.framework.ComparisonFailure(value);
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"true");junit.framework.ComparisonFailure:expected;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"true");JsonWriterout=junit.framework.ComparisonFailure();
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"true");JsonWriterout=(JsonWriter)null;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"true");JsonWriterout=(JsonWriter)super.value;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"true");JsonWriterout=getWriter();
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467JsonWriterjunit.framework.ComparisonFailure=(JsonWriter)this.value;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467JsonWritervalue=(JsonWriter)this.values.get(0);
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467JsonWriterjunit.framework.ComparisonFailure:null;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467JsonWriterjunit.framework.ComparisonFailure:this.value;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467JsonWriterjunit.framework.ComparisonFailure:this;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467JsonWriterjunit.framework.ComparisonFailure:expected;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467JsonWriterjunit.framework.ComparisonFailure=(JsonWriter)super.value;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467JsonWritervalue=(JsonWriter)this.value;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write("null":"false");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"true");junit.framework.ComparisonFailure:value;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"true");junit.framework.ComparisonFailure:null;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"false");junit.framework.ComparisonFailure:value;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"false");JsonWriterout=junit.framework.ComparisonFailure(this);
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"null":"false");junit.framework.ComparisonFailure:null;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(this.value?"false":this.value);
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(this.value?false:"false");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"false");JsonWriterout=junit.framework.ComparisonFailure(null);
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"false");JsonWriterout=junit.framework.ComparisonFailure(false);
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"false");JsonWriterout=junit.framework.ComparisonFailure(this);
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467junit.framework.ComparisonFailure=JsonNull.createJsonNull();
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467JsonWriterjunit.framework.ComparisonFailure=(JsonWriter)null;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467JsonWriterjunit.framework.ComparisonFailure:value;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467JsonWriter.this.value=value;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"true");junit.framework.ComparisonFailure:value;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"false":"true");junit.framework.ComparisonFailure:false;
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write("false":"false");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467out.write(value?"true":value.false");
projects/Gson9/gson/src/main/java/com/google/gson/stream/JsonWriter.java467if(value==null){value=JsonNull.createJsonNull();}else{thrownewIllegalArgumentException("");}
