projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308h[3]=size.height;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308h[3]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308Size2Dsize=this.rightBlock.arrange(g2,c3);
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308Size2Dsize=this.rightBlock.arrange(g2,c3);w[3]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[3]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308h[2]=size.height;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308Size2Dsize=this.bottomBlock.arrange(g2,c3);
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308Size2Dsize=this.bottomBlock.arrange(g2,c2);
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[3]=size.height;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[4]=size.height;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[4]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308Size2Dsize=this.bottomBlock.arrange(g2,c1);
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308Size2Dsize=this.rightBlock.arrange(g2,c4);w[3]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[4]=size.height;w[4]=size.height;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[4]=size.height;w[4]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[4]=size.height;w[2]=size.height;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[3]=size.width;w[3]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[3]=size.width;w[2]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[3]=size.width;w[4]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308Size2Dsize=this.bottomBlock.arrange(g2,c4);
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308if(this.rightBlock!=null){Size2Dsize=this.rightBlock.arrange(g2,c3);w[3]=size.width;}
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308if(this.rightBlock!=null){Size2Dsize=this.leftBlock.arrange(g2,c3);w[3]=size.width;}
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308h[3]=size.width;h[3]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308h[3]=size.width;h[2]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308h[3]=size.width;w[3]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[3]=size.height;w[3]=size.height;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[3]=size.height;w[3]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[3]=size.height;w[2]=size.height;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308h[2]=size.height;h[2]=size.height;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308h[2]=size.height;h[3]=size.height;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308h[2]=size.height;h[2]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308Size2Dsize=this.rightBlock.arrange(g2,c4);
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[2]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308h[2]=size.height;w[2]=size.height;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[3]=size.width;w[3]=Size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308if(this.bottomBlock!=null){Size2Dsize=this.bottomBlock.arrange(g2,c3);w[3]=size.width;}
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308if(this.leftBlock!=null){Size2Dsize=this.rightBlock.arrange(g2,c3);w[3]=size.width;}
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[3]=size.height;w[3]=size.Height;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[4]=size.height;w[4]=size.Height;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[4]=size.height;w[4]=Size.height;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308h[2]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308if(this.bottomBlock!=null){Size2Dsize=this.bottomBlock.arrange(g2,c3);h[3]=size.width;}
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[2]=size.height;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308h[3]=size.width;h[4]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308if(this.bottomBlock!=null){RectangleConstraintc1=newRectangleConstraint(width-w[2],null,LengthConstraintType.FIXED,0.0,null,LengthConstraintType.NONE
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308if(this.bottomBlock!=null){RectangleConstraintc1=newRectangleConstraint(0.0,newRange(Math.min(w[2],maxW),maxW,LengthConstraintType.FIXED,0.0,null,LengthConstraintType.NONE
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308h[4]=size.height;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308if(this.bottomBlock!=null){RectangleConstraintc1=newRectangleConstraint(width-w[2],null,LengthConstraintType.FIXED,0.0,null,LengthConstraintType.NONE);Size2Dsize=this.bottomBlock.arrange(g2,
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java308w[3]=size.height;w[4]=size.height;
