patch is same with buggy,96,replace,, this.value  =(double)(value  /  2);  ,this.value =(double)(value / 2);
compilation error,96,replace,[CE] illegal start of expression, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2);  }  else  {  this.value  =(double)(this.value  /  2);  }  ,if(this.value > 0.0) {
patch is same with buggy,96,replace,, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2);  }  else  {  this.value  =(double)(this.value  /  2);  }  ,if(this.value > 0.0) { this.value =(double)(this.value / 2); } else { this.value =(double)(this.value / 2); }
compilation error,96,add,[CE] 'else' without 'if', ,if(this.value > 0.0) { this.value =(double)(this.value / 2.0); else { this.value =(double)(this.value / 2.0); }
compilation error,96,add,[CE] cannot find symbol, ,this.value = value / 7 + stroke.doubleValue();
compilation error,96,add,[CE] stroke has private access in Marker, ,this.stroke =(float)(this.value / 2.0);
compilation error,96,add,[CE] alpha has private access in Marker, ,this.alpha =(double)(value / 2);
patch is same with buggy,96,replace,, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  %  2.0);  }  ,if(this.value > 0.0) { this.value =(double)(this.value / 2.0); } else { this.value =(double)(this.value % 2.0); }
compilation error,96,replace,[CE] illegal start of expression, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  %  2.0);  }  ,if(this.value < value) { if(this.value > 0.0) { this.value =(double)(this.value / 2.0); } else { this.value =(double)(this.value % 2.0); }
compilation error,96,add,[CE] no suitable constructor found for Double(double,Stroke,Paint,Stroke,float), ,if(this.value!= value) { this.value = value * 4; } else { this.value = new Double(value, stroke, outlinePaint, outlineStroke, alpha); }
compilation error,96,add,[CE] no suitable constructor found for Double(double,Stroke,Stroke,Paint,float), ,if(this.value!= value) { this.value = value * 4; } else { this.value = new Double(value, stroke, outlineStroke, outlinePaint, alpha); }
patch is same with buggy,96,replace,, this.value  =  value  %  2  -  1;  ,this.value = value % 2 - 1;
compilation error,96,add,[CE] bad operand types for binary operator '/', ,this.value = stroke / outlineStroke;
patch is same with buggy,96,replace,, this.value  =(double)(value  /  2.0);  ,this.value =(double)(value / 2.0);
compilation error,96,replace,[CE] ')' expected, this.value  =(double)(value  /  2.0);  ,this.value =(double)(value / 2.0, outlineStroke);
patch is same with buggy,96,replace,, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  /  2.0);  }  ,if(this.value > 0.0) { this.value =(double)(this.value / 2.0); } else { this.value =(double)(this.value / 2.0); }
patch is same with buggy,96,replace,, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  /  2.0);  }  ,if(this.value > 0.0) { this.value =(double)(this.value / 2.0); } else { this.value =(double)(this.value / 2.0); }
patch is same with buggy,96,replace,, if(this.value  >  value)  {  this.value  =(double)(this.value  /  2);  }  else  {  this.value  =(double)(this.value  /  2);  }  ,if(this.value > value) { this.value =(double)(this.value / 2); } else { this.value =(double)(this.value / 2); }
patch is same with buggy,96,replace,, if(this.value  >  value)  {  this.value  =(double)(this.value  /  2);  }  else  {  this.value  =(double)(this.value  /  2);  }  ,if(this.value > value) { this.value =(double)(this.value / 2); } else { this.value =(double)(this.value / 2); }
compilation error,96,replace,[CE] illegal start of expression, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  %  2.0);  }  ,if(this.value > 0.0) { if(this.value > 0.0) { this.value =(double)(this.value / 2.0); } else { this.value =(double)(this.value / 2.0); }
patch is same with buggy,96,replace,, this.value  =(double)(this.value  /  2  -  1);  ,this.value =(double)(this.value / 2 - 1);
patch is same with buggy,96,replace,, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  /  2.0);  }  ,if(this.value > 0.0) { this.value =(double)(this.value / 2.0); } else { this.value =(double)(this.value / 2.0); }
compilation error,96,replace,[CE] illegal start of expression, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  /  2.0);  }  ,if(this.value < value) { if(this.value > 0.0) { this.value =(double)(this.value / 2.0); } else { this.value =(double)(this.value / 2.0); }
patch is same with buggy,96,replace,, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2);  }  else  {  this.value  =(double)(this.value  /  2);  }  ,if(this.value > 0.0) { this.value =(double)(this.value / 2); } else { this.value =(double)(this.value / 2); }
patch is same with buggy,96,replace,, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2);  }  else  {  this.value  =(double)(this.value  /  2);  }  , 
compilation error,96,add,[CE] illegal start of expression, ,if(this.value > 0.0) { this.value =(double)(this.value / 2);!= else { this.value =(double)(this.value / 2); }
compilation error,96,add,[CE] alpha has private access in Marker, ,this.alpha =(float)(value / 2.0);
compilation error,96,add,[CE] alpha has private access in Marker, ,this.alpha =(double)(value / 2.0);
compilation error,96,add,[CE] no suitable constructor found for Double(double,Stroke,Paint,Stroke,float), ,if(value < 0.5) { this.value = value * 2.0; } else { this.value = new Double(value, stroke, outlinePaint, outlineStroke, alpha); }
compilation error,96,add,[CE] no suitable constructor found for Double(double,Stroke,Paint,Stroke,float), ,if(value < 0.0) { this.value = value * 2.0; } else { this.value = new Double(value, stroke, outlinePaint, outlineStroke, alpha); }
compilation error,96,add,[CE] no suitable constructor found for Double(double,Stroke,Paint,Stroke,float), ,if(value < 0.0) { this.value = value * 1.5; } else { this.value = new Double(value, stroke, outlinePaint, outlineStroke, alpha); }
patch is same with buggy,96,replace,, this.value  =  value  %  20.0;  ,this.value = value % 20.0;
compilation error,96,replace,[CE] illegal start of expression, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  /  2.0);  }  ,if(this.value!= 0.0) { this.value =(double)(this.value / 2.0); if(this.value < 0.0) { this.value =(double)(this.value / 2.0); }
patch is same with buggy,96,replace,, this.value  =(double)(value  /  2);  , 
compilation error,96,add,[CE] cannot find symbol, ,if(this.value!= value) { this.value = value * 4; } else { this.value = outlinePaint.getPaint(); }
compilation error,96,replace,[CE] illegal start of expression, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  /  2.0);  }  ,if(this.value < 0.0) { if(this.value > 0.0) { this.value =(double)(this.value / 2.0); } else { this.value =(double)(this.value / 2.0); }
compilation error,96,replace,[CE] illegal start of expression, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  /  2.0);  }  ,if(this.value < 0.0) { if(this.value > 0.0) { this.value =(double)(this.value / 2.0); }
compilation error,96,replace,[CE] illegal start of expression, if(this.value  >  value)  {  this.value  =(double)(this.value  /  2);  }  else  {  this.value  =(double)(this.value  /  2);  }  ,if(this.value < value) { if(this.value > value) { this.value =(double)(this.value / 2); } else { this.value =(double)(this.value / 2); }
compilation error,96,add,[CE] not a statement, ,if(this.value > 0.0) { this.value =(double)(this.value / 2); figured else if(this.value!= 0.0) { this.value =(double)(this.value / 2); }
compilation error,96,add,[CE] not a statement, ,if(this.value > 0.0) { this.value =(double)(this.value / 2); figured else if(this.value < 0.0) { this.value =(double)(this.value / 2); }
compilation error,96,replace,[CE] illegal start of expression, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2);  }  else  {  this.value  =(double)(this.value  /  2);  }  ,if(this.value < 0.0) { this.value =(double)(this.value / 2); if(this.value!= 0.0) { this.value =(double)(this.value / 2); }
compilation error,96,replace,[CE] illegal start of expression, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2);  }  else  {  this.value  =(double)(this.value  /  2);  }  ,if(this.value < 0.0) { this.value =(double)(this.value / 2); if(this.value!= 0.0) { this.value =(double)(this.value / 2); } else { this.value =(double)(this.value / 2); }
compilation error,96,add,[CE] cannot find symbol, ,this.value = outlinePaint.get(outlineStroke);
patch is same with buggy,96,replace,, this.value  =  value  /  7;  , 
compilation error,96,add,[CE] bad operand types for binary operator '!=', ,if(this.value!= null) { this.value =(double)(value / 2); } else { this.value =(double)(value / 2); }
compilation error,96,add,[CE] bad operand types for binary operator '!=', ,if(this.value!= null) { this.value =(double)(value / 2); } else { this.value =(double)(value % 2); }
patch is same with buggy,96,replace,, this.value  =  value  %  20.0;  ,this.value = value % 20.0;
compilation error,96,add,[CE] cannot find symbol, ,if(outlinePaint!= null) { this.value = outlinePaint.getChars(0, outlineStroke, stroke); } else { this.value = value / 2; }
compilation error,96,add,[CE] illegal start of expression, ,if(this.value < 0.0) { this.value =(double)(this.value / 2.0); if(this.value!= 0.0) { this.value =(double)(this.value / 2.0); }
compilation error,96,add,[CE] illegal start of expression, ,if(this.value < 0.0) { this.value =(double)(this.value / 2.0); if(this.value!= 0.0) { this.value =(double)(this.value / 2.0); } else { this.value =(double)(this.value / 2.0); }
compilation error,96,add,[CE] cannot find symbol, ,if(outlinePaint!= null) { this.value = outlinePaint.getChars(0, outlineStroke, stroke, alpha); } else { this.value = value * Math.pow(10, outlineStroke, alpha); }
patch is same with buggy,96,replace,, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  /  2.0);  }  ,if(this.value > 0.0) { this.value =(double)(this.value / 2.0); } else { this.value =(double)(this.value / 2.0); }
compilation error,96,replace,[CE] illegal start of expression, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  %  2.0);  }  ,if(this.value > 0.0) { if(this.value > 0.0) { this.value =(double)(this.value / 2.0); }
patch is same with buggy,96,replace,, this.value  =(double)(value  /  2.0);  ,this.value =(double)(value / 2.0);
compilation error,96,replace,[CE] ')' expected, this.value  =(double)(value  /  2.0);  ,this.value =(double)(value / 2.0, outlineStroke, outlinePaint);
patch is same with buggy,96,replace,, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  /  2.0);  }  ,if(this.value > 0.0) { this.value =(double)(this.value / 2.0); } else { this.value =(double)(this.value / 2.0); }
compilation error,96,replace,[CE] illegal start of expression, if(this.value  >  0.0)  {  this.value  =(double)(this.value  /  2.0);  }  else  {  this.value  =(double)(this.value  /  2.0);  }  ,if(this.value > 0.0) { this.value =(double)(this.value / 2.0); if(this.value < 0.0) { this.value =(double)(this.value / 2.0); }
compilation error,96,add,[CE] illegal start of expression, ,if(this.value > 0.0) { this.value =(double)(this.value / 2); if(this.value < 0.0) { this.value =(double)(this.value / 2); }
compilation error,96,add,[CE] illegal start of expression, ,if(this.value > 0.0) { this.value =(double)(this.value / 2); if(this.value!= 0.0) { this.value =(double)(this.value / 2); }
patch is same with buggy,96,replace,, this.value  =(double)(this.value  /  2  -  1);  ,this.value =(double)(this.value / 2 - 1);
compilation error,96,add,[CE] cannot find symbol, ,if(outlineStroke!= null) { this.value = outlineStroke.get(stroke); } else { this.value = value / 7; }
