increase failing tests,248,replace, [FE] IllegalArgumentException testLANG805,int gap = end - start; ,int gap = end - 1;
increase failing tests,248,replace, [FE] ArrayIndexOutOfBoundsException testLANG805,int gap = end - start; ,int gap = end - start + 1;
increase failing tests,248,replace, [FE] IllegalArgumentException testLANG805,int gap = end - start; ,int gap = end - 2;
compilation error,248,replace,[CE] cannot find symbol gap,int gap = end - start; , 
compilation error,163,add,[CE] incompatible types,,  Random RANDOM = random(count, start, end, letters, numbers);
compilation error,163,add,[CE] cannot find symbol NumberOutput,,  Random RANDOM = NumberOutput.parseInt(count, start, end, letters, numbers);
compilation error,163,add,[CE] cannot find symbol NumberInput,,  Random RANDOM = NumberInput.parseAsString(count, start, end, letters, numbers);
increase failing tests,163,add, [FE] StackOverflowError testExceptions,,  random(count, start, end, letters, numbers);
increase failing tests,247,replace, [FE] ArrayIndexOutOfBoundsException testLANG805,char[] buffer = new char[count]; ,char[] buffer = new char[2];
increase failing tests,247,replace, [FE] ArrayIndexOutOfBoundsException testLANG805,char[] buffer = new char[count]; ,char[] buffer = new char[0];
increase failing tests,247,replace, [FE] ArrayIndexOutOfBoundsException testLANG805,char[] buffer = new char[count]; ,char[] buffer = new char[1];
increase failing tests,247,replace, [FE] ArrayIndexOutOfBoundsException testLANG805,char[] buffer = new char[count]; ,char[] buffer = new char[count - 1];
compilation error,247,replace,[CE] cannot find symbol buffer,char[] buffer = new char[count]; , 
compilation error,225,replace,[CE] cannot find symbol ch,if (count == 0) { ,if(( letters && Character.isLetter(ch)) ||(numbers && Character.isDigit(ch)) ||(!letters &&!numbers)) {
compilation error,225,replace,[CE] ')' expected,if (count == 0) { ,if(( letters && Character.isLetter(ch)||(numbers && Character.isDigit(ch)) ||(!letters &&!numbers)) {
compilation error,225,replace,[CE] cannot find symbol ch,if (count == 0) { ,if(( letters && Character.isLetter(ch)) ||(numbers && Character.isDigit(ch))) {
compilation error,225,replace,[CE] cannot find symbol ch,if (count == 0) { ,if(( letters && Character.isUpperCase(ch)) ||(numbers && Character.isLetter(ch)) ||(!letters &&!numbers)) {
compilation error,225,replace,[CE] illegal start of type,if (count == 0) { , 
compilation error,227,replace,[CE] ')' expected,} else if (count < 0) { ,} else if(count < less than 0) {
compilation error,227,replace,[CE] unreachable statement,} else if (count < 0) { , 
compilation error,252,replace,[CE] cannot find symbol,if (chars == null) { ,if(chars == null ||!chars.isDigit(ch)) {
compilation error,252,replace,[CE] cannot find symbol,if (chars == null) { ,if(chars == null ||!chars.isEmpty()) {
compilation error,252,replace,[CE] 'else' without 'if',if (chars == null) { , 
compilation error,234,add,[CE] cannot find symbol buffer,,  char ch = buffer[count - 1];
compilation error,234,add,[CE] cannot find symbol buffer,,  System.arraycopy(buffer, 0, chars, start, 0, count);
compilation error,234,add,[CE] cannot find symbol buffer,,  System.arraycopy(buffer, 0, chars, start, 0, chars.length);
compilation error,234,add,[CE] cannot find symbol buffer,,  char ch = buffer[count++];
compilation error,234,add,[CE] cannot find symbol buffer,,  System.arraycopy(buffer, start, buffer, 0, count);
compilation error,225,add,[CE] variable count is already defined in method random(int,int,int,boolean,boolean,char[],Random),,  int count = chars.length;
