projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204DatasetstatData=(Dataset)this.data.get(row);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204DatasetstatData=(Dataset)data.get(row);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204DatasetstatData=(Dataset)data.clone();
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204StatisticalCategoryDatasetstatData=(StatisticalCategoryDataset)data;
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204Datasetdata=getDataset(row,column);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204g2.setPaint(getItemPaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204DatasetstatData=(Dataset)this.data.get(row,column);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204g2.setPaint(getItemOutlinePaint(row,column));g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204g2.setPaint(getItemOutlinePaint(row,column));g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204DatasetstatData=(Dataset)this.data.clone();
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204g2.setPaint(getItemPaint(row,column));g2.setPaint(getItemPaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204g2.setPaint(getItemPaint(row,column));g2.setStroke(getItemStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204g2.setPaint(getItemPaint(row,column));g2.setPaint(getItemStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204Datasetdata=getDataset(row,column-1);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204Datasetdata=getDataset(row,column,pass);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204g2.setStroke(getItemStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204g2.setPaint(getItemOutlinePaint(row,column));g2.setPaint(getItemInlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204g2.setPaint(getItemPaint(row,column));g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java204g2.setPaint(getItemPaint(row,column));g2.setStroke(getItemOutlineStroke(row,column));
