projects/Closure79/src/com/google/javascript/jscomp/VarCheck.java90this.compiler=compiler;
projects/Closure79/src/com/google/javascript/jscomp/VarCheck.java90this.compiler=compilerinstanceofAbstractCompiler?(AbstractCompiler)compiler:compiler;
projects/Closure79/src/com/google/javascript/jscomp/VarCheck.java90this.compiler=compilerinstanceofAbstractCompiler?(AbstractCompiler)compiler:null;
projects/Closure79/src/com/google/javascript/jscomp/VarCheck.java90this.compiler=compilerinstanceofAbstractCompiler?compiler:(AbstractCompiler)compiler;
projects/Closure79/src/com/google/javascript/jscomp/VarCheck.java90this.compiler=compilerinstanceofAbstractCompilerInput?(AbstractCompilerInput)compiler:compiler;
projects/Closure79/src/com/google/javascript/jscomp/VarCheck.java90this.compiler=compilerinstanceofAbstractCompilerInput?(AbstractCompilerInput)compiler:null;
projects/Closure79/src/com/google/javascript/jscomp/VarCheck.java90
projects/Closure79/src/com/google/javascript/jscomp/VarCheck.java90if(compiler!=null){this.compiler=compiler;}else{Preconditions.checkState(compiler.getErrorLevel(JSError.make("",0,0,UNDEFINED_EXTERN_VAR_ERROR)
projects/Closure79/src/com/google/javascript/jscomp/VarCheck.java90if(compiler!=null){this.compiler=compiler;}else{Preconditions.checkState(compiler.getErrorLevel(JSError.make("",0,0,UNDEFINED_EXTERN_VAR_ERROR));
projects/Closure79/src/com/google/javascript/jscomp/VarCheck.java90if(compiler!=null){this.compiler=compiler;}else{Preconditions.checkState(compiler.getErrorLevel(JSError.make("",0,0,UNDEFINED_EXTERN_VAR_ERROR));}
projects/Closure79/src/com/google/javascript/jscomp/VarCheck.java90this.compiler=compilerinstanceofAbstractCompilerInput?(AbstractCompilerInput)compiler:newCompilerInput(compiler,sanityCheck);
projects/Closure79/src/com/google/javascript/jscomp/VarCheck.java90if(compiler!=null){this.compiler=compiler;}else{Preconditions.checkState(compiler.getErrorLevel(JSError.make("",0,0,UNDEFINED_EXTERN_VAR_ERROR)).
projects/Closure79/src/com/google/javascript/jscomp/VarCheck.java90if(compiler!=null){this.compiler=compiler;}else{CompilerInputsynthesizedExternsInput=compiler.getErrorInput(JSError.make("",0,0,UNDEFINED_EXTERN_VAR_ERROR
projects/Closure79/src/com/google/javascript/jscomp/VarCheck.java90if(compiler!=null){this.compiler=compiler;}else{CompilerInputsynthesizedExternsInput=compiler.getErrorInput(JSError.make("",0,0,UNDEFINED_EXTERN_VAR_ERROR)
projects/Closure79/src/com/google/javascript/jscomp/VarCheck.java90if(compiler!=null){this.compiler=compiler;}else{CompilerInputsynthesizedExternsInput=compiler.getErrorInput(JSError.make("",0,0,UNDEFINED_EXTERN_VAR_ERROR,
projects/Closure79/src/com/google/javascript/jscomp/VarCheck.java90if(compiler!=null){this.compiler=compiler;}else{CompilerInputsynthesizedExternsInput=compiler.getErrorInput(JSError.make("",0,0,UNDEFINED_EXTERN_VAR_ERR
projects/Closure79/src/com/google/javascript/jscomp/VarCheck.java90if(compiler!=null){this.compiler=compiler;}else{CompilerInputsynthesizedExternsInput=compiler.getErrorInput();this.sanityCheck=synthesizedExternsInput;}
projects/Closure79/src/com/google/javascript/jscomp/VarCheck.java90if(compiler!=null){this.compiler=compiler;}else{CompilerInputsynthesizedExternsInput=compiler.getErrorInput(JSError.make("[null],0,0,UNDEFINED_EXTERN_VAR_ERROR
