projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243DoublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation);dataArea,xAxisLocation;
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,yAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=rangeAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,yAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectX=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243NumberrectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243NumberrectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,column);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243NumberrectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,0);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243xAxisLocation=plot.getDomainAxisEdge();
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectX=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,0);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,state);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getRowCount(),dataArea,xAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=dataArea.getCategoryStart(column,getColumnCount(),rangeAxis,xAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=rangeAxis.getCategoryStart(column,getColumnCount(),dataArea,yAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243DoublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,column);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=rangeAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation);dataArea,xAxisLocation;
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243DoublerectY=rangeAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,dataArea);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,valueDelta);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243NumberrectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,domainAxisLabelGenerator);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectX=rangeAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243if(column<0){doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation);dataArea,xAxisLocation;}
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,0);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243DoublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,0);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243xAxisLocation=plot.getRangeAxisEdge();
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243yAxisLocation=plot.getDomainAxisEdge();
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,state.getBarWidth());
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243NumberrectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,itemMargin);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,column);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,bar);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243DoublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,dataArea);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getRowCount(),dataArea,xAxisLocation);doublerectY=domainAxis.getCategoryStart(column,getRowCount(),dataArea,xAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getRowCount(),dataArea,xAxisLocation);doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,uclip);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243xAxisLocation=rangeAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243NumberrectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,row);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation);dataArea,yAxisLocation;
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectX=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,column);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243DoublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,row);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,dataArea,0);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243NumberrectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,yAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,dataArea,domainAxisLabelGenerator);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243DoublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,bar);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=rangeAxis.getCategoryStart(column,getColumnCount(),dataArea,0);dataArea,0;
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243NumberrectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,dataArea);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243NumberrectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,bar);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getRowCount(),dataArea,xAxisLocation);doublerectY=rangeAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,plot,xAxisLocation,0);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,yAxisLocation,xAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectX=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,dataArea);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectX=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,dataArea.getHeight());
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243NumberrectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,dataArea.getHeight());
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243DoublerectY=rangeAxis.getCategoryStart(column,getColumnCount(),dataArea,yAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243DoublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation);dataArea,rectY;
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243DoublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,dataArea.getHeight());
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getRowCount(),dataArea,xAxisLocation);DoublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectX=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,1.0);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243NumberrectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,state);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243DoublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,0.0);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java243doublerectY=domainAxis.getCategoryStart(column,getColumnCount(),dataArea,xAxisLocation,dataArea,domainAxisLocation);
