bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]    OpenIntToDoubleHashMap  entries  =  new  OpenIntToDoubleHashMap(v.getValue());  [CE]  cannot  find  symbol  [CONTEXT]  public  OpenMapRealVector  ebeMultiply(RealVector  v)  {  [BUGGY]    OpenIntToDoubleHashMap  entries  =  new  OpenIntToDoubleHashMap(v.getValue());  [BUGGY]  checkVectorDimensions(v.getDimension());  OpenMapRealVector  res  =  new  OpenMapRealVector(this);  Iterator  iter  =  entries.iterator();  while  (iter.hasNext())  {  iter.advance();  res.setEntry(iter.key(),  iter.value()  *  v.getEntry(iter.key()));  }      [CLASS]  OpenMapRealVector  OpenMapEntry  OpenMapSparseIterator  [METHOD]  ebeMultiply  [RETURN_TYPE]  OpenMapRealVector  RealVector  v  [VARIABLES]  Entry  current  boolean  double  DEFAULT_ZERO_TOLERANCE  d  epsilon  value  RealVector  v  Iterator  iter  OpenMapRealVector  res  OpenIntToDoubleHashMap  entries  larger  randomAccess  long  serialVersionUID  int  dimension  expectedSize  i  key  resize  virtualSize  	projects/Math29/src/main/java/org/apache/commons/math3/linear/OpenMapRealVector.java	0.5773502691896258	360	360	3	replace	    OpenIntToDoubleHashMap  entries  =  new  OpenIntToDoubleHashMap(v.getValue());		non-compiled	[CE]  cannot  find  symbol	14	None	add
2	[BUG]  [BUGGY]  [FE]  java.lang.AssertionError:  entry  #0  testEbeDivideMixedTypes  [CONTEXT]  public  OpenMapRealVector  ebeMultiply(RealVector  v)  {  [BUGGY]    OpenIntToDoubleHashMap  entries  =  new  OpenIntToDoubleHashMap();  [BUGGY]  checkVectorDimensions(v.getDimension());  OpenMapRealVector  res  =  new  OpenMapRealVector(this);  Iterator  iter  =  entries.iterator();  while  (iter.hasNext())  {  iter.advance();  res.setEntry(iter.key(),  iter.value()  *  v.getEntry(iter.key()));  }      [CLASS]  OpenMapRealVector  OpenMapEntry  OpenMapSparseIterator  [METHOD]  ebeMultiply  [RETURN_TYPE]  OpenMapRealVector  RealVector  v  [VARIABLES]  Entry  current  boolean  double  DEFAULT_ZERO_TOLERANCE  d  epsilon  value  RealVector  v  Iterator  iter  OpenMapRealVector  res  OpenIntToDoubleHashMap  entries  larger  randomAccess  long  serialVersionUID  int  dimension  expectedSize  i  key  resize  virtualSize  	projects/Math29/src/main/java/org/apache/commons/math3/linear/OpenMapRealVector.java	0.5773502691896258	360	360	3	add	    OpenIntToDoubleHashMap  entries  =  new  OpenIntToDoubleHashMap();		compilable	  [FE]  java.lang.AssertionError:  entry  #0  testEbeDivideMixedTypes	14	3
3	[BUG]  [BUGGY]    OpenIntToDoubleHashMap  entries  =  new  OpenIntToDoubleHashMap();  [FE]  java.lang.AssertionError:  entry  #0  testEbeDivideMixedTypes  [CONTEXT]  public  OpenMapRealVector  ebeMultiply(RealVector  v)  {  [BUGGY]    OpenIntToDoubleHashMap  entries  =  new  OpenIntToDoubleHashMap();  [BUGGY]  checkVectorDimensions(v.getDimension());  OpenMapRealVector  res  =  new  OpenMapRealVector(this);  Iterator  iter  =  entries.iterator();  while  (iter.hasNext())  {  iter.advance();  res.setEntry(iter.key(),  iter.value()  *  v.getEntry(iter.key()));  }      [CLASS]  OpenMapRealVector  OpenMapEntry  OpenMapSparseIterator  [METHOD]  ebeMultiply  [RETURN_TYPE]  OpenMapRealVector  RealVector  v  [VARIABLES]  Entry  current  boolean  double  DEFAULT_ZERO_TOLERANCE  d  epsilon  value  RealVector  v  Iterator  iter  OpenMapRealVector  res  OpenIntToDoubleHashMap  entries  larger  randomAccess  long  serialVersionUID  int  dimension  expectedSize  i  key  resize  virtualSize  	projects/Math29/src/main/java/org/apache/commons/math3/linear/OpenMapRealVector.java	0.5773502691896258	360	360	3	replace	    OpenIntToDoubleHashMap  entries  =  new  OpenIntToDoubleHashMap();		compilable	  [FE]  java.lang.AssertionError:  entry  #0  testEbeDivideMixedTypes	14	3	add
3	[BUG]  [BUGGY]    OpenIntToDoubleHashMap  entries  =  new  OpenIntToDoubleHashMap(v.getEntry());  [CE]  method  getEntry  in  class  RealVector  cannot  be  applied  to  given  types;  [CONTEXT]  public  OpenMapRealVector  ebeMultiply(RealVector  v)  {  [BUGGY]    OpenIntToDoubleHashMap  entries  =  new  OpenIntToDoubleHashMap(v.getEntry());  [BUGGY]  checkVectorDimensions(v.getDimension());  OpenMapRealVector  res  =  new  OpenMapRealVector(this);  Iterator  iter  =  entries.iterator();  while  (iter.hasNext())  {  iter.advance();  res.setEntry(iter.key(),  iter.value()  *  v.getEntry(iter.key()));  }      [CLASS]  OpenMapRealVector  OpenMapEntry  OpenMapSparseIterator  [METHOD]  ebeMultiply  [RETURN_TYPE]  OpenMapRealVector  RealVector  v  [VARIABLES]  Entry  current  boolean  double  DEFAULT_ZERO_TOLERANCE  d  epsilon  value  RealVector  v  Iterator  iter  OpenMapRealVector  res  OpenIntToDoubleHashMap  entries  larger  randomAccess  long  serialVersionUID  int  dimension  expectedSize  i  key  resize  virtualSize  	projects/Math29/src/main/java/org/apache/commons/math3/linear/OpenMapRealVector.java	0.5773502691896258	360	360	3	replace	    OpenIntToDoubleHashMap  entries  =  new  OpenIntToDoubleHashMap(v.getEntry());		non-compiled	[CE]  method  getEntry  in  class  RealVector  cannot  be  applied  to  given  types;	14	None	add
4	[BUG]  [BUGGY]    OpenIntToDoubleHashMap  entries  =  v.getEntry();  [CE]  package  org.apache.commons.math.exception  does  not  exist  [CONTEXT]  public  OpenMapRealVector  ebeMultiply(RealVector  v)  {  [BUGGY]    OpenIntToDoubleHashMap  entries  =  v.getEntry();  [BUGGY]  checkVectorDimensions(v.getDimension());  OpenMapRealVector  res  =  new  OpenMapRealVector(this);  Iterator  iter  =  entries.iterator();  while  (iter.hasNext())  {  iter.advance();  res.setEntry(iter.key(),  iter.value()  *  v.getEntry(iter.key()));  }      [CLASS]  OpenMapRealVector  OpenMapEntry  OpenMapSparseIterator  [METHOD]  ebeMultiply  [RETURN_TYPE]  OpenMapRealVector  RealVector  v  [VARIABLES]  Entry  current  boolean  double  DEFAULT_ZERO_TOLERANCE  d  epsilon  value  RealVector  v  Iterator  iter  OpenMapRealVector  res  OpenIntToDoubleHashMap  entries  larger  randomAccess  long  serialVersionUID  int  dimension  expectedSize  i  key  resize  virtualSize  	projects/Math29/src/main/java/org/apache/commons/math3/linear/OpenMapRealVector.java	0.5773502691896258	360	360	3	replace	    OpenIntToDoubleHashMap  entries  =  v.getEntry();		non-compiled	[CE]  package  org.apache.commons.math.exception  does  not  exist	14	None	add
5	[BUG]  [BUGGY]    final  OpenIntToDoubleHashMap  entries  =  new  OpenIntToDoubleHashMap(v.getValue());  [CE]  package  org.apache.commons.math.exception  does  not  exist  [CONTEXT]  public  OpenMapRealVector  ebeMultiply(RealVector  v)  {  [BUGGY]    final  OpenIntToDoubleHashMap  entries  =  new  OpenIntToDoubleHashMap(v.getValue());  [BUGGY]  checkVectorDimensions(v.getDimension());  OpenMapRealVector  res  =  new  OpenMapRealVector(this);  Iterator  iter  =  entries.iterator();  while  (iter.hasNext())  {  iter.advance();  res.setEntry(iter.key(),  iter.value()  *  v.getEntry(iter.key()));  }      [CLASS]  OpenMapRealVector  OpenMapEntry  OpenMapSparseIterator  [METHOD]  ebeMultiply  [RETURN_TYPE]  OpenMapRealVector  RealVector  v  [VARIABLES]  Entry  current  boolean  double  DEFAULT_ZERO_TOLERANCE  d  epsilon  value  RealVector  v  Iterator  iter  OpenMapRealVector  res  OpenIntToDoubleHashMap  entries  larger  randomAccess  long  serialVersionUID  int  dimension  expectedSize  i  key  resize  virtualSize  	projects/Math29/src/main/java/org/apache/commons/math3/linear/OpenMapRealVector.java	0.5773502691896258	360	360	3	replace	    final  OpenIntToDoubleHashMap  entries  =  new  OpenIntToDoubleHashMap(v.getValue());		non-compiled	[CE]  package  org.apache.commons.math.exception  does  not  exist	14	None	add
11	[BUG]  [BUGGY]  public  final  OpenMapRealVector(OpenMapRealVector  v)  {  [CE]  package  org.apache.commons.math.exception  does  not  exist  [CONTEXT]    [BUGGY]  public  final  OpenMapRealVector(OpenMapRealVector  v)  {  [BUGGY]  virtualSize  =  v.getDimension();  entries  =  new  OpenIntToDoubleHashMap(v.getEntries());  epsilon  =  v.epsilon;  }  [CLASS]  OpenMapRealVector  OpenMapEntry  OpenMapSparseIterator  [METHOD]  <init>  [RETURN_TYPE]  OpenMapRealVector)  OpenMapRealVector  v  [VARIABLES]  Entry  current  boolean  double  DEFAULT_ZERO_TOLERANCE  epsilon  value  Iterator  iter  OpenMapRealVector  v  OpenIntToDoubleHashMap  entries  long  serialVersionUID  int  dimension  expectedSize  key  resize  virtualSize  	projects/Math29/src/main/java/org/apache/commons/math3/linear/OpenMapRealVector.java	0.4472135954999579	179	179	3	replace	public  final  OpenMapRealVector(OpenMapRealVector  v)  {	public  OpenMapRealVector(OpenMapRealVector  v)  {  	non-compiled	[CE]  package  org.apache.commons.math.exception  does  not  exist	17	None	replace
13	[BUG]  [BUGGY]  final  public  OpenMapRealVector(OpenMapRealVector  v)  {  [CE]  package  org.apache.commons.math.exception  does  not  exist  [CONTEXT]    [BUGGY]  final  public  OpenMapRealVector(OpenMapRealVector  v)  {  [BUGGY]  virtualSize  =  v.getDimension();  entries  =  new  OpenIntToDoubleHashMap(v.getEntries());  epsilon  =  v.epsilon;  }  [CLASS]  OpenMapRealVector  OpenMapEntry  OpenMapSparseIterator  [METHOD]  <init>  [RETURN_TYPE]  OpenMapRealVector)  OpenMapRealVector  v  [VARIABLES]  Entry  current  boolean  double  DEFAULT_ZERO_TOLERANCE  epsilon  value  Iterator  iter  OpenMapRealVector  v  OpenIntToDoubleHashMap  entries  long  serialVersionUID  int  dimension  expectedSize  key  resize  virtualSize  	projects/Math29/src/main/java/org/apache/commons/math3/linear/OpenMapRealVector.java	0.4472135954999579	179	179	3	replace	final  public  OpenMapRealVector(OpenMapRealVector  v)  {	public  OpenMapRealVector(OpenMapRealVector  v)  {  	non-compiled	[CE]  package  org.apache.commons.math.exception  does  not  exist	17	None	replace
14	[BUG]  [BUGGY]  public  MapRealVector(OpenMapRealVector  v)  {  [CE]  invalid  method  declaration;  return  type  required  [CONTEXT]    [BUGGY]  public  MapRealVector(OpenMapRealVector  v)  {  [BUGGY]  virtualSize  =  v.getDimension();  entries  =  new  OpenIntToDoubleHashMap(v.getEntries());  epsilon  =  v.epsilon;  }  [CLASS]  OpenMapRealVector  OpenMapEntry  OpenMapSparseIterator  [METHOD]  <init>  [RETURN_TYPE]  OpenMapRealVector)  OpenMapRealVector  v  [VARIABLES]  Entry  current  boolean  double  DEFAULT_ZERO_TOLERANCE  epsilon  value  Iterator  iter  OpenMapRealVector  v  OpenIntToDoubleHashMap  entries  long  serialVersionUID  int  dimension  expectedSize  key  resize  virtualSize  	projects/Math29/src/main/java/org/apache/commons/math3/linear/OpenMapRealVector.java	0.4472135954999579	179	179	3	replace	public  MapRealVector(OpenMapRealVector  v)  {	public  OpenMapRealVector(OpenMapRealVector  v)  {  	non-compiled	[CE]  invalid  method  declaration;  return  type  required	17	None	replace
15	[BUG]  [BUGGY]    [CE]  <identifier>  expected  [CONTEXT]    [BUGGY]    [BUGGY]  virtualSize  =  v.getDimension();  entries  =  new  OpenIntToDoubleHashMap(v.getEntries());  epsilon  =  v.epsilon;  }  [CLASS]  OpenMapRealVector  OpenMapEntry  OpenMapSparseIterator  [METHOD]  <init>  [RETURN_TYPE]  OpenMapRealVector)  OpenMapRealVector  v  [VARIABLES]  Entry  current  boolean  double  DEFAULT_ZERO_TOLERANCE  epsilon  value  Iterator  iter  OpenMapRealVector  v  OpenIntToDoubleHashMap  entries  long  serialVersionUID  int  dimension  expectedSize  key  resize  virtualSize  	projects/Math29/src/main/java/org/apache/commons/math3/linear/OpenMapRealVector.java	0.4472135954999579	179	179	3	replace	  	public  OpenMapRealVector(OpenMapRealVector  v)  {  	non-compiled	[CE]  <identifier>  expected	17	None	replace
