patch is same with buggy,279,replace,,while (!done) { ,while(!done) {
compilation error,279,replace,[CE] illegal start of type,while (!done) { , 
compilation error,277,add,[CE] variable done is already defined in method equal(GeneralPath,GeneralPath),,boolean done = iterator1.isDone() && iterator2.isDone();
compilation error,277,add,[CE] illegal start of expression,,boolean done = iterator1.isDone() && iterator2.isDone(); while(!done) { d1 = new double[6];
compilation error,277,add,[CE] illegal start of expression,,boolean done = iterator1.isDone() && iterator2.isDone(); while(!done) { d2 = new double[6];
compilation error,284,add,[CE] variable seg2 is already defined in method equal(GeneralPath,GeneralPath),,int seg2 = iterator2.currentSegment(d1); if(seg1!= seg2) { return false; }
compilation error,284,add,[CE] illegal start of expression,,if(seg1!= seg2) { if(!Arrays.equals(d1, d2)) { return false; }
compilation error,284,add,[CE] illegal start of expression,,if(seg1!= seg2) { if(!Arrays.equals(d1, d1)) { return false; }
compilation error,268,add,[CE] illegal start of expression,,if(p1 == null) { if(p2 == null) { return false; }
compilation error,268,add,[CE] illegal start of expression,,if(p1 == null) { if(p2.getPath()!= p1.getPath()) { return false; }
compilation error,268,add,[CE] illegal start of expression,,if(p1 == null) { if(p2 == null) { return true; }
patch is same with buggy,291,replace,,iterator1.next(); ,iterator1.next();
increase failing tests,291,replace, [FE] AssertionFailedError,iterator1.next(); ,iterator1.isDone();
increase failing tests,291,replace, [FE] AssertionFailedError,iterator1.next(); , 
compilation error,279,add,[CE] variable done is already defined in method equal(GeneralPath,GeneralPath),,boolean done = iterator1.isDone() && iterator2.isDone();
compilation error,279,add,[CE] illegal start of expression,,while(!done) { d1 = iterator1.isDone() && d2!= d1.isDone();
compilation error,279,add,[CE] illegal start of expression,,while(!done) { d1 = iterator1.isDone() && iterator2.isDone();
patch is same with buggy,292,replace,,iterator2.next(); ,iterator2.next();
compilation error,292,replace,[CE] cannot find symbol,iterator2.next(); ,iterator2.remove();
increase failing tests,292,replace, [FE] AssertionFailedError,iterator2.next(); , 
patch is same with buggy,271,replace,,if (p1.getWindingRule() != p2.getWindingRule()) { ,if(p1.getWindingRule()!= p2.getWindingRule()) {
patch is same with buggy,271,replace,,if (p1.getWindingRule() != p2.getWindingRule()) { , 
patch is same with buggy,280,replace,,if (iterator1.isDone() != iterator2.isDone()) { ,if(iterator1.isDone()!= iterator2.isDone()) {
increase failing tests,280,replace, [FE] AssertionFailedError,if (iterator1.isDone() != iterator2.isDone()) { ,if(iterator1.isDone() == iterator2.isDone()) {
compilation error,280,replace,[CE] illegal start of type,if (iterator1.isDone() != iterator2.isDone()) { , 
compilation error,276,add,[CE] variable done is already defined in method equal(GeneralPath,GeneralPath),,boolean done = iterator1.isDone() && iterator2.isDone();
compilation error,276,add,[CE] illegal start of expression,,while(iterator1.isDone()) { iterator2.isDone();
