bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  if(str.endsWith( " " ")||  str.endsWith( " " "))  {  [CE]  [CONTEXT]    [BUGGY]  if(str.endsWith( " " ")||  str.endsWith( " " "))  {  [BUGGY]  str  =  str.substring(0,  str.length()-1);  }  return  str;  }  [CLASS]  Util  [METHOD]  stripLeadingAndTrailingQuotes  [RETURN_TYPE]  String  String  str  	projects/Cli5/src/java/org/apache/commons/cli/Util.java	0.0	62	62	2	replace	if(str.endsWith( " " ")||  str.endsWith( " " "))  {	if  (str.endsWith( "\ " "))  {  	non-compiled	[CE]  	16	None	replace
2	[BUG]  [BUGGY]  if(str.endsWith( "0 ")||  str.endsWith( " " "))  {  [CE]  unclosed  string  literal  [CONTEXT]    [BUGGY]  if(str.endsWith( "0 ")||  str.endsWith( " " "))  {  [BUGGY]  str  =  str.substring(0,  str.length()-1);  }  return  str;  }  [CLASS]  Util  [METHOD]  stripLeadingAndTrailingQuotes  [RETURN_TYPE]  String  String  str  	projects/Cli5/src/java/org/apache/commons/cli/Util.java	0.0	62	62	2	replace	if(str.endsWith( "0 ")||  str.endsWith( " " "))  {	if  (str.endsWith( "\ " "))  {  	non-compiled	[CE]  unclosed  string  literal	16	None	replace
3	[BUG]  [BUGGY]  if(!str.endsWith( " " "))  {  [CE]  unclosed  string  literal  [CONTEXT]    [BUGGY]  if(!str.endsWith( " " "))  {  [BUGGY]  str  =  str.substring(0,  str.length()-1);  }  return  str;  }  [CLASS]  Util  [METHOD]  stripLeadingAndTrailingQuotes  [RETURN_TYPE]  String  String  str  	projects/Cli5/src/java/org/apache/commons/cli/Util.java	0.0	62	62	2	replace	if(!str.endsWith( " " "))  {	if  (str.endsWith( "\ " "))  {  	non-compiled	[CE]  unclosed  string  literal	16	None	replace
4	[BUG]  [BUGGY]  [FE]  NullPointerException  testStripLeadingHyphens  [CONTEXT]    [BUGGY]  if(str.endsWith( "0 "))  {  [BUGGY]  str  =  str.substring(0,  str.length()-1);  }  return  str;  }  [CLASS]  Util  [METHOD]  stripLeadingAndTrailingQuotes  [RETURN_TYPE]  String  String  str  	projects/Cli5/src/java/org/apache/commons/cli/Util.java	0.0	62	62	2	add	if(str.endsWith( "0 "))  {	if  (str.endsWith( "\ " "))  {  	compilable	  [FE]  NullPointerException  testStripLeadingHyphens	16	2
5	[BUG]  [BUGGY]  if(str.endsWith( "0 "))  {  [FE]  NullPointerException  testStripLeadingHyphens  [CONTEXT]    [BUGGY]  if(str.endsWith( "0 "))  {  [BUGGY]  str  =  str.substring(0,  str.length()-1);  }  return  str;  }  [CLASS]  Util  [METHOD]  stripLeadingAndTrailingQuotes  [RETURN_TYPE]  String  String  str  	projects/Cli5/src/java/org/apache/commons/cli/Util.java	0.0	62	62	2	replace	if(str.endsWith( "0 "))  {	if  (str.endsWith( "\ " "))  {  	compilable	  [FE]  NullPointerException  testStripLeadingHyphens	16	2	replace
5	[BUG]  [BUGGY]    [CE]  illegal  start  of  type  [CONTEXT]    [BUGGY]    [BUGGY]  str  =  str.substring(0,  str.length()-1);  }  return  str;  }  [CLASS]  Util  [METHOD]  stripLeadingAndTrailingQuotes  [RETURN_TYPE]  String  String  str  	projects/Cli5/src/java/org/apache/commons/cli/Util.java	0.0	62	62	2	replace	  	if  (str.endsWith( "\ " "))  {  	non-compiled	[CE]  illegal  start  of  type	16	None	replace
11	[BUG]  [BUGGY]    String  str  =  stripLeadingHyphens(this.stripLeadingHyphens);  [CE]  variable  str  is  already  defined  in  method  stripLeadingHyphens(String)  [CONTEXT]    [BUGGY]    String  str  =  stripLeadingHyphens(this.stripLeadingHyphens);  [BUGGY]  return  str;  }  [CLASS]  Util  [METHOD]  stripLeadingHyphens  [RETURN_TYPE]  String  String  str  	projects/Cli5/src/java/org/apache/commons/cli/Util.java	0.0	45	45	2	replace	    String  str  =  stripLeadingHyphens(this.stripLeadingHyphens);		non-compiled	[CE]  variable  str  is  already  defined  in  method  stripLeadingHyphens(String)	11	None	add
12	[BUG]  [BUGGY]    String  str  =  getStripLeadingHyphens();  stripLeadingHyphens(str);  [CE]  variable  str  is  already  defined  in  method  stripLeadingHyphens(String)  [CONTEXT]    [BUGGY]    String  str  =  getStripLeadingHyphens();  stripLeadingHyphens(str);  [BUGGY]  return  str;  }  [CLASS]  Util  [METHOD]  stripLeadingHyphens  [RETURN_TYPE]  String  String  str  	projects/Cli5/src/java/org/apache/commons/cli/Util.java	0.0	45	45	2	replace	    String  str  =  getStripLeadingHyphens();  stripLeadingHyphens(str);		non-compiled	[CE]  variable  str  is  already  defined  in  method  stripLeadingHyphens(String)	11	None	add
13	[BUG]  [BUGGY]    String  str  =  stripLeadingHyphens(Str.class);  [CE]  variable  str  is  already  defined  in  method  stripLeadingHyphens(String)  [CONTEXT]    [BUGGY]    String  str  =  stripLeadingHyphens(Str.class);  [BUGGY]  return  str;  }  [CLASS]  Util  [METHOD]  stripLeadingHyphens  [RETURN_TYPE]  String  String  str  	projects/Cli5/src/java/org/apache/commons/cli/Util.java	0.0	45	45	2	replace	    String  str  =  stripLeadingHyphens(Str.class);		non-compiled	[CE]  variable  str  is  already  defined  in  method  stripLeadingHyphens(String)	11	None	add
14	[BUG]  [BUGGY]    String  str  =  getStripLeadingHyphens();  stripLeadingHyphens(str.charAt(0));  [CE]  variable  str  is  already  defined  in  method  stripLeadingHyphens(String)  [CONTEXT]    [BUGGY]    String  str  =  getStripLeadingHyphens();  stripLeadingHyphens(str.charAt(0));  [BUGGY]  return  str;  }  [CLASS]  Util  [METHOD]  stripLeadingHyphens  [RETURN_TYPE]  String  String  str  	projects/Cli5/src/java/org/apache/commons/cli/Util.java	0.0	45	45	2	replace	    String  str  =  getStripLeadingHyphens();  stripLeadingHyphens(str.charAt(0));		non-compiled	[CE]  variable  str  is  already  defined  in  method  stripLeadingHyphens(String)	11	None	add
