projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73}
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=0.0;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=Math.max(0.0,1.0);
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=1.0;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=Double.POSITIVE_INFINITY;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=Math.max(0.0,upperBound);
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=1.0;this.lowerBound=1.0;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=1.0;this.upperBound=1.0;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=1.0;this.lowerBound=0.0;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=Double.POSITIVE_INFINITY;this.lowerBound=Double.POSITIVE_INFINITY;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=Double.POSITIVE_INFINITY;this.upperBound=Double.POSITIVE_INFINITY;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=Math.min(0.0,1.0);
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=Double.POSITIVE_INFINITY+1;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=Math.max(0.0,upperBound);this.lowerBound=Math.max(0.0,upperBound);
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=Math.max(0.0,upperBound);this.upperBound=Math.max(0.0,upperBound);
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=Math.max(0.0,upperBound);this.lowerBound=Math.max(0.0,lowerBound);
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=Math.max(0.0,lowerBound);
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=1.0;this.upperBound=0.0;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=Math.min(0.0,upperBound);
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java73this.lowerBound=Double.POSITIVE_INFINITY;this.upperBound=Double.POSITIVE_INSFINITY;
