bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action3	[BUG]  [BUGGY]  [FE]  NullPointerException  testGetParsedOptionValue  [CONTEXT]  public  boolean  hasArg()  {  [BUGGY]  return  numberOfArgs  >  1  ||  numberOfArgs  ==  UNLIMITED_VALUES;  [BUGGY]  }  [CLASS]  Option  [METHOD]  hasArg  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5773502691896258	257	257	2	add	return  numberOfArgs  >  1  ||  numberOfArgs  ==  UNLIMITED_VALUES;	return  numberOfArgs  >  0  ||  numberOfArgs  ==  UNLIMITED_VALUES;  	compilable	  [FE]  NullPointerException  testGetParsedOptionValue	15	2
4	[BUG]  [BUGGY]  return  numberOfArgs  >  1  ||  numberOfArgs  ==  UNLIMITED_VALUES;  [FE]  NullPointerException  testGetParsedOptionValue  [CONTEXT]  public  boolean  hasArg()  {  [BUGGY]  return  numberOfArgs  >  1  ||  numberOfArgs  ==  UNLIMITED_VALUES;  [BUGGY]  }  [CLASS]  Option  [METHOD]  hasArg  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5773502691896258	257	257	2	replace	return  numberOfArgs  >  1  ||  numberOfArgs  ==  UNLIMITED_VALUES;	return  numberOfArgs  >  0  ||  numberOfArgs  ==  UNLIMITED_VALUES;  	compilable	  [FE]  NullPointerException  testGetParsedOptionValue	15	2	replace
5	[BUG]  [BUGGY]    [CE]  missing  return  statement  [CONTEXT]  public  boolean  hasArg()  {  [BUGGY]    [BUGGY]  }  [CLASS]  Option  [METHOD]  hasArg  [RETURN_TYPE]  boolean  [VARIABLES]  boolean  hasArg  optionalArg  required  char  valuesep  Class  type  List  values  String  argName  description  longOpt  opt  long  serialVersionUID  int  UNINITIALIZED  UNLIMITED_VALUES  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/Option.java	0.5773502691896258	257	257	2	replace	  	return  numberOfArgs  >  0  ||  numberOfArgs  ==  UNLIMITED_VALUES;  	non-compiled	[CE]  missing  return  statement	15	None	replace
12	[BUG]  [BUGGY]  OptionBuilder.required  = "required ";  [CE]  incompatible  types  [CONTEXT]  public  static  OptionBuilder  isRequired()  {  [BUGGY]  OptionBuilder.required  = "required ";  [BUGGY]    return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  isRequired  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  hasArg  optionalArg  required  OptionBuilder  instance  char  valuesep  Class  type  String  argName  description  longopt  name  newLongopt  int  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.5	150	150	2	replace	OptionBuilder.required  = "required ";	OptionBuilder.required  =  true;  	non-compiled	[CE]  incompatible  types	19	None	replace
13	[BUG]  [BUGGY]  OptionBuilder.required  =  null;  [CE]  incompatible  types  [CONTEXT]  public  static  OptionBuilder  isRequired()  {  [BUGGY]  OptionBuilder.required  =  null;  [BUGGY]    return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  isRequired  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  hasArg  optionalArg  required  OptionBuilder  instance  char  valuesep  Class  type  String  argName  description  longopt  name  newLongopt  int  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.5	150	150	2	replace	OptionBuilder.required  =  null;	OptionBuilder.required  =  true;  	non-compiled	[CE]  incompatible  types	19	None	replace
21	[BUG]  [BUGGY]  [FE]  NullPointerException  testGetParsedOptionValue  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  [BUGGY]  OptionBuilder.numberOfArgs  =  0;  [BUGGY]    return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Class  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.7071067811865475	111	111	2	add	OptionBuilder.numberOfArgs  =  0;	OptionBuilder.numberOfArgs  =  1;  	compilable	  [FE]  NullPointerException  testGetParsedOptionValue	7	2
22	[BUG]  [BUGGY]  OptionBuilder.numberOfArgs  =  0;  [FE]  NullPointerException  testGetParsedOptionValue  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  [BUGGY]  OptionBuilder.numberOfArgs  =  0;  [BUGGY]    return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Class  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.7071067811865475	111	111	2	replace	OptionBuilder.numberOfArgs  =  0;	OptionBuilder.numberOfArgs  =  1;  	compilable	  [FE]  NullPointerException  testGetParsedOptionValue	7	2	replace
22	[BUG]  [BUGGY]  [FE]  MissingArgumentException  testGetParsedOptionValue  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  [BUGGY]  OptionBuilder.numberOfArgs  =  2;  [BUGGY]    return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Class  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.7071067811865475	111	111	2	add	OptionBuilder.numberOfArgs  =  2;	OptionBuilder.numberOfArgs  =  1;  	compilable	  [FE]  MissingArgumentException  testGetParsedOptionValue	7	2
23	[BUG]  [BUGGY]  OptionBuilder.numberOfArgs  =  2;  [FE]  MissingArgumentException  testGetParsedOptionValue  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  [BUGGY]  OptionBuilder.numberOfArgs  =  2;  [BUGGY]    return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Class  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.7071067811865475	111	111	2	replace	OptionBuilder.numberOfArgs  =  2;	OptionBuilder.numberOfArgs  =  1;  	compilable	  [FE]  MissingArgumentException  testGetParsedOptionValue	7	2	replace
24	[BUG]  [BUGGY]  [FE]  MissingArgumentException  testGetParsedOptionValue  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  [BUGGY]  OptionBuilder.numberOfArgs  =  3;  [BUGGY]    return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Class  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.7071067811865475	111	111	2	add	OptionBuilder.numberOfArgs  =  3;	OptionBuilder.numberOfArgs  =  1;  	compilable	  [FE]  MissingArgumentException  testGetParsedOptionValue	7	2
25	[BUG]  [BUGGY]  OptionBuilder.numberOfArgs  =  3;  [FE]  MissingArgumentException  testGetParsedOptionValue  [CONTEXT]  public  static  OptionBuilder  hasArg()  {  [BUGGY]  OptionBuilder.numberOfArgs  =  3;  [BUGGY]    return  instance;  }  [CLASS]  OptionBuilder  [METHOD]  hasArg  [RETURN_TYPE]  OptionBuilder  [VARIABLES]  boolean  optionalArg  required  OptionBuilder  instance  char  valuesep  Class  type  String  argName  description  longopt  newLongopt  int  numberOfArgs  	projects/Cli34/src/main/java/org/apache/commons/cli/OptionBuilder.java	0.7071067811865475	111	111	2	replace	OptionBuilder.numberOfArgs  =  3;	OptionBuilder.numberOfArgs  =  1;  	compilable	  [FE]  MissingArgumentException  testGetParsedOptionValue	7	2	replace
