projects/Compress15/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86
projects/Compress15/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=(ZipArchiveEntry<K,V>)entry.getValue();
projects/Compress15/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=getEntry();
projects/Compress15/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=(ZipArchiveEntry<K,V>)entry.getKey();
projects/Compress15/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=(ZipArchiveEntry<K,V>)entry.clone();
projects/Compress15/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=(ZipArchiveEntry<K,V>)entry.getValue();name=entry.getKey();
projects/Compress15/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=newZipArchiveEntry<K,V>();
projects/Compress15/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=(ZipArchiveEntry<K,V>)entry.getKey();name=entry.getValue();
projects/Compress15/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=newZipArchiveEntry<K,V>();name=entry.getValue();
projects/Compress15/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=newZipArchiveEntry<K,V>();name=entry.getKey();
projects/Compress15/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86name=ZipArchiveEntry.class.getSimpleName();
projects/Compress15/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=newZipArchiveEntry<K,V>();this.name=entry.getKey();
projects/Compress15/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=newZipArchiveEntry<K,V>();this.name=entry.getValue();
projects/Compress15/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=getEntry();this.name=entry.getName();
projects/Compress15/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=newZipArchiveEntry<K,V>();this.name=entry.getName();
projects/Compress15/src/main/java/org/apache/commons/compress/archivers/zip/ZipArchiveEntry.java86ZipArchiveEntry<K,V>entry=getEntry();this.name=entry.getKey();
