projects/Closure27/src/com/google/javascript/rhino/IR.java293returnNode.newString(Token.NAME,name);
projects/Closure27/src/com/google/javascript/rhino/IR.java293returnNode.newString(Token.NAME,name,IR);
projects/Closure27/src/com/google/javascript/rhino/IR.java293returnNode.newString(Token.NAME,name,null);
projects/Closure27/src/com/google/javascript/rhino/IR.java293returnNode.newString(Token.NAME,name,false);
projects/Closure27/src/com/google/javascript/rhino/IR.java293returnNode.newString(Token.NAME,name,this);
projects/Closure27/src/com/google/javascript/rhino/IR.java293returnNode.newString(Token.NAME,name,true);
projects/Closure27/src/com/google/javascript/rhino/IR.java293returnNode.newString(Token.NAME,name,0);
projects/Closure27/src/com/google/javascript/rhino/IR.java293returnNode.newString(Token.NAME,name+"_");
projects/Closure27/src/com/google/javascript/rhino/IR.java293
projects/Closure27/src/com/google/javascript/rhino/IR.java293returnNode.newString(Token.NAME,name,name);
projects/Closure27/src/com/google/javascript/rhino/IR.java293returnNode.newString(Token.NAME,name+1);
projects/Closure27/src/com/google/javascript/rhino/IR.java293returnNode.newString(Token.NAME,name,_name);
