bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getDomainLowerBound(double  p)  {  [BUGGY]  return  0.0  /  denominatorDegreesOfFreedom  *  getNumeratorDegreesOfFreedom();  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainLowerBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	119	119	1	add	return  0.0  /  denominatorDegreesOfFreedom  *  getNumeratorDegreesOfFreedom();	return  0.0;  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	1	1
2	[BUG]  [BUGGY]  return  0.0  /  denominatorDegreesOfFreedom  *  getNumeratorDegreesOfFreedom();  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getDomainLowerBound(double  p)  {  [BUGGY]  return  0.0  /  denominatorDegreesOfFreedom  *  getNumeratorDegreesOfFreedom();  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainLowerBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	119	119	1	replace	return  0.0  /  denominatorDegreesOfFreedom  *  getNumeratorDegreesOfFreedom();	return  0.0;  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	1	1	replace
2	[BUG]  [BUGGY]  timeout  [CONTEXT]  protected  double  getDomainLowerBound(double  p)  {  [BUGGY]  return  1.0;  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainLowerBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	119	119	1	add	return  1.0;	return  0.0;  	compilable	timeout	1	1
3	[BUG]  [BUGGY]  return  1.0;  timeout  [CONTEXT]  protected  double  getDomainLowerBound(double  p)  {  [BUGGY]  return  1.0;  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainLowerBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	119	119	1	replace	return  1.0;	return  0.0;  	compilable	timeout	1	1	replace
3	[BUG]  [BUGGY]  return  0.0  /  denominatorDegreesOfFreedom  *  getNumeratorDegreesOfFreedom().doubleValue();  [CE]  double  cannot  be  dereferenced  [CONTEXT]  protected  double  getDomainLowerBound(double  p)  {  [BUGGY]  return  0.0  /  denominatorDegreesOfFreedom  *  getNumeratorDegreesOfFreedom().doubleValue();  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainLowerBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	119	119	1	replace	return  0.0  /  denominatorDegreesOfFreedom  *  getNumeratorDegreesOfFreedom().doubleValue();	return  0.0;  	non-compiled	[CE]  double  cannot  be  dereferenced	1	None	replace
4	[BUG]  [BUGGY]  return  0.0  /  denominatorDegreesOfFreedom  *  getNumeratorDegreesOfFreedom().doubleValue()  >  p;  [CE]  double  cannot  be  dereferenced  [CONTEXT]  protected  double  getDomainLowerBound(double  p)  {  [BUGGY]  return  0.0  /  denominatorDegreesOfFreedom  *  getNumeratorDegreesOfFreedom().doubleValue()  >  p;  [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainLowerBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	119	119	1	replace	return  0.0  /  denominatorDegreesOfFreedom  *  getNumeratorDegreesOfFreedom().doubleValue()  >  p;	return  0.0;  	non-compiled	[CE]  double  cannot  be  dereferenced	1	None	replace
5	[BUG]  [BUGGY]    [CE]  missing  return  statement  [CONTEXT]  protected  double  getDomainLowerBound(double  p)  {  [BUGGY]    [BUGGY]  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainLowerBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	119	119	1	replace	  	return  0.0;  	non-compiled	[CE]  missing  return  statement	1	None	replace
11	[BUG]  [BUGGY]  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  [BUGGY]  double  d  =  getNumeratorDegreesOfFreedom();  [BUGGY]    ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	145	145	1	add	double  d  =  getNumeratorDegreesOfFreedom();	double  d  =  getDenominatorDegreesOfFreedom();  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	5	1
12	[BUG]  [BUGGY]  double  d  =  getNumeratorDegreesOfFreedom();  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  [BUGGY]  double  d  =  getNumeratorDegreesOfFreedom();  [BUGGY]    ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	145	145	1	replace	double  d  =  getNumeratorDegreesOfFreedom();	double  d  =  getDenominatorDegreesOfFreedom();  	compilable	  [FE]  IllegalArgumentException  testSmallDegreesOfFreedom	5	1	replace
15	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  d  [CONTEXT]  protected  double  getInitialDomain(double  p)  {  double  ret;  [BUGGY]    [BUGGY]    ret  =  d  /  (d  -  2.0);  return  ret;  }  [CLASS]  FDistributionImpl  [METHOD]  getInitialDomain  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  d  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	145	145	1	replace	  	double  d  =  getDenominatorDegreesOfFreedom();  	non-compiled	[CE]  cannot  find  symbol  d	5	None	replace
21	[BUG]  [BUGGY]    double  ret  =  getDenominatorDegreesOfFreedom().doubleValue();  [CE]  double  cannot  be  dereferenced  [CONTEXT]  protected  double  getDomainUpperBound(double  p)  {  [BUGGY]    double  ret  =  getDenominatorDegreesOfFreedom().doubleValue();  [BUGGY]  return  Double.MAX_VALUE;  }  [CLASS]  FDistributionImpl  [METHOD]  getDomainUpperBound  [RETURN_TYPE]  double  double  p  [VARIABLES]  double  denominatorDegreesOfFreedom  m  n  numeratorDegreesOfFreedom  p  ret  x  long  serialVersionUID  boolean  	projects/Math95/src/java/org/apache/commons/math/distribution/FDistributionImpl.java	0.5773502691896258	132	132	1	replace	    double  ret  =  getDenominatorDegreesOfFreedom().doubleValue();		non-compiled	[CE]  double  cannot  be  dereferenced	4	None	add
