bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	original_buggy	action	patch	execution_result	diagnosis	previous_bug_id	new_failing_test_number
1	[BUG]  [BUGGY]    int  starts  =  getStarts();  [CE]  cannot  find  symbol  [CONTEXT]  throws  FunctionEvaluationException  {  [BUGGY]    int  starts  =  getStarts();  [BUGGY]  optima  =  new  UnivariateRealPointValuePair[starts];  totalEvaluations  =  0;  for  (int  i  =  0;  i  <  starts;  ++i)  {  try  {  final  double  bound1  =  (i  ==  0)  ?  min  :  min  +  generator.nextDouble()  *  (max  -  min);  final  double  bound2  =  (i  ==  0)  ?  max  :  min  +  generator.nextDouble()  *  (max  -  min);  optima[i]  =  optimizer.optimize(f,  goal,  FastMath.min(bound1,  bound2),  FastMath.max(bound1,  bound2));  }  catch  (FunctionEvaluationException  fee)  {  optima[i]  =  null;  [CLASS]  MultiStartUnivariateRealOptimizer  1  [METHOD]  optimize  [RETURN_TYPE]  UnivariateRealPointValuePair  final  FUNC  f  GoalType  goal  final  double  min  final  double  max  final  double  startValue  [VARIABLES]  UnivariateRealPointValuePair[]  optima  boolean  FUNC  f  double  bound1  bound2  max  min  startValue  ConvergenceException  ce  GoalType  goal  FunctionEvaluationException  fee  BaseUnivariateRealOptimizer  optimizer  int  i  maxEvaluations  starts  totalEvaluations  usedEvaluations  RandomGenerator  generator  	projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java	0.7071067811865475	154	154	1	replace	    int  starts  =  getStarts();		non-compiled	[CE]  cannot  find  symbol	14	None
2	[BUG]  [BUGGY]    int  starts  =  f.getStart();  [CE]  cannot  find  symbol  [CONTEXT]  throws  FunctionEvaluationException  {  [BUGGY]    int  starts  =  f.getStart();  [BUGGY]  optima  =  new  UnivariateRealPointValuePair[starts];  totalEvaluations  =  0;  for  (int  i  =  0;  i  <  starts;  ++i)  {  try  {  final  double  bound1  =  (i  ==  0)  ?  min  :  min  +  generator.nextDouble()  *  (max  -  min);  final  double  bound2  =  (i  ==  0)  ?  max  :  min  +  generator.nextDouble()  *  (max  -  min);  optima[i]  =  optimizer.optimize(f,  goal,  FastMath.min(bound1,  bound2),  FastMath.max(bound1,  bound2));  }  catch  (FunctionEvaluationException  fee)  {  optima[i]  =  null;  [CLASS]  MultiStartUnivariateRealOptimizer  1  [METHOD]  optimize  [RETURN_TYPE]  UnivariateRealPointValuePair  final  FUNC  f  GoalType  goal  final  double  min  final  double  max  final  double  startValue  [VARIABLES]  UnivariateRealPointValuePair[]  optima  boolean  FUNC  f  double  bound1  bound2  max  min  startValue  ConvergenceException  ce  GoalType  goal  FunctionEvaluationException  fee  BaseUnivariateRealOptimizer  optimizer  int  i  maxEvaluations  starts  totalEvaluations  usedEvaluations  RandomGenerator  generator  	projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java	0.7071067811865475	154	154	1	replace	    int  starts  =  f.getStart();		non-compiled	[CE]  cannot  find  symbol	14	None
3	[BUG]  [BUGGY]    int  starts  =  Math.min(startValue,  max);  [CE]  possible  loss  of  precision  [CONTEXT]  throws  FunctionEvaluationException  {  [BUGGY]    int  starts  =  Math.min(startValue,  max);  [BUGGY]  optima  =  new  UnivariateRealPointValuePair[starts];  totalEvaluations  =  0;  for  (int  i  =  0;  i  <  starts;  ++i)  {  try  {  final  double  bound1  =  (i  ==  0)  ?  min  :  min  +  generator.nextDouble()  *  (max  -  min);  final  double  bound2  =  (i  ==  0)  ?  max  :  min  +  generator.nextDouble()  *  (max  -  min);  optima[i]  =  optimizer.optimize(f,  goal,  FastMath.min(bound1,  bound2),  FastMath.max(bound1,  bound2));  }  catch  (FunctionEvaluationException  fee)  {  optima[i]  =  null;  [CLASS]  MultiStartUnivariateRealOptimizer  1  [METHOD]  optimize  [RETURN_TYPE]  UnivariateRealPointValuePair  final  FUNC  f  GoalType  goal  final  double  min  final  double  max  final  double  startValue  [VARIABLES]  UnivariateRealPointValuePair[]  optima  boolean  FUNC  f  double  bound1  bound2  max  min  startValue  ConvergenceException  ce  GoalType  goal  FunctionEvaluationException  fee  BaseUnivariateRealOptimizer  optimizer  int  i  maxEvaluations  starts  totalEvaluations  usedEvaluations  RandomGenerator  generator  	projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java	0.7071067811865475	154	154	1	replace	    int  starts  =  Math.min(startValue,  max);		non-compiled	[CE]  possible  loss  of  precision	14	None
4	[BUG]  [BUGGY]    int  starts  =  Math.min(startValue,  min);  [CE]  possible  loss  of  precision  [CONTEXT]  throws  FunctionEvaluationException  {  [BUGGY]    int  starts  =  Math.min(startValue,  min);  [BUGGY]  optima  =  new  UnivariateRealPointValuePair[starts];  totalEvaluations  =  0;  for  (int  i  =  0;  i  <  starts;  ++i)  {  try  {  final  double  bound1  =  (i  ==  0)  ?  min  :  min  +  generator.nextDouble()  *  (max  -  min);  final  double  bound2  =  (i  ==  0)  ?  max  :  min  +  generator.nextDouble()  *  (max  -  min);  optima[i]  =  optimizer.optimize(f,  goal,  FastMath.min(bound1,  bound2),  FastMath.max(bound1,  bound2));  }  catch  (FunctionEvaluationException  fee)  {  optima[i]  =  null;  [CLASS]  MultiStartUnivariateRealOptimizer  1  [METHOD]  optimize  [RETURN_TYPE]  UnivariateRealPointValuePair  final  FUNC  f  GoalType  goal  final  double  min  final  double  max  final  double  startValue  [VARIABLES]  UnivariateRealPointValuePair[]  optima  boolean  FUNC  f  double  bound1  bound2  max  min  startValue  ConvergenceException  ce  GoalType  goal  FunctionEvaluationException  fee  BaseUnivariateRealOptimizer  optimizer  int  i  maxEvaluations  starts  totalEvaluations  usedEvaluations  RandomGenerator  generator  	projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java	0.7071067811865475	154	154	1	replace	    int  starts  =  Math.min(startValue,  min);		non-compiled	[CE]  possible  loss  of  precision	14	None
5	[BUG]  [BUGGY]    int  starts  =  generator.getStart();  [CE]  cannot  find  symbol  [CONTEXT]  throws  FunctionEvaluationException  {  [BUGGY]    int  starts  =  generator.getStart();  [BUGGY]  optima  =  new  UnivariateRealPointValuePair[starts];  totalEvaluations  =  0;  for  (int  i  =  0;  i  <  starts;  ++i)  {  try  {  final  double  bound1  =  (i  ==  0)  ?  min  :  min  +  generator.nextDouble()  *  (max  -  min);  final  double  bound2  =  (i  ==  0)  ?  max  :  min  +  generator.nextDouble()  *  (max  -  min);  optima[i]  =  optimizer.optimize(f,  goal,  FastMath.min(bound1,  bound2),  FastMath.max(bound1,  bound2));  }  catch  (FunctionEvaluationException  fee)  {  optima[i]  =  null;  [CLASS]  MultiStartUnivariateRealOptimizer  1  [METHOD]  optimize  [RETURN_TYPE]  UnivariateRealPointValuePair  final  FUNC  f  GoalType  goal  final  double  min  final  double  max  final  double  startValue  [VARIABLES]  UnivariateRealPointValuePair[]  optima  boolean  FUNC  f  double  bound1  bound2  max  min  startValue  ConvergenceException  ce  GoalType  goal  FunctionEvaluationException  fee  BaseUnivariateRealOptimizer  optimizer  int  i  maxEvaluations  starts  totalEvaluations  usedEvaluations  RandomGenerator  generator  	projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java	0.7071067811865475	154	154	1	replace	    int  starts  =  generator.getStart();		non-compiled	[CE]  cannot  find  symbol	14	None
12	[BUG]  [BUGGY]  [FE]  AssertionError  testQuinticMin  [CONTEXT]  public  MultiStartUnivariateRealOptimizer(final  BaseUnivariateRealOptimizer<FUNC>  optimizer,  final  int  starts,  final  RandomGenerator  generator)  {  this.optimizer  =  optimizer;  [BUGGY]  this.starts  =  starts  +  1;  [BUGGY]  this.generator  =  generator;  }  [CLASS]  MultiStartUnivariateRealOptimizer  1  [METHOD]  <init>  [RETURN_TYPE]  RandomGenerator)  BaseUnivariateRealOptimizer<FUNC>  optimizer  final  int  starts  RandomGenerator  generator  [VARIABLES]  UnivariateRealPointValuePair[]  optima  boolean  BaseUnivariateRealOptimizer  optimizer  int  maxEvaluations  starts  totalEvaluations  RandomGenerator  generator  	projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java	0.7071067811865475	74	74	1	add	this.starts  =  starts  +  1;	this.starts  =  starts;  	compilable	  [FE]  AssertionError  testQuinticMin	5	1
13	[BUG]  [BUGGY]  this.starts  =  starts  +  1;  [FE]  AssertionError  testQuinticMin  [CONTEXT]  public  MultiStartUnivariateRealOptimizer(final  BaseUnivariateRealOptimizer<FUNC>  optimizer,  final  int  starts,  final  RandomGenerator  generator)  {  this.optimizer  =  optimizer;  [BUGGY]  this.starts  =  starts  +  1;  [BUGGY]  this.generator  =  generator;  }  [CLASS]  MultiStartUnivariateRealOptimizer  1  [METHOD]  <init>  [RETURN_TYPE]  RandomGenerator)  BaseUnivariateRealOptimizer<FUNC>  optimizer  final  int  starts  RandomGenerator  generator  [VARIABLES]  UnivariateRealPointValuePair[]  optima  boolean  BaseUnivariateRealOptimizer  optimizer  int  maxEvaluations  starts  totalEvaluations  RandomGenerator  generator  	projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java	0.7071067811865475	74	74	1	replace	this.starts  =  starts  +  1;	this.starts  =  starts;  	compilable	  [FE]  AssertionError  testQuinticMin	5	1
14	[BUG]  [BUGGY]  this.starts  =  stops;  [CE]  cannot  find  symbol  stops  [CONTEXT]  public  MultiStartUnivariateRealOptimizer(final  BaseUnivariateRealOptimizer<FUNC>  optimizer,  final  int  starts,  final  RandomGenerator  generator)  {  this.optimizer  =  optimizer;  [BUGGY]  this.starts  =  stops;  [BUGGY]  this.generator  =  generator;  }  [CLASS]  MultiStartUnivariateRealOptimizer  1  [METHOD]  <init>  [RETURN_TYPE]  RandomGenerator)  BaseUnivariateRealOptimizer<FUNC>  optimizer  final  int  starts  RandomGenerator  generator  [VARIABLES]  UnivariateRealPointValuePair[]  optima  boolean  BaseUnivariateRealOptimizer  optimizer  int  maxEvaluations  starts  totalEvaluations  RandomGenerator  generator  	projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java	0.7071067811865475	74	74	1	replace	this.starts  =  stops;	this.starts  =  starts;  	non-compiled	[CE]  cannot  find  symbol  stops	5	None
23	[BUG]  [BUGGY]  this.optimizer  =  optimizer,  new  UnivariateRealPointValuePair(maxEvaluations,  maxEvaluations));  [CE]  ';'  expected  [CONTEXT]  public  MultiStartUnivariateRealOptimizer(final  BaseUnivariateRealOptimizer<FUNC>  optimizer,  final  int  starts,  final  RandomGenerator  generator)  {  [BUGGY]  this.optimizer  =  optimizer,  new  UnivariateRealPointValuePair(maxEvaluations,  maxEvaluations));  [BUGGY]  this.starts  =  starts;  this.generator  =  generator;  }  [CLASS]  MultiStartUnivariateRealOptimizer  1  [METHOD]  <init>  [RETURN_TYPE]  RandomGenerator)  BaseUnivariateRealOptimizer<FUNC>  optimizer  final  int  starts  RandomGenerator  generator  [VARIABLES]  UnivariateRealPointValuePair[]  optima  boolean  BaseUnivariateRealOptimizer  optimizer  int  maxEvaluations  starts  totalEvaluations  RandomGenerator  generator  	projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java	0.7071067811865475	73	73	1	replace	this.optimizer  =  optimizer,  new  UnivariateRealPointValuePair(maxEvaluations,  maxEvaluations));	this.optimizer  =  optimizer;  	non-compiled	[CE]  ';'  expected	3	None
24	[BUG]  [BUGGY]  this.optimizer  =  optimizer,  this.maxEvaluations  =  maxEvaluations;  [CE]  ';'  expected  [CONTEXT]  public  MultiStartUnivariateRealOptimizer(final  BaseUnivariateRealOptimizer<FUNC>  optimizer,  final  int  starts,  final  RandomGenerator  generator)  {  [BUGGY]  this.optimizer  =  optimizer,  this.maxEvaluations  =  maxEvaluations;  [BUGGY]  this.starts  =  starts;  this.generator  =  generator;  }  [CLASS]  MultiStartUnivariateRealOptimizer  1  [METHOD]  <init>  [RETURN_TYPE]  RandomGenerator)  BaseUnivariateRealOptimizer<FUNC>  optimizer  final  int  starts  RandomGenerator  generator  [VARIABLES]  UnivariateRealPointValuePair[]  optima  boolean  BaseUnivariateRealOptimizer  optimizer  int  maxEvaluations  starts  totalEvaluations  RandomGenerator  generator  	projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java	0.7071067811865475	73	73	1	replace	this.optimizer  =  optimizer,  this.maxEvaluations  =  maxEvaluations;	this.optimizer  =  optimizer;  	non-compiled	[CE]  ';'  expected	3	None
