increase failing tests,74,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,this.starts = starts; , 
increase failing tests,158,replace, [FE] ConvergenceException testQuinticMin,for (int i = 0; i < starts; ++i) { ,for(int i = 0; i < maxEvaluations; ++i) {
increase failing tests,158,replace, [FE] ConvergenceException testQuinticMin,for (int i = 0; i < starts; ++i) { ,for(int i = 0; i < totalEvaluations; ++i) {
increase failing tests,154,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,optima = new UnivariateRealPointValuePair[starts]; ,optima = new UnivariateRealPointValuePair[maxEvaluations];
increase failing tests,154,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,optima = new UnivariateRealPointValuePair[starts]; ,optima = new UnivariateRealPointValuePair[0];
increase failing tests,154,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,optima = new UnivariateRealPointValuePair[starts]; ,optima = new UnivariateRealPointValuePair[1];
increase failing tests,160,replace, [FE] AssertionError testQuinticMin,final double bound1 = (i == 0) ? min : min + generator.nextDouble() * (max - min); ,final double bound1 =(i > 0)? min : min + generator.nextDouble() * (max - min);
increase failing tests,154,replace, [FE] AssertionError testQuinticMin,optima = new UnivariateRealPointValuePair[starts]; ,optima = new UnivariateRealPointValuePair[starts + 1];
increase failing tests,154,replace, [FE] AssertionError testQuinticMin,optima = new UnivariateRealPointValuePair[starts]; ,optima = new UnivariateRealPointValuePair[8];
increase failing tests,160,replace, [FE] AssertionError testQuinticMin,final double bound1 = (i == 0) ? min : min + generator.nextDouble() * (max - min); ,final double bound1 =(i < 0)? min : min + generator.nextDouble() *(max - min);
increase failing tests,160,replace, [FE] AssertionError testQuinticMin,final double bound1 = (i == 0) ? min : min + generator.nextDouble() * (max - min); ,final double bound1 =(min < 0)? min : min + generator.nextDouble() *(max - min);
increase failing tests,74,replace, [FE] AssertionError testQuinticMin,this.starts = starts; ,this.starts = starts - 1;
increase failing tests,154,replace, [FE] ArrayIndexOutOfBoundsException testQuinticMin,optima = new UnivariateRealPointValuePair[starts]; ,optima = new UnivariateRealPointValuePair[4];
increase failing tests,158,replace, [FE] ConvergenceException testQuinticMin,for (int i = 0; i < starts; ++i) { ,for(int i = 0; i < startValue; ++i) {
