projects/Math61/src/main/java/org/apache/commons/math/distribution/PoissonDistributionImpl.java80this(p,DEFAULT_EPSILON,DEFAULT_MAX_ITERATIONS);
projects/Math61/src/main/java/org/apache/commons/math/distribution/PoissonDistributionImpl.java80this(p,DEFAULT_EPSILON,DEFAULT_MAX_ITERATIONS,maxIterations);
projects/Math61/src/main/java/org/apache/commons/math/distribution/PoissonDistributionImpl.java80this(p,DEFAULT_EPSILON,DEFAULT_MAX_ITERATIONS,epsilon);
projects/Math61/src/main/java/org/apache/commons/math/distribution/PoissonDistributionImpl.java80this(p,DEFAULT_EPSILON,DEFAULT_MAX_ITERATIONS,MAX_ITERATIONS);
projects/Math61/src/main/java/org/apache/commons/math/distribution/PoissonDistributionImpl.java80this(p,DEFAULT_EPSILON,DEFAULT_MIN_ITERATIONS,DEFAULT_MAX_ITERATIONS);
projects/Math61/src/main/java/org/apache/commons/math/distribution/PoissonDistributionImpl.java80
projects/Math61/src/main/java/org/apache/commons/math/distribution/PoissonDistributionImpl.java80this(null,DEFAULT_EPSILON,DEFAULT_MAX_ITERATIONS);
projects/Math61/src/main/java/org/apache/commons/math/distribution/PoissonDistributionImpl.java80this(p,DEFAULT_EPSILON,DEFAULT_MAX_ITERATIONS,DEFAULT_EPSILON);
projects/Math61/src/main/java/org/apache/commons/math/distribution/PoissonDistributionImpl.java80this(null,DEFAULT_EPSILON,DEFAULT_MAX_ITERATIONS,DEFAULT_EPSILON);
projects/Math61/src/main/java/org/apache/commons/math/distribution/PoissonDistributionImpl.java80this(null,p,DEFAULT_EPSILON,DEFAULT_MAX_ITERATIONS);
projects/Math61/src/main/java/org/apache/commons/math/distribution/PoissonDistributionImpl.java80super(p);
projects/Math61/src/main/java/org/apache/commons/math/distribution/PoissonDistributionImpl.java80super(p,DEFAULT_EPSILON,DEFAULT_MAX_ITERATIONS);
projects/Math61/src/main/java/org/apache/commons/math/distribution/PoissonDistributionImpl.java80this(p,DEFAULT_EPSILON,DEFAULT_MAX_ITERATIONS,DEFAULT_PETERATIONS);
projects/Math61/src/main/java/org/apache/commons/math/distribution/PoissonDistributionImpl.java80this(p,DEFAULT_EPSILON,DEFAULT_MAX_ITERATIONS,DEFAULT_PESILON);
