projects/Chart14/source/org/jfree/chart/plot/CategoryPlot.java462this.datasets=newObjectList();
projects/Chart14/source/org/jfree/chart/plot/CategoryPlot.java462this.datasets=newArrayList();
projects/Chart14/source/org/jfree/chart/plot/CategoryPlot.java462this.datasets=newLinkedList();
projects/Chart14/source/org/jfree/chart/plot/CategoryPlot.java462
projects/Chart14/source/org/jfree/chart/plot/CategoryPlot.java462this.axisOffset=newRectangleInsets(1.0,1.0,1.0,1.0);
projects/Chart14/source/org/jfree/chart/plot/CategoryPlot.java462this.axisOffset=newRectangleInsets(0.0,5.0,5.0,5.0);
projects/Chart14/source/org/jfree/chart/plot/CategoryPlot.java462this.axisOffset=newRectangleInsets(2.0,5.0,5.0,5.0);
projects/Chart14/source/org/jfree/chart/plot/CategoryPlot.java462this.axisOffset=newRectangleInsets(1.0,1.0,1.0);
projects/Chart14/source/org/jfree/chart/plot/CategoryPlot.java462this.axisOffset=newRectangleInsets(0.0,4.0,5.0,5.0);
projects/Chart14/source/org/jfree/chart/plot/CategoryPlot.java462this.axisOffset=newRectangleInsets(0,0);
projects/Chart14/source/org/jfree/chart/plot/CategoryPlot.java462this.axisOffset=newRectangleInsets(2.0,4.0,5.0,5.0);
projects/Chart14/source/org/jfree/chart/plot/CategoryPlot.java462this.axisOffset=newRectangleInsets(2.0,1.0,1.0);
projects/Chart14/source/org/jfree/chart/plot/CategoryPlot.java462this.datasets=newLinkedList<CategoryDataset>();
projects/Chart14/source/org/jfree/chart/plot/CategoryPlot.java462this.axisOffset=newRectangleInsets(2.0,1.0,1.0,1.0);
projects/Chart14/source/org/jfree/chart/plot/CategoryPlot.java462this.datasets=newArrayList<CategoryDataset>();
projects/Chart14/source/org/jfree/chart/plot/CategoryPlot.java462this.axisOffset=newRectangleInsets(0.0,8.0,8.0,8.0);
projects/Chart14/source/org/jfree/chart/plot/CategoryPlot.java462this.axisOffset=newRectangleInsets(0.0,1.0,1.0,1.0);
projects/Chart14/source/org/jfree/chart/plot/CategoryPlot.java462this.axisOffset=newRectangleInsets(0,0,0,0);
