bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
2	[BUG]  [BUGGY]    if(availableLocaleList  ==  null)  {  List  <  L>  list  =  new  ArrayList  <  L>();  if(list.size()  >  0)  {  availableLocaleList  =  new  ArrayList  <  L>();  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  static  List<Locale>  availableLocaleList()  {  [BUGGY]    if(availableLocaleList  ==  null)  {  List  <  L>  list  =  new  ArrayList  <  L>();  if(list.size()  >  0)  {  availableLocaleList  =  new  ArrayList  <  L>();  }  [BUGGY]  return  SyncAvoid.AVAILABLE_LOCALE_LIST;  }  [CLASS]  LocaleUtils  SyncAvoid  [METHOD]  availableLocaleList  [RETURN_TYPE]  List  [VARIABLES]  ConcurrentMap  cCountriesByLanguage  cLanguagesByCountry  List  AVAILABLE_LOCALE_LIST  list  Set  AVAILABLE_LOCALE_SET  boolean  	projects/Lang5/src/main/java/org/apache/commons/lang3/LocaleUtils.java	0.2773500981126146	193	193	1	replace	    if(availableLocaleList  ==  null)  {  List  <  L>  list  =  new  ArrayList  <  L>();  if(list.size()  >  0)  {  availableLocaleList  =  new  ArrayList  <  L>();  }		non-compiled	[CE]  illegal  start  of  expression	20	None
4	[BUG]  [BUGGY]    List  <  Locale>  list  =  availableLocaleList();  if(list.size()  >  0)  {  list.addAll(availableLocaleList);  }  [CE]  cannot  find  symbol  availableLocaleList  [CONTEXT]  public  static  List<Locale>  availableLocaleList()  {  [BUGGY]    List  <  Locale>  list  =  availableLocaleList();  if(list.size()  >  0)  {  list.addAll(availableLocaleList);  }  [BUGGY]  return  SyncAvoid.AVAILABLE_LOCALE_LIST;  }  [CLASS]  LocaleUtils  SyncAvoid  [METHOD]  availableLocaleList  [RETURN_TYPE]  List  [VARIABLES]  ConcurrentMap  cCountriesByLanguage  cLanguagesByCountry  List  AVAILABLE_LOCALE_LIST  list  Set  AVAILABLE_LOCALE_SET  boolean  	projects/Lang5/src/main/java/org/apache/commons/lang3/LocaleUtils.java	0.2773500981126146	193	193	1	replace	    List  <  Locale>  list  =  availableLocaleList();  if(list.size()  >  0)  {  list.addAll(availableLocaleList);  }		non-compiled	[CE]  cannot  find  symbol  availableLocaleList	20	None
5	[BUG]  [BUGGY]    if(availableLocaleList  ==  null)  {  List  <  L>  list  =  new  ArrayList  <  L>(availableLocaleList.size());  if(list!=  0)  {  availableLocaleList  =  new  ArrayList  <  L>();  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  static  List<Locale>  availableLocaleList()  {  [BUGGY]    if(availableLocaleList  ==  null)  {  List  <  L>  list  =  new  ArrayList  <  L>(availableLocaleList.size());  if(list!=  0)  {  availableLocaleList  =  new  ArrayList  <  L>();  }  [BUGGY]  return  SyncAvoid.AVAILABLE_LOCALE_LIST;  }  [CLASS]  LocaleUtils  SyncAvoid  [METHOD]  availableLocaleList  [RETURN_TYPE]  List  [VARIABLES]  ConcurrentMap  cCountriesByLanguage  cLanguagesByCountry  List  AVAILABLE_LOCALE_LIST  list  Set  AVAILABLE_LOCALE_SET  boolean  	projects/Lang5/src/main/java/org/apache/commons/lang3/LocaleUtils.java	0.2773500981126146	193	193	1	replace	    if(availableLocaleList  ==  null)  {  List  <  L>  list  =  new  ArrayList  <  L>(availableLocaleList.size());  if(list!=  0)  {  availableLocaleList  =  new  ArrayList  <  L>();  }		non-compiled	[CE]  illegal  start  of  expression	20	None
12	[BUG]  [BUGGY]  private  static  final  ConcurrentMap  <  String,  List  <  Locale  >>  cLanguagesByCountry  =  new  ConcurrentHashMap  <  String,  List  <  Locale  }  ();  [CE]  >  expected  [CONTEXT]    [BUGGY]  private  static  final  ConcurrentMap  <  String,  List  <  Locale  >>  cLanguagesByCountry  =  new  ConcurrentHashMap  <  String,  List  <  Locale  }  ();  [BUGGY]  new  ConcurrentHashMap<String,  List<Locale>>();  [CLASS]  LocaleUtils  SyncAvoid  [VARIABLES]  	projects/Lang5/src/main/java/org/apache/commons/lang3/LocaleUtils.java	0.2773500981126146	42	43	1	replace	private  static  final  ConcurrentMap  <  String,  List  <  Locale  >>  cLanguagesByCountry  =  new  ConcurrentHashMap  <  String,  List  <  Locale  }  ();	private  static  final  ConcurrentMap<String,  List<Locale>>  cLanguagesByCountry  =  new  ConcurrentHashMap<String,  List<Locale>>();  	non-compiled	[CE]  >  expected	15	None
13	[BUG]  [BUGGY]  private  static  final  ConcurrentMap  <  String,  List  <  Locale  {  cLanguagesByCountry  =  new  ConcurrentHashMap  <  String,  List  <  Locale  >>  ();  [CE]  >  expected  [CONTEXT]    [BUGGY]  private  static  final  ConcurrentMap  <  String,  List  <  Locale  {  cLanguagesByCountry  =  new  ConcurrentHashMap  <  String,  List  <  Locale  >>  ();  [BUGGY]  new  ConcurrentHashMap<String,  List<Locale>>();  [CLASS]  LocaleUtils  SyncAvoid  [VARIABLES]  	projects/Lang5/src/main/java/org/apache/commons/lang3/LocaleUtils.java	0.2773500981126146	42	43	1	replace	private  static  final  ConcurrentMap  <  String,  List  <  Locale  {  cLanguagesByCountry  =  new  ConcurrentHashMap  <  String,  List  <  Locale  >>  ();	private  static  final  ConcurrentMap<String,  List<Locale>>  cLanguagesByCountry  =  new  ConcurrentHashMap<String,  List<Locale>>();  	non-compiled	[CE]  >  expected	15	None
14	[BUG]  [BUGGY]  private  static  final  ConcurrentMap  <  String,  List  <  Locale  >>  cLanguagesByCountry  =  new  ConcurrentHashMap  <  String,  List  <  Locale  {  ();  [CE]  >  expected  [CONTEXT]    [BUGGY]  private  static  final  ConcurrentMap  <  String,  List  <  Locale  >>  cLanguagesByCountry  =  new  ConcurrentHashMap  <  String,  List  <  Locale  {  ();  [BUGGY]  new  ConcurrentHashMap<String,  List<Locale>>();  [CLASS]  LocaleUtils  SyncAvoid  [VARIABLES]  	projects/Lang5/src/main/java/org/apache/commons/lang3/LocaleUtils.java	0.2773500981126146	42	43	1	replace	private  static  final  ConcurrentMap  <  String,  List  <  Locale  >>  cLanguagesByCountry  =  new  ConcurrentHashMap  <  String,  List  <  Locale  {  ();	private  static  final  ConcurrentMap<String,  List<Locale>>  cLanguagesByCountry  =  new  ConcurrentHashMap<String,  List<Locale>>();  	non-compiled	[CE]  >  expected	15	None
15	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  cLanguagesByCountry  [CONTEXT]    [BUGGY]    [BUGGY]  new  ConcurrentHashMap<String,  List<Locale>>();  [CLASS]  LocaleUtils  SyncAvoid  [VARIABLES]  	projects/Lang5/src/main/java/org/apache/commons/lang3/LocaleUtils.java	0.2773500981126146	42	43	1	replace	  	private  static  final  ConcurrentMap<String,  List<Locale>>  cLanguagesByCountry  =  new  ConcurrentHashMap<String,  List<Locale>>();  	non-compiled	[CE]  cannot  find  symbol  cLanguagesByCountry	15	None
23	[BUG]  [BUGGY]  final  char  ch3  =  str.charAt(1);  [CE]  cannot  find  symbol  ch1  [CONTEXT]  public  static  Locale  toLocale(final  String  str)  {  if  (str  ==  null)  {  return  null;  }  final  int  len  =  str.length();  if  (len  <  2)  {  throw  new  IllegalArgumentException( "Invalid  locale  format:   "  +  str);  }  final  char  ch0  =  str.charAt(0);  [BUGGY]  final  char  ch3  =  str.charAt(1);  [BUGGY]  if  (!Character.isLowerCase(ch0)  ||  !Character.isLowerCase(ch1))  {  throw  new  IllegalArgumentException( "Invalid  locale  format:   "  +  str);  }  if  (len  ==  2)  {  return  new  Locale(str);  }  if  (len  <  5)  {  throw  new  IllegalArgumentException( "Invalid  locale  format:   "  +  str);  }  if  (str.charAt(2)  !=  '_')  {  [CLASS]  LocaleUtils  SyncAvoid  [METHOD]  toLocale  [RETURN_TYPE]  Locale  String  str  [VARIABLES]  Set  AVAILABLE_LOCALE_SET  boolean  ConcurrentMap  cCountriesByLanguage  cLanguagesByCountry  char  ch0  ch1  ch3  ch4  List  AVAILABLE_LOCALE_LIST  String  str  int  len  	projects/Lang5/src/main/java/org/apache/commons/lang3/LocaleUtils.java	0.4472135954999579	97	97	1	replace	final  char  ch3  =  str.charAt(1);	final  char  ch1  =  str.charAt(1);  	non-compiled	[CE]  cannot  find  symbol  ch1	11	None
25	[BUG]  [BUGGY]    [CE]  cannot  find  symbol  ch1  [CONTEXT]  public  static  Locale  toLocale(final  String  str)  {  if  (str  ==  null)  {  return  null;  }  final  int  len  =  str.length();  if  (len  <  2)  {  throw  new  IllegalArgumentException( "Invalid  locale  format:   "  +  str);  }  final  char  ch0  =  str.charAt(0);  [BUGGY]    [BUGGY]  if  (!Character.isLowerCase(ch0)  ||  !Character.isLowerCase(ch1))  {  throw  new  IllegalArgumentException( "Invalid  locale  format:   "  +  str);  }  if  (len  ==  2)  {  return  new  Locale(str);  }  if  (len  <  5)  {  throw  new  IllegalArgumentException( "Invalid  locale  format:   "  +  str);  }  if  (str.charAt(2)  !=  '_')  {  [CLASS]  LocaleUtils  SyncAvoid  [METHOD]  toLocale  [RETURN_TYPE]  Locale  String  str  [VARIABLES]  Set  AVAILABLE_LOCALE_SET  boolean  ConcurrentMap  cCountriesByLanguage  cLanguagesByCountry  char  ch0  ch1  ch3  ch4  List  AVAILABLE_LOCALE_LIST  String  str  int  len  	projects/Lang5/src/main/java/org/apache/commons/lang3/LocaleUtils.java	0.4472135954999579	97	97	1	replace	  	final  char  ch1  =  str.charAt(1);  	non-compiled	[CE]  cannot  find  symbol  ch1	11	None
34	[BUG]  [BUGGY]  final  String  ch0  =  str.charAt(0);  [CE]  incompatible  types  [CONTEXT]  public  static  Locale  toLocale(final  String  str)  {  if  (str  ==  null)  {  return  null;  }  final  int  len  =  str.length();  if  (len  <  2)  {  throw  new  IllegalArgumentException( "Invalid  locale  format:   "  +  str);  }  [BUGGY]  final  String  ch0  =  str.charAt(0);  [BUGGY]  final  char  ch1  =  str.charAt(1);  if  (!Character.isLowerCase(ch0)  ||  !Character.isLowerCase(ch1))  {  throw  new  IllegalArgumentException( "Invalid  locale  format:   "  +  str);  }  if  (len  ==  2)  {  return  new  Locale(str);  }  if  (len  <  5)  {  throw  new  IllegalArgumentException( "Invalid  locale  format:   "  +  str);  }  [CLASS]  LocaleUtils  SyncAvoid  [METHOD]  toLocale  [RETURN_TYPE]  Locale  String  str  [VARIABLES]  Set  AVAILABLE_LOCALE_SET  boolean  ConcurrentMap  cCountriesByLanguage  cLanguagesByCountry  char  ch0  ch1  ch3  ch4  List  AVAILABLE_LOCALE_LIST  String  str  int  len  	projects/Lang5/src/main/java/org/apache/commons/lang3/LocaleUtils.java	0.4472135954999579	96	96	1	replace	final  String  ch0  =  str.charAt(0);	final  char  ch0  =  str.charAt(0);  	non-compiled	[CE]  incompatible  types	9	None
