projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,zipEncoding);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,null);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,CpioArchiveEntry.DEFAULT_ENCODING);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,CpioArchiveEntry.DEFAULT);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,CpioArchiveEntry.class);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,ZipEncoding.UTF8);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,READ_BYTES_BUF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,entryEOF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,FOUR_BYTES_BUF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,TWO_BYTES_BUF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,DEFAULT_ZIP_ENCODING);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE,null);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,zipEncoding,null);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,null,zipEncoding);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,null,encoding,BLOCK_SIZE);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,BLOCK_SIZE,encoding,null,entryEOF);
projects/Compress29/src/main/java/org/apache/commons/compress/archivers/cpio/CpioArchiveInputStream.java122this(in,encoding,BLOCK_SIZE,CpioArchiveEntry.class);
