projects/Closure26/src/com/google/javascript/jscomp/ProcessCommonJSModules.java99requiredFilename=requiredFilename.replaceAll("\\.js$","");
projects/Closure26/src/com/google/javascript/jscomp/ProcessCommonJSModules.java99if(requiredFilename!=null){requiredFilename=requiredFilename.replaceAll(".js$","");}
projects/Closure26/src/com/google/javascript/jscomp/ProcessCommonJSModules.java99if(requiredFilename.startsWith(".")){requiredFilename=requiredFilename.replaceAll(".js$","");}
projects/Closure26/src/com/google/javascript/jscomp/ProcessCommonJSModules.java99if(requiredFilename.equals("")){requiredFilename=requiredFilename.replaceAll(".js$","");}
projects/Closure26/src/com/google/javascript/jscomp/ProcessCommonJSModules.java99if(requiredFilename.endsWith(".js")){requiredFilename=requiredFilename.replaceAll(".js$","");}
projects/Closure26/src/com/google/javascript/jscomp/ProcessCommonJSModules.java99if(requiredFilename==null){requiredFilename=requiredFilename.replaceAll(".js$","");}
projects/Closure26/src/com/google/javascript/jscomp/ProcessCommonJSModules.java99if(requiredFilename.startsWith(".js")){requiredFilename=requiredFilename.replaceAll(".js$","");}
projects/Closure26/src/com/google/javascript/jscomp/ProcessCommonJSModules.java99if(requiredFilename.startsWith(".")||requiredFilename.startsWith(".."+File.separator)){requiredFilename=requiredFilename.replaceAll(".js$","");}
projects/Closure26/src/com/google/javascript/jscomp/ProcessCommonJSModules.java99
projects/Closure26/src/com/google/javascript/jscomp/ProcessCommonJSModules.java99if(requiredFilename.length()==0){requiredFilename=requiredFilename.replaceAll(".js$","");}
projects/Closure26/src/com/google/javascript/jscomp/ProcessCommonJSModules.java99if(requiredFilename!=null){requiredFilename=requiredFilename.replaceAll(".js$","");}else{compiler.reportCodeChange();}
projects/Closure26/src/com/google/javascript/jscomp/ProcessCommonJSModules.java99if(requiredFilename!=null){requiredFilename=requiredFilename.replaceAll(".js$","");}else{System.arraycopy(requiredFilename,0,currentFilename,0,requiredFilename.length());}
projects/Closure26/src/com/google/javascript/jscomp/ProcessCommonJSModules.java99if(requiredFilename.length()>0){requiredFilename=requiredFilename.replaceAll(".js$","");}
projects/Closure26/src/com/google/javascript/jscomp/ProcessCommonJSModules.java99if(requiredFilename.startsWith(".."+File.separator)){requiredFilename=requiredFilename.replaceAll(".js$","");}
