compilation error,60,add,[CE] illegal start of type,,  return sumX /(SingleDouble.MAX_VALUE);
compilation error,60,add,[CE] illegal start of type,,  return sumX /(SingleNode.MAX_VALUE);
compilation error,60,add,[CE] illegal start of type,,  return sumX /(SingleDouble.MAX_VALUE)* Math.MAX_VALUE;
compilation error,60,add,[CE] illegal start of type,,  return sumX /(Supported.EXPR_RESULT);
compilation error,60,add,[CE] illegal start of type,,  return sumX /(SingleDouble.MAX_VALUE)* Math.sqrt(0);
compilation error,69,add,[CE] variable sumYY is already defined in class SimpleRegression,,  private double sumYY = 0d;
compilation error,69,add,[CE] illegal start of type,,  return sumYY /(double)sumYY;
compilation error,69,add,[CE] illegal start of type,,  return sumYY /(Since)sumYY.doubleValue();
compilation error,69,add,[CE] illegal start of type,,  return sumYY /(Supported.doubleValue() * Math.sqrt(sumYY));
compilation error,69,add,[CE] illegal start of type,,  return sumYY /(Supported.doubleValue() * Math.PI);
compilation error,90,replace,[CE] illegal start of expression,} ,setSemiZero(false);
compilation error,90,replace,[CE] illegal start of expression,} ,setSemiZeroRegression(null);
compilation error,90,replace,[CE] illegal start of expression,} ,this.sumY = Double.NaN;
compilation error,90,replace,[CE] illegal start of expression,} ,setSemiZeroRegression(false);
compilation error,90,replace,[CE] illegal start of expression,} , 
compilation error,78,replace,[CE] cannot find symbol xbar,private double xbar = 0; , 
increase failing tests,72,replace, [FE] AssertionFailedError testCorr,private double sumXY = 0d; ,private double sumXY = 1d;
compilation error,72,replace,[CE] hexadecimal numbers must contain at least one hexadecimal digit,private double sumXY = 0d; ,private double sumXY = 0x;
compilation error,72,replace,[CE] cannot find symbol sumXY,private double sumXY = 0d; , 
compilation error,81,replace,[CE] cannot find symbol ybar,private double ybar = 0; , 
increase failing tests,60,replace, [FE] AssertionFailedError testSSENonNegative,private double sumX = 0d; ,private double sumX = 1d;
compilation error,60,replace,[CE] hexadecimal numbers must contain at least one hexadecimal digit,private double sumX = 0d; ,private double sumX = 0x;
compilation error,89,replace,[CE] cannot find symbol,super(); ,setSemiZero(false);
compilation error,89,replace,[CE] cannot find symbol,super(); ,setSemiZeroRegression(false);
compilation error,89,replace,[CE] cannot find symbol,super(); ,setSemiZeroElements(false);
compilation error,72,add,[CE] illegal start of type,,  return sumXY /(SingleDouble.MAX_VALUE);
compilation error,72,add,[CE] illegal start of type,,  return sumXY /(SingleDouble.parseDouble(0x));
compilation error,72,add,[CE] illegal start of type,,  return sumXY /(SingleDouble.parseDouble(0d));
