projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338g2.draw(line);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338line=newLine2D.Double(highVal,rectY+rectHeight*0.25,highVal,rectY+rectHeight*0.75);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338line=newLine2D.Double(highVal,rectY+rectWidth*0.25,highVal,rectY+rectHeight*0.75);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338g2.setStroke(getItemOutlineStroke(row,column));g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338g2.setStroke(getItemOutlineStroke(row,column));g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338g2.setPaint(getItemOutlinePaint(row,column));g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338g2.setPaint(getItemOutlinePaint(row,column));g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338g2.setPaint(getItemOutlinePaint(row,column));g2.setPaint(getItemIndicatorPaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338g2.draw(line);g2.draw(line);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338g2.draw(line);if(this.errorIndicatorPaint!=null){g2.draw(line);}else{line=newLine2D.Double(highVal,rectY+rectHeight*0.25,highVal,rectY+rectHeight*0.75);}
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338g2.draw(line);if(this.errorIndicatorPaint!=null){g2.draw(line);}else{line=newLine2D.Double(lowVal,rectY+rectHeight*0.25,highVal,rectY+rectHeight*0.75);}
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338line=newLine2D.Double(highVal,rectY+rectWidth*0.25,highVal,rectY+rectHeight*0.75);line=newLine2D.Double(highVal,rectY+rectWidth*0.25,highVal,rectY+rectHeight*0.75);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338line=newLine2D.Double(highVal,rectY+rectWidth*0.25,highVal,rectY+rectHeight*0.75);Line2Dline=newLine2D.Double(highVal,rectY+rectWidth*0.25,highVal,rectY+rectHeight*0.75);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338line=newLine2D.Double(highVal,rectY+rectWidth*0.25,highVal,rectY+rectHeight*0.75);g2.draw(line);line=newLine2D.Double(highVal,rectY+rectWidth*0.25,highVal,rectY+rectHeight*0.75);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338line=newLine2D.Double(highVal,rectY+rectWidth*2.0d,highVal,rectY+rectHeight*0.75);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338g2.setPaint(getItemOutlinePaint(row,column));g2.setPaint(getItemInlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338g2.draw(line);g2.draw(line);line=newLine2D.Double(highVal,rectY+rectHeight*0.25,highVal,rectY+rectHeight*0.75);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338g2.draw(line);g2.draw(line);line=newLine2D.Double(lowVal,rectY+rectHeight*0.25,highVal,rectY+rectHeight*0.75);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338line=newLine2D.Double(highVal,rectX+rectWidth*0.25,highVal,rectY+rectHeight*0.75);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338g2.draw(line);if(this.errorIndicatorPaint!=null){g2.draw(line);}
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338g2.draw(line);if(this.errorIndicatorStroke!=null){g2.draw(line);}
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java338line=newLine2D.Double(highVal,rectY+rectWidth*0.25,highVal,rectY+rectHeight*0.75);g2.draw(line);
