projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild(),locals)&&evaluatesToLocalValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisImmutableValue(value.getFirstChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild(),locals)&&isImmutableValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild(),locals)&&isImmutableValue(value.getBooleanProp(Node.INCRDECR_PROP));
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild(),locals)||evaluatesToLocalValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisImmutableValue(value.getFirstChild(),locals)&&evaluatesToLocalValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild(),locals)&&evaluatesToLocalValue(value.getLastChild(),locales);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild(),locales);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getLastChild(),locals)&&evaluatesToLocalValue(value.getBooleanProp(Node.INCRDECR_PROP));
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getLastChild(),locals)&&isImmutableValue(value.getBooleanProp(Node.INCRDECR_PROP));
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisImmutableValue(value.getFirstChild(),locals)&&isImmutableValue(value.getBooleanProp(Node.INCRDECR_PROP));
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisImmutableValue(value.getLastChild(),locals)&&isImmutableValue(value.getBooleanProp(Node.INCRDECR_PROP));
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild(),locales)&&evaluatesToLocalValue(value.getLastChild(),locales);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getLastChild(),locales);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisImmutableValue(value.getFirstChild(),locals)&&isImmutableValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getLastChild(),locals)&&isImmutableValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getLastChild(),locals)&&evaluatesToLocalValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisImmutableValue(value.getFirstChild(),locals)||evaluatesToLocalValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisImmutableValue(value.getLastChild(),locals)&&evaluatesToLocalValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisImmutableValue(value.getFirstChild(),locals)&&evaluatesToLocalValue(value.getLastChild(),locales);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild(),locales)&&evaluatesToLocalValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisImmutableValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild().getNext(),locals)&&evaluatesToLocalValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild().getNext(),locals)&&isImmutableValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild(),locals)||evaluatesToLocalValue(value.getLastChild(),locales);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getLastChild(),locals)&&evaluatesToLocalValue(value.getLastChild(),locales);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisImmutableValue(value)||locals.apply(value);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getLastChild(),locals)&&evaluatesToLocalValue(value.getFirstChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild(),locals)&&isImmutableValue(value.getLastChild(),locales);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild(),locals)||isImmutableValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisImmutableValue(value.getFirstChild(),locals)&&evaluationsToLocalValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisLocalValue(value.getFirstChild(),locals)&&evaluatesToLocalValue(value.getLastChild(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild().getNext(),locals);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnevaluatesToLocalValue(value.getFirstChild().getNext(),locales);
projects/Closure80/src/com/google/javascript/jscomp/NodeUtil.java2885returnisImmutableValue(value.getFirstChild().getNext(),locals)&&evaluatesToLocalValue(value.getLastChild(),locals);
