increase failing tests,895,add, [FE] ComparisonFailure testPrintWrapped,,  sb.append(' ');
increase failing tests,895,add, [FE] ComparisonFailure testPrintWrapped,,  sb.append(defaultWidth);
increase failing tests,807,add, [FE] ComparisonFailure testPrintWrapped,,  sb.append(rtrim(text.substring(0, pos))).append(defaultNewLine);
increase failing tests,807,add, [FE] ComparisonFailure testPrintWrapped,,  sb.append(rtrim(text.substring(0, pos))).append(defaultLeftPad);
increase failing tests,807,add, [FE] ComparisonFailure testPrintWrapped,,  sb.append(rtrim(text.substring(0, pos))).append(defaultLongOptPrefix);
increase failing tests,807,add, [FE] ComparisonFailure testPrintWrapped,,  sb.append(rtrim(text.substring(0, pos))).append(defaultOptPrefix);
increase failing tests,807,replace, [FE] ComparisonFailure testPrintWrapped,final String padding = createPadding(nextLineTabStop); ,final String padding = createPadding(defaultLeftPad);
increase failing tests,816,add, [FE] StringIndexOutOfBoundsException testPrintWrapped,,  sb.append(rtrim(text.substring(0, pos))).append(defaultNewLine);
increase failing tests,816,add, [FE] StringIndexOutOfBoundsException testPrintWrapped,,  text = padding + text.substring(pos).trim();
increase failing tests,816,add, [FE] StringIndexOutOfBoundsException testPrintWrapped,,  text = padding + text.substring(pos); pos = findWrapPos(text, width, nextLineTabStop);
increase failing tests,818,add, [FE] StringIndexOutOfBoundsException testPrintWrapped,,  sb.append(rtrim(text.substring(0, pos))).append(defaultNewLine);
increase failing tests,818,add, [FE] ComparisonFailure testPrintWrapped,,  sb.append(rtrim(text.substring(pos + 1))).append(defaultNewLine);
increase failing tests,811,add, [FE] ComparisonFailure testPrintWrapped,,  sb.append(rtrim(text.substring(0, pos))).append(defaultNewLine);
increase failing tests,895,replace, [FE] ComparisonFailure testPrintWrapped,for (int i = 0; i < len; ++i) { ,for(int i = 1; i < len; ++i) {
increase failing tests,803,add, [FE] ComparisonFailure testPrintWrapped,,  sb.append(rtrim(text));
increase failing tests,803,add, [FE] ComparisonFailure testPrintWrapped,,  sb.append(text);
increase failing tests,814,add, [FE] StringIndexOutOfBoundsException testPrintWrapped,,  sb.append(rtrim(text.substring(0, pos))).append(defaultNewLine);
increase failing tests,814,add, [FE] StringIndexOutOfBoundsException testPrintWrapped,,  text = padding + text.substring(pos).trim();
increase failing tests,812,add, [FE] StringIndexOutOfBoundsException testPrintWrapped,,  sb.append(rtrim(text.substring(0, pos))).append(defaultNewLine);
increase failing tests,812,add, [FE] ComparisonFailure testPrintWrapped,,  if(nextLineTabStop > 0) { sb.append(rtrim(text.substring(0, pos))).append(defaultNewLine); }
increase failing tests,811,replace, [FE] ComparisonFailure testPrintWrapped,text = padding + text.substring(pos).trim(); ,text = padding + text.substring(pos, width).trim();
increase failing tests,816,replace, [FE] ComparisonFailure testPrintWrapped,sb.append(text); ,sb.append(defaultNewLine);
increase failing tests,816,replace, [FE] StringIndexOutOfBoundsException testPrintWrapped,sb.append(text); ,sb.append(rtrim(text.substring(0, pos)+ 1)).append(defaultNewLine);
increase failing tests,814,replace, [FE] StringIndexOutOfBoundsException testPrintWrapped,if (pos == -1) { ,if(pos == nextLineTabStop) {
increase failing tests,814,replace, [FE] StringIndexOutOfBoundsException testPrintWrapped,if (pos == -1) { ,if(pos == (nextLineTabStop - 1)) {
increase failing tests,814,replace, [FE] StringIndexOutOfBoundsException testPrintWrapped,if (pos == -1) { ,if(pos!= -1) {
increase failing tests,816,replace, [FE] ComparisonFailure testPrintWrapped,sb.append(text); ,sb.append(rtrim(text.substring(nextLineTabStop))).append(defaultNewLine);
