bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
2	[BUG]  [BUGGY]  timeout  [CONTEXT]  protected  String  createPadding(int  len)  {  StringBuffer  sb  =  new  StringBuffer(len);  [BUGGY]    sb.append(defaultNewLine);  [BUGGY]  for  (int  i  =  0;  i  <  len;  ++i)  {  {  sb.append('  ');  }  return  sb.toString();  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  createPadding  [RETURN_TYPE]  String  int  len  [VARIABLES]  StringBuffer  sb  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  i  leftPad  len  max  nextLineTabStop  padding  pos  startPos  width  x  	projects/Cli8/src/java/org/apache/commons/cli/HelpFormatter.java	0.7071067811865475	895	896	1	add	    sb.append(defaultNewLine);		compilable	timeout	20	1
3	[BUG]  [BUGGY]    sb.append(defaultNewLine);  timeout  [CONTEXT]  protected  String  createPadding(int  len)  {  StringBuffer  sb  =  new  StringBuffer(len);  [BUGGY]    sb.append(defaultNewLine);  [BUGGY]  for  (int  i  =  0;  i  <  len;  ++i)  {  {  sb.append('  ');  }  return  sb.toString();  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  createPadding  [RETURN_TYPE]  String  int  len  [VARIABLES]  StringBuffer  sb  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  i  leftPad  len  max  nextLineTabStop  padding  pos  startPos  width  x  	projects/Cli8/src/java/org/apache/commons/cli/HelpFormatter.java	0.7071067811865475	895	896	1	replace	    sb.append(defaultNewLine);		compilable	timeout	20	1
3	[BUG]  [BUGGY]    sb.append(DefaultSyntaxPrefix).append('  ');  [CE]  cannot  find  symbol  DefaultSyntaxPrefix  [CONTEXT]  protected  String  createPadding(int  len)  {  StringBuffer  sb  =  new  StringBuffer(len);  [BUGGY]    sb.append(DefaultSyntaxPrefix).append('  ');  [BUGGY]  for  (int  i  =  0;  i  <  len;  ++i)  {  {  sb.append('  ');  }  return  sb.toString();  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  createPadding  [RETURN_TYPE]  String  int  len  [VARIABLES]  StringBuffer  sb  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  i  leftPad  len  max  nextLineTabStop  padding  pos  startPos  width  x  	projects/Cli8/src/java/org/apache/commons/cli/HelpFormatter.java	0.7071067811865475	895	896	1	replace	    sb.append(DefaultSyntaxPrefix).append('  ');		non-compiled	[CE]  cannot  find  symbol  DefaultSyntaxPrefix	20	None
5	[BUG]  [BUGGY]    sb.append(DefaultSyntaxPrefix);  [CE]  cannot  find  symbol  DefaultSyntaxPrefix  [CONTEXT]  protected  String  createPadding(int  len)  {  StringBuffer  sb  =  new  StringBuffer(len);  [BUGGY]    sb.append(DefaultSyntaxPrefix);  [BUGGY]  for  (int  i  =  0;  i  <  len;  ++i)  {  {  sb.append('  ');  }  return  sb.toString();  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  createPadding  [RETURN_TYPE]  String  int  len  [VARIABLES]  StringBuffer  sb  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  i  leftPad  len  max  nextLineTabStop  padding  pos  startPos  width  x  	projects/Cli8/src/java/org/apache/commons/cli/HelpFormatter.java	0.7071067811865475	895	896	1	replace	    sb.append(DefaultSyntaxPrefix);		non-compiled	[CE]  cannot  find  symbol  DefaultSyntaxPrefix	20	None
14	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testPrintWrapped  [CONTEXT]  if  (pos  ==  -1)  {  sb.append(rtrim(text));  return  sb;  }  sb.append(rtrim(text.substring(0,  pos))).append(defaultNewLine);    [BUGGY]    pos  =  findWrapPos(text,  width,  0);  [BUGGY]  final  String  padding  =  createPadding(nextLineTabStop);  while  (true)  {  text  =  padding  +  text.substring(pos).trim();  pos  =  findWrapPos(text,  width,  nextLineTabStop);  if  (pos  ==  -1)  {  sb.append(text);  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  renderWrappedText  [RETURN_TYPE]  StringBuffer  StringBuffer  sb  int  width  int  nextLineTabStop  String  text  [VARIABLES]  StringBuffer  sb  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  width  x  	projects/Cli8/src/java/org/apache/commons/cli/HelpFormatter.java	0.7071067811865475	807	807	1	add	    pos  =  findWrapPos(text,  width,  0);		compilable	  [FE]  ComparisonFailure  testPrintWrapped	6	1
15	[BUG]  [BUGGY]    pos  =  findWrapPos(text,  width,  0);  [FE]  ComparisonFailure  testPrintWrapped  [CONTEXT]  if  (pos  ==  -1)  {  sb.append(rtrim(text));  return  sb;  }  sb.append(rtrim(text.substring(0,  pos))).append(defaultNewLine);    [BUGGY]    pos  =  findWrapPos(text,  width,  0);  [BUGGY]  final  String  padding  =  createPadding(nextLineTabStop);  while  (true)  {  text  =  padding  +  text.substring(pos).trim();  pos  =  findWrapPos(text,  width,  nextLineTabStop);  if  (pos  ==  -1)  {  sb.append(text);  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  renderWrappedText  [RETURN_TYPE]  StringBuffer  StringBuffer  sb  int  width  int  nextLineTabStop  String  text  [VARIABLES]  StringBuffer  sb  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  width  x  	projects/Cli8/src/java/org/apache/commons/cli/HelpFormatter.java	0.7071067811865475	807	807	1	replace	    pos  =  findWrapPos(text,  width,  0);		compilable	  [FE]  ComparisonFailure  testPrintWrapped	6	1
21	[BUG]  [BUGGY]  final  String  padding  =  createPadding(defaultNewLine);  [CE]  method  createPadding  in  class  HelpFormatter  cannot  be  applied  to  given  types;  [CONTEXT]  if  (pos  ==  -1)  {  sb.append(rtrim(text));  return  sb;  }  sb.append(rtrim(text.substring(0,  pos))).append(defaultNewLine);    [BUGGY]  final  String  padding  =  createPadding(defaultNewLine);  [BUGGY]    while  (true)  {  text  =  padding  +  text.substring(pos).trim();  pos  =  findWrapPos(text,  width,  nextLineTabStop);  if  (pos  ==  -1)  {  sb.append(text);  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  renderWrappedText  [RETURN_TYPE]  StringBuffer  StringBuffer  sb  int  width  int  nextLineTabStop  String  text  [VARIABLES]  StringBuffer  sb  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  width  x  	projects/Cli8/src/java/org/apache/commons/cli/HelpFormatter.java	0.7071067811865475	807	807	1	replace	final  String  padding  =  createPadding(defaultNewLine);	final  String  padding  =  createPadding(nextLineTabStop);  	non-compiled	[CE]  method  createPadding  in  class  HelpFormatter  cannot  be  applied  to  given  types;	5	None
24	[BUG]  [BUGGY]  final  String  padding  =  createPadding(defaultLongOptPrefix);  [CE]  method  createPadding  in  class  HelpFormatter  cannot  be  applied  to  given  types;  [CONTEXT]  if  (pos  ==  -1)  {  sb.append(rtrim(text));  return  sb;  }  sb.append(rtrim(text.substring(0,  pos))).append(defaultNewLine);    [BUGGY]  final  String  padding  =  createPadding(defaultLongOptPrefix);  [BUGGY]    while  (true)  {  text  =  padding  +  text.substring(pos).trim();  pos  =  findWrapPos(text,  width,  nextLineTabStop);  if  (pos  ==  -1)  {  sb.append(text);  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  renderWrappedText  [RETURN_TYPE]  StringBuffer  StringBuffer  sb  int  width  int  nextLineTabStop  String  text  [VARIABLES]  StringBuffer  sb  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  app  cmdLineSyntax  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  dpad  footer  header  lpad  name  newline  padding  prefix  text  boolean  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  argPos  defaultDescPad  defaultLeftPad  defaultWidth  descPad  leftPad  max  nextLineTabStop  padding  pos  width  x  	projects/Cli8/src/java/org/apache/commons/cli/HelpFormatter.java	0.7071067811865475	807	807	1	replace	final  String  padding  =  createPadding(defaultLongOptPrefix);	final  String  padding  =  createPadding(nextLineTabStop);  	non-compiled	[CE]  method  createPadding  in  class  HelpFormatter  cannot  be  applied  to  given  types;	5	None
31	[BUG]  [BUGGY]    if(this.defaultNewLine!=  null)  {  String  defaultSyntaxPrefix  =  getDefaultSyntaxPrefix();  if(defaultWidth  >  this.defaultLeftPad)  {  return  newline;  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  String  getNewLine()  {  [BUGGY]    if(this.defaultNewLine!=  null)  {  String  defaultSyntaxPrefix  =  getDefaultSyntaxPrefix();  if(defaultWidth  >  this.defaultLeftPad)  {  return  newline;  }  [BUGGY]  return  this.defaultNewLine;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  getNewLine  [RETURN_TYPE]  String  [VARIABLES]  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  defaultDescPad  defaultLeftPad  defaultWidth  padding  width  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  newline  prefix  boolean  	projects/Cli8/src/java/org/apache/commons/cli/HelpFormatter.java	0.7071067811865475	225	225	1	replace	    if(this.defaultNewLine!=  null)  {  String  defaultSyntaxPrefix  =  getDefaultSyntaxPrefix();  if(defaultWidth  >  this.defaultLeftPad)  {  return  newline;  }		non-compiled	[CE]  illegal  start  of  expression	2	None
32	[BUG]  [BUGGY]    if(this.defaultNewLine!=  null)  {  String  defaultSyntaxPrefix  =  getDefaultSyntaxPrefix();  if(defaultSyntaxPrefix  ==  null)  {  return  newline;  }  [CE]  illegal  start  of  expression  [CONTEXT]  public  String  getNewLine()  {  [BUGGY]    if(this.defaultNewLine!=  null)  {  String  defaultSyntaxPrefix  =  getDefaultSyntaxPrefix();  if(defaultSyntaxPrefix  ==  null)  {  return  newline;  }  [BUGGY]  return  this.defaultNewLine;  }  [CLASS]  HelpFormatter  OptionComparator  [METHOD]  getNewLine  [RETURN_TYPE]  String  [VARIABLES]  int  DEFAULT_DESC_PAD  DEFAULT_LEFT_PAD  DEFAULT_WIDTH  defaultDescPad  defaultLeftPad  defaultWidth  padding  width  String  DEFAULT_ARG_NAME  DEFAULT_LONG_OPT_PREFIX  DEFAULT_OPT_PREFIX  DEFAULT_SYNTAX_PREFIX  defaultArgName  defaultLongOptPrefix  defaultNewLine  defaultOptPrefix  defaultSyntaxPrefix  newline  prefix  boolean  	projects/Cli8/src/java/org/apache/commons/cli/HelpFormatter.java	0.7071067811865475	225	225	1	replace	    if(this.defaultNewLine!=  null)  {  String  defaultSyntaxPrefix  =  getDefaultSyntaxPrefix();  if(defaultSyntaxPrefix  ==  null)  {  return  newline;  }		non-compiled	[CE]  illegal  start  of  expression	2	None
