text	label
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:293-if (plot == null) {	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:296-this.plot = plot;	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:297-}	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:1791-LegendItemCollection result = new LegendItemCollection();	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:1792-if (this.plot == null) {	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:1793-return result;	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:1795-int index = this.plot.getIndexOf(this);	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:1796-CategoryDataset dataset = this.plot.getDataset(index);	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:293-if (plot == null) {	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:296-this.plot = plot;	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:297-}	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:1791-LegendItemCollection result = new LegendItemCollection();	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:1792-if (this.plot == null) {	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:1793-return result;	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:1795-int index = this.plot.getIndexOf(this);	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:1796-CategoryDataset dataset = this.plot.getDataset(index);	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:1797-if (dataset != null) {	1
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:1798-return result;	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:249-protected AbstractCategoryItemRenderer() {	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:250-this.itemLabelGeneratorList = new ObjectList();	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:251-this.toolTipGeneratorList = new ObjectList();	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:252-this.urlGeneratorList = new ObjectList();	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:253-this.legendItemLabelGenerator	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:255-this.backgroundAnnotations = new ArrayList();	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:256-this.foregroundAnnotations = new ArrayList();	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:257-}	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:267-return 1;	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:280-return this.plot;	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:294-throw new IllegalArgumentException("Null 'plot' argument.");	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:317-CategoryItemLabelGenerator generator = (CategoryItemLabelGenerator)	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:319-if (generator == null) {	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:320-generator = this.baseItemLabelGenerator;	0
org.jfree.chart.renderer.category.AbstractCategoryItemRenderer:322-return generator;	0
