projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48}
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48setRelativeAccuracy(1.0e-15);
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48setRelativeAccuracy(1.0e-14);
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48setRelativeAccuracy(1.0e-12);
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48setRelativeAccuracy(1.0e-10);
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48setRelativeAccuracy(1.0e-11);
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48setRelativeAccuracy(1.0e-9);
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48setRelativeAccuracy(1.0e-7);
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48setRelativeAccuracy(1.0e-11);setRelativeAccuracy(1.0e-11);
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48setRelativeAccuracy(1.0e-11);setRelativeAccuracy(1.0e-12);
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48setRelativeAccuracy(1.0e-11);setRelativeAccuracy(1.0e-15);
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48setRelativeAccuracy(1.0e-11);setRelativeAccuracy(1.0e-10);
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48setRelativeAccuracy(1.0e-11);setRelativeAccuracy(1.0e-9);
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48setRelativeAccuracy(1.0e-9);setRelativeAccuracy(1.0e-9);
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48setRelativeAccuracy(1.0e-9);setRelativeAccuracy(1.0e-8);
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48setRelativeAccuracy(1.0e-9);setRelativeAccuracy(1.0e-10);
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48setRelativeAccuracy(1.0e-9);setRelativeAccuracy(0.0e-9);
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48setRelativeAccuracy(1.0e-5);
projects/Math66/src/main/java/org/apache/commons/math/optimization/univariate/BrentOptimizer.java48setRelativeAccuracy(1.0e-9);setRelativeAccuracy(1.0e-5);
