bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action1	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  if  (option  ==  null)  {  selected  =  null;  return;  }      [BUGGY]  if(selected  ==  null  ||  option.equals(option.getOpt()))  {  [BUGGY]  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	98	99	3	add	if(selected  ==  null  ||  option.equals(option.getOpt()))  {	if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	1	3
2	[BUG]  [BUGGY]  if(selected  ==  null  ||  option.equals(option.getOpt()))  {  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  if  (option  ==  null)  {  selected  =  null;  return;  }      [BUGGY]  if(selected  ==  null  ||  option.equals(option.getOpt()))  {  [BUGGY]  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	98	99	3	replace	if(selected  ==  null  ||  option.equals(option.getOpt()))  {	if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	1	3	replace
5	[BUG]  [BUGGY]    [CE]  illegal  start  of  type  [CONTEXT]  if  (option  ==  null)  {  selected  =  null;  return;  }      [BUGGY]    [BUGGY]  {  selected  =  option.getOpt();  }  else  {  throw  new  AlreadySelectedException(this,  option);  }  }  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	98	99	3	replace	  	if  (selected  ==  null  ||  selected.equals(option.getOpt()))  {  	non-compiled	[CE]  illegal  start  of  type	1	None	replace
21	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  public  OptionGroup  addOption(Option  option)  {    optionMap.put(option.getKey(),  option);  [BUGGY]    optionMap.put(option.getValue(),  option);  [BUGGY]  return  this;  }  [CLASS]  OptionGroup  [METHOD]  addOption  [RETURN_TYPE]  OptionGroup  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	57	57	3	add	    optionMap.put(option.getValue(),  option);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	16	3
22	[BUG]  [BUGGY]    optionMap.put(option.getValue(),  option);  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  public  OptionGroup  addOption(Option  option)  {    optionMap.put(option.getKey(),  option);  [BUGGY]    optionMap.put(option.getValue(),  option);  [BUGGY]  return  this;  }  [CLASS]  OptionGroup  [METHOD]  addOption  [RETURN_TYPE]  OptionGroup  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	57	57	3	replace	    optionMap.put(option.getValue(),  option);		compilable	  [FE]  ComparisonFailure  testOptionGroupLong	16	3	add
22	[BUG]  [BUGGY]    options.put(option.getValue(),  option);  [CE]  cannot  find  symbol  options  [CONTEXT]  public  OptionGroup  addOption(Option  option)  {    optionMap.put(option.getKey(),  option);  [BUGGY]    options.put(option.getValue(),  option);  [BUGGY]  return  this;  }  [CLASS]  OptionGroup  [METHOD]  addOption  [RETURN_TYPE]  OptionGroup  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	57	57	3	replace	    options.put(option.getValue(),  option);		non-compiled	[CE]  cannot  find  symbol  options	16	None	add
23	[BUG]  [BUGGY]    optionMap.put(option.getValue(),  option);  this.option  =  option;  [CE]  cannot  find  symbol  option  [CONTEXT]  public  OptionGroup  addOption(Option  option)  {    optionMap.put(option.getKey(),  option);  [BUGGY]    optionMap.put(option.getValue(),  option);  this.option  =  option;  [BUGGY]  return  this;  }  [CLASS]  OptionGroup  [METHOD]  addOption  [RETURN_TYPE]  OptionGroup  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	57	57	3	replace	    optionMap.put(option.getValue(),  option);  this.option  =  option;		non-compiled	[CE]  cannot  find  symbol  option	16	None	add
24	[BUG]  [BUGGY]    optionMap.put(option.getValue(),  value);  [CE]  cannot  find  symbol  value  [CONTEXT]  public  OptionGroup  addOption(Option  option)  {    optionMap.put(option.getKey(),  option);  [BUGGY]    optionMap.put(option.getValue(),  value);  [BUGGY]  return  this;  }  [CLASS]  OptionGroup  [METHOD]  addOption  [RETURN_TYPE]  OptionGroup  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	57	57	3	replace	    optionMap.put(option.getValue(),  value);		non-compiled	[CE]  cannot  find  symbol  value	16	None	add
32	[BUG]  [BUGGY]    Option  optionMap.put(option.getKey(),  option);  [CE]  ';'  expected  [CONTEXT]  public  void  setSelected(Option  option)  throws  AlreadySelectedException  {  [BUGGY]    Option  optionMap.put(option.getKey(),  option);  [BUGGY]  if  (option  ==  null)  {  {  selected  =  null;  return;  }    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	88	89	3	replace	    Option  optionMap.put(option.getKey(),  option);		non-compiled	[CE]  ';'  expected	20	None	add
34	[BUG]  [BUGGY]    String  selected  =  optionMap.get(option.getKey());  [CE]  incompatible  types  [CONTEXT]  public  void  setSelected(Option  option)  throws  AlreadySelectedException  {  [BUGGY]    String  selected  =  optionMap.get(option.getKey());  [BUGGY]  if  (option  ==  null)  {  {  selected  =  null;  return;  }    if  (selected  ==  null  ||  selected.equals(option.getOpt()))  [CLASS]  OptionGroup  [METHOD]  setSelected  [RETURN_TYPE]  void  Option  option  [VARIABLES]  Option  option  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.5773502691896257	88	89	3	replace	    String  selected  =  optionMap.get(option.getKey());		non-compiled	[CE]  incompatible  types	20	None	add
41	[BUG]  [BUGGY]  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  public  String  getSelected()  {  [BUGGY]  return  this.selected;  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  getSelected  [RETURN_TYPE]  String  [VARIABLES]  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	113	113	3	add	return  this.selected;	return  selected;  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	7	3
42	[BUG]  [BUGGY]  return  this.selected;  [FE]  ComparisonFailure  testOptionGroupLong  [CONTEXT]  public  String  getSelected()  {  [BUGGY]  return  this.selected;  [BUGGY]  }  [CLASS]  OptionGroup  [METHOD]  getSelected  [RETURN_TYPE]  String  [VARIABLES]  boolean  required  String  selected  Map  optionMap  long  serialVersionUID  	projects/Cli27/src/java/org/apache/commons/cli/OptionGroup.java	0.7071067811865476	113	113	3	replace	return  this.selected;	return  selected;  	compilable	  [FE]  ComparisonFailure  testOptionGroupLong	7	3	replace
