projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(),newRandomGenerator<FUNC>());
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(generator),newRandomGenerator<FUNC>());
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(),newRandomGenerator<FUNC>(),generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(generator),starts,generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this.optimizer=optimizer;
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this.optimizer=optimiser;
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this.optimizer=optimizationr;
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(newBaseUnivariateRealOptimizer<FUNC>(),starts,generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(newBaseUnivariateRealOptimizer<FUNC>(),newRandomGenerator<FUNC>());
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(newBaseUnivariateRealOptimizer<FUNC>(optimizer),starts,generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(optimizer,starts,generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newUnivariateRealPointValuePair[0],newRandomGenerator<FUNC>());
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newUnivariateRealPointValuePair<FUNC>(),newInteger(0));
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(generator,starts);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newUnivariateRealPointValuePair[0],newRandomGenerator<FUNC>(generator));
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(newBaseUnivariateRealOptimizer<FUNC>(),newRandomGenerator<FUNC>(),generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(newBaseUnivariateRealOptimizer<FUNC>(),generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(newBaseUnivariateRealOptimizer<FUNC>(),newRandomGenerator<FUNC>(),optimizer);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newUnivariateRealPointValuePair[0],newRandomGenerator<FUNC>(generator,starts));
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newUnivariateRealPointValuePair[0],newRandomGenerator<FUNC>(generator),true);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newUnivariateRealPointValuePair[0],newRandomGenerator<FUNC>(generator),generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newUnivariateRealPointValuePair[0],newRandomGenerator<FUNC>(generator),null);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(),generator,newRandomGenerator<FUNC>());
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(generator,initialEvaluations);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(generator,starts,generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(generator,starts,Generator.DEFAULT);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(generator,starts,generator.getOptimizer());
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this.optimizer=optimiza;
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(newBaseUnivariateRealOptimizer<FUNC>(generator),starts,starts);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(newBaseUnivariateRealOptimizer<FUNC>(generator),starts,optimizer);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(newBaseUnivariateRealOptimizer<FUNC>(generator),starts,options);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(newBaseUnivariateRealOptimizer<FUNC>(optimizer,starts,generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newUnivariateRealPointValuePair[0],newRandomGenerator<FUNC>(),generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newRandomGenerator<FUNC>[0],newUnivariateRealPointValuePair[0]);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(generator,starts,generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(generator,starts),generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(generator),starts,generater);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(newBaseUnivariateRealOptimizer<FUNC>(),generator,starts);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(newBaseUnivariateRealOptimizer<FUNC>(),optimizer,starts,generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(newBaseUnivariateRealOptimizer<FUNC>(),optimizer,starts);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73super(newBaseUnivariateRealOptimizer<FUNC>(),generater,starts);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newUnivariateRealPointValuePair<FUNC>(),newInteger(0),generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newUnivariateRealPointValuePair<FUNC>(),newInteger(0),starts);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newUnivariateRealPointValuePair<FUNC>(),newInteger(0),generater);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newUnivariateRealPointValuePair<FUNC>(),newInteger(1));
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(generator),generator,newRandomGenerator<FUNC>());
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(generator,starts),newRandomGenerator<FUNC>());
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(generator),newRandomGenerator<FUNC>(),generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(generator,starts,optimizer);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(optimizer,starts,generator,true);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(optimizer,starts,generator,maxEvaluations);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(optimizer,starts,generator,generator);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(),newRandomGenerator<FUNC>(),generator,maxEvaluations);
projects/Math62/src/main/java/org/apache/commons/math/optimization/univariate/MultiStartUnivariateRealOptimizer.java73this(newBaseUnivariateRealOptimizer<FUNC>(),newRandomGenerator<FUNC>(),optimizer);
