bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action2	[BUG]  [BUGGY]  [FE]  ClassCastException  testIssue780  [CONTEXT]  protected  void  computeGeometricalProperties()  {  final  Vector2D[][]  v  =  getVertices();  if  (v.length  ==  0)  {  final  BSPTree<Euclidean2D>  tree  =  getTree(false);  [BUGGY]  if(!(Boolean)tree.getAttribute())  {  [BUGGY]    setSize(Double.POSITIVE_INFINITY);  setBarycenter(Vector2D.NaN);  }  else  {  setSize(0);  setBarycenter(new  Vector2D(0,  0));  }  }  else  if  (v[0][0]  ==  null)  {  setSize(Double.POSITIVE_INFINITY);  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  computeGeometricalProperties  [RETURN_TYPE]  void  [VARIABLES]  BSPTree  tree  boolean  Vector2D  point  double  factor  sum  sumX  sumY  x0  x1  y0  y1  AVLTree  sorted  OrderedTuple  sortingKey  Vector2D[][]  v  vertices  Vector2D[]  loop  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	1.0	136	136	1	add	if(!(Boolean)tree.getAttribute())  {	if  ((Boolean)  tree.getAttribute())  {  	compilable	  [FE]  ClassCastException  testIssue780	7	1
3	[BUG]  [BUGGY]  if(!(Boolean)tree.getAttribute())  {  [FE]  ClassCastException  testIssue780  [CONTEXT]  protected  void  computeGeometricalProperties()  {  final  Vector2D[][]  v  =  getVertices();  if  (v.length  ==  0)  {  final  BSPTree<Euclidean2D>  tree  =  getTree(false);  [BUGGY]  if(!(Boolean)tree.getAttribute())  {  [BUGGY]    setSize(Double.POSITIVE_INFINITY);  setBarycenter(Vector2D.NaN);  }  else  {  setSize(0);  setBarycenter(new  Vector2D(0,  0));  }  }  else  if  (v[0][0]  ==  null)  {  setSize(Double.POSITIVE_INFINITY);  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  computeGeometricalProperties  [RETURN_TYPE]  void  [VARIABLES]  BSPTree  tree  boolean  Vector2D  point  double  factor  sum  sumX  sumY  x0  x1  y0  y1  AVLTree  sorted  OrderedTuple  sortingKey  Vector2D[][]  v  vertices  Vector2D[]  loop  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	1.0	136	136	1	replace	if(!(Boolean)tree.getAttribute())  {	if  ((Boolean)  tree.getAttribute())  {  	compilable	  [FE]  ClassCastException  testIssue780	7	1	replace
3	[BUG]  [BUGGY]  if((  boolean)tree.getAttribute())  {  [CE]  inconvertible  types  [CONTEXT]  protected  void  computeGeometricalProperties()  {  final  Vector2D[][]  v  =  getVertices();  if  (v.length  ==  0)  {  final  BSPTree<Euclidean2D>  tree  =  getTree(false);  [BUGGY]  if((  boolean)tree.getAttribute())  {  [BUGGY]    setSize(Double.POSITIVE_INFINITY);  setBarycenter(Vector2D.NaN);  }  else  {  setSize(0);  setBarycenter(new  Vector2D(0,  0));  }  }  else  if  (v[0][0]  ==  null)  {  setSize(Double.POSITIVE_INFINITY);  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  computeGeometricalProperties  [RETURN_TYPE]  void  [VARIABLES]  BSPTree  tree  boolean  Vector2D  point  double  factor  sum  sumX  sumY  x0  x1  y0  y1  AVLTree  sorted  OrderedTuple  sortingKey  Vector2D[][]  v  vertices  Vector2D[]  loop  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	1.0	136	136	1	replace	if((  boolean)tree.getAttribute())  {	if  ((Boolean)  tree.getAttribute())  {  	non-compiled	[CE]  inconvertible  types	7	None	replace
5	[BUG]  [BUGGY]    [CE]  illegal  start  of  type  [CONTEXT]  protected  void  computeGeometricalProperties()  {  final  Vector2D[][]  v  =  getVertices();  if  (v.length  ==  0)  {  final  BSPTree<Euclidean2D>  tree  =  getTree(false);  [BUGGY]    [BUGGY]    setSize(Double.POSITIVE_INFINITY);  setBarycenter(Vector2D.NaN);  }  else  {  setSize(0);  setBarycenter(new  Vector2D(0,  0));  }  }  else  if  (v[0][0]  ==  null)  {  setSize(Double.POSITIVE_INFINITY);  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  computeGeometricalProperties  [RETURN_TYPE]  void  [VARIABLES]  BSPTree  tree  boolean  Vector2D  point  double  factor  sum  sumX  sumY  x0  x1  y0  y1  AVLTree  sorted  OrderedTuple  sortingKey  Vector2D[][]  v  vertices  Vector2D[]  loop  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	1.0	136	136	1	replace	  	if  ((Boolean)  tree.getAttribute())  {  	non-compiled	[CE]  illegal  start  of  type	7	None	replace
11	[BUG]  [BUGGY]    SortedTuple  sortingKey  =  SortedTuple.sort(tree);  [CE]  cannot  find  symbol  [CONTEXT]  public  PolygonsSet(final  BSPTree<Euclidean2D>  tree)  {  [BUGGY]    SortedTuple  sortingKey  =  SortedTuple.sort(tree);  [BUGGY]  super(tree);  }  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  <init>  [RETURN_TYPE]  BSPTree)  Euclidean2D>  tree  [VARIABLES]  AVLTree  sorted  BSPTree  tree  OrderedTuple  sortingKey  boolean  Vector2D[][]  vertices  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	0.4082482904638631	63	63	1	replace	    SortedTuple  sortingKey  =  SortedTuple.sort(tree);		non-compiled	[CE]  cannot  find  symbol	16	None	add
12	[BUG]  [BUGGY]    SortedTuple  sortingKey  =  SortedTuple.sort(tree);  SortedTuple.sort(vertices[0],  vertices[1],  vertices[2],  vertices[3]);  [CE]  cannot  find  symbol  [CONTEXT]  public  PolygonsSet(final  BSPTree<Euclidean2D>  tree)  {  [BUGGY]    SortedTuple  sortingKey  =  SortedTuple.sort(tree);  SortedTuple.sort(vertices[0],  vertices[1],  vertices[2],  vertices[3]);  [BUGGY]  super(tree);  }  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  <init>  [RETURN_TYPE]  BSPTree)  Euclidean2D>  tree  [VARIABLES]  AVLTree  sorted  BSPTree  tree  OrderedTuple  sortingKey  boolean  Vector2D[][]  vertices  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	0.4082482904638631	63	63	1	replace	    SortedTuple  sortingKey  =  SortedTuple.sort(tree);  SortedTuple.sort(vertices[0],  vertices[1],  vertices[2],  vertices[3]);		non-compiled	[CE]  cannot  find  symbol	16	None	add
13	[BUG]  [BUGGY]    SortedTuple  sortingKey  =  SortedTuple.valueOf(true);  SortedTuple  sortingKey  =  SortedTuple.valueOf(tree);  [CE]  cannot  find  symbol  [CONTEXT]  public  PolygonsSet(final  BSPTree<Euclidean2D>  tree)  {  [BUGGY]    SortedTuple  sortingKey  =  SortedTuple.valueOf(true);  SortedTuple  sortingKey  =  SortedTuple.valueOf(tree);  [BUGGY]  super(tree);  }  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  <init>  [RETURN_TYPE]  BSPTree)  Euclidean2D>  tree  [VARIABLES]  AVLTree  sorted  BSPTree  tree  OrderedTuple  sortingKey  boolean  Vector2D[][]  vertices  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	0.4082482904638631	63	63	1	replace	    SortedTuple  sortingKey  =  SortedTuple.valueOf(true);  SortedTuple  sortingKey  =  SortedTuple.valueOf(tree);		non-compiled	[CE]  cannot  find  symbol	16	None	add
14	[BUG]  [BUGGY]    SortedTuple  sortingKey  =  SortedTuple.sort(tree);  SortedTuple.sort(vertices[0],  vertices[1],  vertices[2]);  [CE]  cannot  find  symbol  [CONTEXT]  public  PolygonsSet(final  BSPTree<Euclidean2D>  tree)  {  [BUGGY]    SortedTuple  sortingKey  =  SortedTuple.sort(tree);  SortedTuple.sort(vertices[0],  vertices[1],  vertices[2]);  [BUGGY]  super(tree);  }  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  <init>  [RETURN_TYPE]  BSPTree)  Euclidean2D>  tree  [VARIABLES]  AVLTree  sorted  BSPTree  tree  OrderedTuple  sortingKey  boolean  Vector2D[][]  vertices  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	0.4082482904638631	63	63	1	replace	    SortedTuple  sortingKey  =  SortedTuple.sort(tree);  SortedTuple.sort(vertices[0],  vertices[1],  vertices[2]);		non-compiled	[CE]  cannot  find  symbol	16	None	add
21	[BUG]  [BUGGY]  [FE]  ClassCastException  testIssue780  [CONTEXT]  protected  void  computeGeometricalProperties()  {  final  Vector2D[][]  v  =  getVertices();  if  (v.length  ==  0)  {  final  BSPTree<Euclidean2D>  tree  =  getTree(false);  [BUGGY]    final  BSPTree  <  Euclidean2D>  setSize  =  getTree(true);  [BUGGY]  if  ((Boolean)  tree.getAttribute())  {  setSize(Double.POSITIVE_INFINITY);  setBarycenter(Vector2D.NaN);  }  else  {  setSize(0);  setBarycenter(new  Vector2D(0,  0));  }  }  else  if  (v[0][0]  ==  null)  {  setSize(Double.POSITIVE_INFINITY);  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  computeGeometricalProperties  [RETURN_TYPE]  void  [VARIABLES]  BSPTree  tree  boolean  Vector2D  point  double  factor  sum  sumX  sumY  x0  x1  y0  y1  AVLTree  sorted  OrderedTuple  sortingKey  Vector2D[][]  v  vertices  Vector2D[]  loop  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	1.0	136	136	1	add	    final  BSPTree  <  Euclidean2D>  setSize  =  getTree(true);		compilable	  [FE]  ClassCastException  testIssue780	8	1
22	[BUG]  [BUGGY]    final  BSPTree  <  Euclidean2D>  setSize  =  getTree(true);  [FE]  ClassCastException  testIssue780  [CONTEXT]  protected  void  computeGeometricalProperties()  {  final  Vector2D[][]  v  =  getVertices();  if  (v.length  ==  0)  {  final  BSPTree<Euclidean2D>  tree  =  getTree(false);  [BUGGY]    final  BSPTree  <  Euclidean2D>  setSize  =  getTree(true);  [BUGGY]  if  ((Boolean)  tree.getAttribute())  {  setSize(Double.POSITIVE_INFINITY);  setBarycenter(Vector2D.NaN);  }  else  {  setSize(0);  setBarycenter(new  Vector2D(0,  0));  }  }  else  if  (v[0][0]  ==  null)  {  setSize(Double.POSITIVE_INFINITY);  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  computeGeometricalProperties  [RETURN_TYPE]  void  [VARIABLES]  BSPTree  tree  boolean  Vector2D  point  double  factor  sum  sumX  sumY  x0  x1  y0  y1  AVLTree  sorted  OrderedTuple  sortingKey  Vector2D[][]  v  vertices  Vector2D[]  loop  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	1.0	136	136	1	replace	    final  BSPTree  <  Euclidean2D>  setSize  =  getTree(true);		compilable	  [FE]  ClassCastException  testIssue780	8	1	add
23	[BUG]  [BUGGY]    final  Vector2D[][]  setSize  =  getTree(true);  [CE]  incompatible  types  [CONTEXT]  protected  void  computeGeometricalProperties()  {  final  Vector2D[][]  v  =  getVertices();  if  (v.length  ==  0)  {  final  BSPTree<Euclidean2D>  tree  =  getTree(false);  [BUGGY]    final  Vector2D[][]  setSize  =  getTree(true);  [BUGGY]  if  ((Boolean)  tree.getAttribute())  {  setSize(Double.POSITIVE_INFINITY);  setBarycenter(Vector2D.NaN);  }  else  {  setSize(0);  setBarycenter(new  Vector2D(0,  0));  }  }  else  if  (v[0][0]  ==  null)  {  setSize(Double.POSITIVE_INFINITY);  [CLASS]  PolygonsSet  ComparableSegment  SegmentsBuilder  [METHOD]  computeGeometricalProperties  [RETURN_TYPE]  void  [VARIABLES]  BSPTree  tree  boolean  Vector2D  point  double  factor  sum  sumX  sumY  x0  x1  y0  y1  AVLTree  sorted  OrderedTuple  sortingKey  Vector2D[][]  v  vertices  Vector2D[]  loop  	projects/Math32/src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java	1.0	136	136	1	replace	    final  Vector2D[][]  setSize  =  getTree(true);		non-compiled	[CE]  incompatible  types	8	None	add
