increase failing tests,308,replace, [FE] StringIndexOutOfBoundsException shouldParseShortOptionWithoutValue,int pos = token.indexOf("="); ,int pos = token.indexOf("-");
increase failing tests,308,replace, [FE] StringIndexOutOfBoundsException shouldParseShortOptionWithoutValue,int pos = token.indexOf("="); ,int pos = token.lastIndexOf("-");
compilation error,308,replace,[CE] cannot find symbol pos,int pos = token.indexOf("="); , 
increase failing tests,235,add, [FE] NullPointerException shouldParseShortOptionWithValue,,  token = currentOption.getValue();
compilation error,235,add,[CE] cannot find symbol,,  token = currentOption.getLongValue();
compilation error,235,add,[CE] cannot find symbol,,  token = currentOption.getValue(); if("-".equals(token)) { handleShortAndTrailingQuotes(token); }
increase failing tests,235,add, [FE] ComparisonFailure shouldParseShortOptionWithValue,,  token = currentOption.toString();
increase failing tests,235,add, [FE] NullPointerException shouldParseShortOptionWithValue,,  token = currentOption.getValue(); if("-".equals(token)) { throw new IllegalArgumentException(""); }
compilation error,235,replace,[CE] cannot find symbol,currentOption.addValueForProcessing(Util.stripLeadingAndTrailingQuotes(token)); ,currentOption.addValueForProcessing(Util.stripLeadingQuotes(token));
increase failing tests,235,replace, [FE] UnsupportedOperationException shouldParseShortOptionWithValue,currentOption.addValueForProcessing(Util.stripLeadingAndTrailingQuotes(token)); ,currentOption.addValue(Util.stripLeadingAndTrailingQuotes(token));
compilation error,235,replace,[CE] method addValueForProcessing in class Option cannot be applied to given types;,currentOption.addValueForProcessing(Util.stripLeadingAndTrailingQuotes(token)); ,currentOption.addValueForProcessing(Util.stripLeadingAndTrailingQuotes(token), skipParsing);
compilation error,252,add,[CE] cannot find symbol,,  currentOption = cmd.getOption(token);
compilation error,252,add,[CE] method addOption in class CommandLine cannot be applied to given types;,,  cmd.addOption(token);
compilation error,340,add,[CE] illegal start of expression,,  else if(getLongPrefix(token)!= null &&!token.startsWith("--")) { return true; >>
compilation error,309,replace,[CE] ';' expected,String optName = pos == -1 ? token.substring(1) : token.substring(1, pos); ,String optName = token.substring(pos + 1): token.substring(1, pos);
