projects/Gson4/gson/src/main/java/com/google/gson/stream/JsonWriter.java466beforeValue(false);
projects/Gson4/gson/src/main/java/com/google/gson/stream/JsonWriter.java466if(value==null){beforeValue(false);}else{thrownewIllegalArgumentException("");}
projects/Gson4/gson/src/main/java/com/google/gson/stream/JsonWriter.java466if(value!=null){beforeValue(false);}else{thrownewIllegalArgumentException("");}
projects/Gson4/gson/src/main/java/com/google/gson/stream/JsonWriter.java466if(value==null){beforeValue(false);}
projects/Gson4/gson/src/main/java/com/google/gson/stream/JsonWriter.java466if(value!=null){beforeValue(false);}
projects/Gson4/gson/src/main/java/com/google/gson/stream/JsonWriter.java466if(value==null){beforeValue(false);}else{writeDeferredName();}
projects/Gson4/gson/src/main/java/com/google/gson/stream/JsonWriter.java466if(value==null){beforeValue(false);}else{writeNull();}
projects/Gson4/gson/src/main/java/com/google/gson/stream/JsonWriter.java466if(value==null){beforeValue(false);}else{out.write("null");}
projects/Gson4/gson/src/main/java/com/google/gson/stream/JsonWriter.java466
projects/Gson4/gson/src/main/java/com/google/gson/stream/JsonWriter.java466if(value){beforeValue(false);}
projects/Gson4/gson/src/main/java/com/google/gson/stream/JsonWriter.java466if(value){beforeValue(false);}else{out.write("n");}
projects/Gson4/gson/src/main/java/com/google/gson/stream/JsonWriter.java466if(value){beforeValue(false);}else{out.write('n');}
projects/Gson4/gson/src/main/java/com/google/gson/stream/JsonWriter.java466if(value){beforeValue(false);}else{out.write(value);}
projects/Gson4/gson/src/main/java/com/google/gson/stream/JsonWriter.java466if(value){beforeValue(false);}else{out.write("null");}
projects/Gson4/gson/src/main/java/com/google/gson/stream/JsonWriter.java466if(value){beforeValue(false);}else{out.write("");}
projects/Gson4/gson/src/main/java/com/google/gson/stream/JsonWriter.java466if(value){beforeValue(false);}else{out.write(")");}
projects/Gson4/gson/src/main/java/com/google/gson/stream/JsonWriter.java466if(value!=null){beforeValue(false);}else{out.write("null");}
projects/Gson4/gson/src/main/java/com/google/gson/stream/JsonWriter.java466if(value!=null){beforeValue(false);}else{out.write('n');}
