FL_Ranking,Iteration,Time
2,0,6184.052517652512
2,1,6574.157030344009
2,2,7546.808651208878
2,2,7952.855078935623
2,2,7998.436007261276
2,2,8388.867260694504
2,2,9584.92629623413
3,1,10811.62452840805
3,1,11200.428653478622
3,1,11297.468896150589
3,1,11605.567166805267
3,1,11889.895852088928
3,2,12764.319303274155
3,2,13721.6451318264
3,2,13990.246925115585
3,2,14095.718238830566
3,2,15261.367206811905
3,2,16271.169975042343
3,2,16912.11613702774
3,2,17046.925872325897
3,2,20564.38081431389
4,0,21232.976873397827
4,1,22597.85732984543
4,1,22865.58076930046
4,1,22915.786302804947
4,2,23976.164503335953
4,2,25281.38403725624
4,2,28522.548235177994
4,2,28828.438061714172
4,2,29004.275295495987
4,2,29275.475197076797
4,2,29295.11980319023
4,2,29311.959072351456
4,2,29329.03527355194
4,2,29344.941690444946
4,2,29361.309342861176
4,2,29381.240806102753
4,2,29400.164909124374
4,2,29746.670306921005
4,2,30674.32946920395
4,2,31834.0703895092
