bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action2	[BUG]  [BUGGY]  timeout  [CONTEXT]   "invalid  bracketing  parameters:lower  bound={0},initial={1},  upper  bound={2} ",  lowerBound,  initial,  upperBound);  }  double  a  =  initial;  double  b  =  initial;  double  fa;  double  fb;  int  numIterations  =  0  ;  do  {  [BUGGY]  a  =  Math.max(a  +  1.0,  lowerBound);  [BUGGY]  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  fb  =  function.value(b);  numIterations++  ;  }  while  ((fa  *  fb  >  0.0)  &&  (numIterations  <  maximumIterations)  &&  ((a  >  lowerBound)  ||  (b  <  upperBound)));  if  (fa  *  fb  >=  0.0  )  {  throw  new  ConvergenceException(  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	189	189	1	add	a  =  Math.max(a  +  1.0,  lowerBound);	a  =  Math.max(a  -  1.0,  lowerBound);  	compilable	timeout	17	1
3	[BUG]  [BUGGY]  a  =  Math.max(a  +  1.0,  lowerBound);  timeout  [CONTEXT]   "invalid  bracketing  parameters:lower  bound={0},initial={1},  upper  bound={2} ",  lowerBound,  initial,  upperBound);  }  double  a  =  initial;  double  b  =  initial;  double  fa;  double  fb;  int  numIterations  =  0  ;  do  {  [BUGGY]  a  =  Math.max(a  +  1.0,  lowerBound);  [BUGGY]  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  fb  =  function.value(b);  numIterations++  ;  }  while  ((fa  *  fb  >  0.0)  &&  (numIterations  <  maximumIterations)  &&  ((a  >  lowerBound)  ||  (b  <  upperBound)));  if  (fa  *  fb  >=  0.0  )  {  throw  new  ConvergenceException(  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	189	189	1	replace	a  =  Math.max(a  +  1.0,  lowerBound);	a  =  Math.max(a  -  1.0,  lowerBound);  	compilable	timeout	17	1	replace
4	[BUG]  [BUGGY]  [FE]  MathException  testMath280  [CONTEXT]   "invalid  bracketing  parameters:lower  bound={0},initial={1},  upper  bound={2} ",  lowerBound,  initial,  upperBound);  }  double  a  =  initial;  double  b  =  initial;  double  fa;  double  fb;  int  numIterations  =  0  ;  do  {  [BUGGY]  a  =  Math.max(a  -  1.0,  lowerBound  +  1);  [BUGGY]  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  fb  =  function.value(b);  numIterations++  ;  }  while  ((fa  *  fb  >  0.0)  &&  (numIterations  <  maximumIterations)  &&  ((a  >  lowerBound)  ||  (b  <  upperBound)));  if  (fa  *  fb  >=  0.0  )  {  throw  new  ConvergenceException(  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	189	189	1	add	a  =  Math.max(a  -  1.0,  lowerBound  +  1);	a  =  Math.max(a  -  1.0,  lowerBound);  	compilable	  [FE]  MathException  testMath280	17	1
5	[BUG]  [BUGGY]  a  =  Math.max(a  -  1.0,  lowerBound  +  1);  [FE]  MathException  testMath280  [CONTEXT]   "invalid  bracketing  parameters:lower  bound={0},initial={1},  upper  bound={2} ",  lowerBound,  initial,  upperBound);  }  double  a  =  initial;  double  b  =  initial;  double  fa;  double  fb;  int  numIterations  =  0  ;  do  {  [BUGGY]  a  =  Math.max(a  -  1.0,  lowerBound  +  1);  [BUGGY]  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  fb  =  function.value(b);  numIterations++  ;  }  while  ((fa  *  fb  >  0.0)  &&  (numIterations  <  maximumIterations)  &&  ((a  >  lowerBound)  ||  (b  <  upperBound)));  if  (fa  *  fb  >=  0.0  )  {  throw  new  ConvergenceException(  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	189	189	1	replace	a  =  Math.max(a  -  1.0,  lowerBound  +  1);	a  =  Math.max(a  -  1.0,  lowerBound);  	compilable	  [FE]  MathException  testMath280	17	1	replace
11	[BUG]  [BUGGY]  return  bracket(function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE)+  1;  [CE]  bad  operand  types  for  binary  operator  '+'  [CONTEXT]  public  static  double[]  bracket(UnivariateRealFunction  function,  double  initial,  double  lowerBound,  double  upperBound)  throws  ConvergenceException,  FunctionEvaluationException  {  [BUGGY]  return  bracket(function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE)+  1;  [BUGGY]  Integer.MAX_VALUE  )  ;  }  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  initial  lowerBound  upperBound  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	127	128	1	replace	return  bracket(function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE)+  1;	return  bracket(  function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE  )  ;  	non-compiled	[CE]  bad  operand  types  for  binary  operator  '+'	3	None	replace
12	[BUG]  [BUGGY]  return  bracket(function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE)/  2;  [CE]  bad  operand  types  for  binary  operator  '/'  [CONTEXT]  public  static  double[]  bracket(UnivariateRealFunction  function,  double  initial,  double  lowerBound,  double  upperBound)  throws  ConvergenceException,  FunctionEvaluationException  {  [BUGGY]  return  bracket(function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE)/  2;  [BUGGY]  Integer.MAX_VALUE  )  ;  }  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  initial  lowerBound  upperBound  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	127	128	1	replace	return  bracket(function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE)/  2;	return  bracket(  function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE  )  ;  	non-compiled	[CE]  bad  operand  types  for  binary  operator  '/'	3	None	replace
13	[BUG]  [BUGGY]  return  bracket(function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE)/  2.0;  [CE]  bad  operand  types  for  binary  operator  '/'  [CONTEXT]  public  static  double[]  bracket(UnivariateRealFunction  function,  double  initial,  double  lowerBound,  double  upperBound)  throws  ConvergenceException,  FunctionEvaluationException  {  [BUGGY]  return  bracket(function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE)/  2.0;  [BUGGY]  Integer.MAX_VALUE  )  ;  }  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  initial  lowerBound  upperBound  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	127	128	1	replace	return  bracket(function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE)/  2.0;	return  bracket(  function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE  )  ;  	non-compiled	[CE]  bad  operand  types  for  binary  operator  '/'	3	None	replace
14	[BUG]  [BUGGY]  [FE]  MathException  testMath280  [CONTEXT]  public  static  double[]  bracket(UnivariateRealFunction  function,  double  initial,  double  lowerBound,  double  upperBound)  throws  ConvergenceException,  FunctionEvaluationException  {  [BUGGY]  return  bracket(function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE  -  1);  [BUGGY]  Integer.MAX_VALUE  )  ;  }  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  initial  lowerBound  upperBound  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	127	128	1	add	return  bracket(function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE  -  1);	return  bracket(  function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE  )  ;  	compilable	  [FE]  MathException  testMath280	3	1
15	[BUG]  [BUGGY]  return  bracket(function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE  -  1);  [FE]  MathException  testMath280  [CONTEXT]  public  static  double[]  bracket(UnivariateRealFunction  function,  double  initial,  double  lowerBound,  double  upperBound)  throws  ConvergenceException,  FunctionEvaluationException  {  [BUGGY]  return  bracket(function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE  -  1);  [BUGGY]  Integer.MAX_VALUE  )  ;  }  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  initial  lowerBound  upperBound  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	127	128	1	replace	return  bracket(function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE  -  1);	return  bracket(  function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE  )  ;  	compilable	  [FE]  MathException  testMath280	3	1	replace
15	[BUG]  [BUGGY]    [CE]  missing  return  statement  [CONTEXT]  public  static  double[]  bracket(UnivariateRealFunction  function,  double  initial,  double  lowerBound,  double  upperBound)  throws  ConvergenceException,  FunctionEvaluationException  {  [BUGGY]    [BUGGY]  Integer.MAX_VALUE  )  ;  }  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  initial  lowerBound  upperBound  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	127	128	1	replace	  	return  bracket(  function,  initial,  lowerBound,  upperBound,  Integer.MAX_VALUE  )  ;  	non-compiled	[CE]  missing  return  statement	3	None	replace
21	[BUG]  [BUGGY]  timeout  [CONTEXT]   "invalid  bracketing  parameters:lower  bound={0},initial={1},  upper  bound={2} ",  lowerBound,  initial,  upperBound);  }  double  a  =  initial;  double  b  =  initial;  double  fa;  double  fb;  int  numIterations  =  0  ;  do  {  [BUGGY]    a  =  Math.max(a  +  1.0,  lowerBound);  b  =  Math.min(b  +  1.0,  upperBound);  [BUGGY]  a  =  Math.max(a  -  1.0,  lowerBound);  b  =  Math.min(b  +  1.0,  upperBound);  fa  =  function.value(a);  fb  =  function.value(b);  numIterations++  ;  }  while  ((fa  *  fb  >  0.0)  &&  (numIterations  <  maximumIterations)  &&  ((a  >  lowerBound)  ||  (b  <  upperBound)));  if  (fa  *  fb  >=  0.0  )  {  throw  new  ConvergenceException(  [CLASS]  UnivariateRealSolverUtils  LazyHolder  [METHOD]  bracket  [RETURN_TYPE]  double[]  UnivariateRealFunction  function  double  initial  double  lowerBound  double  upperBound  int  maximumIterations  [VARIABLES]  UnivariateRealSolverFactory  FACTORY  UnivariateRealFunction  function  boolean  double  a  b  fa  fb  initial  lowerBound  upperBound  int  maximumIterations  numIterations  	projects/Math85/src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java	0.7071067811865475	189	189	1	add	    a  =  Math.max(a  +  1.0,  lowerBound);  b  =  Math.min(b  +  1.0,  upperBound);		compilable	timeout	18	1
