projects/Closure4/src/com/google/javascript/rhino/jstype/NamedType.java195super.resolveInternal(t,enclosing);
projects/Closure4/src/com/google/javascript/rhino/jstype/NamedType.java195super.resolveInternal(t,enclosing,propertyNode);
projects/Closure4/src/com/google/javascript/rhino/jstype/NamedType.java195super.resolveInternal(t,enclosing,type);
projects/Closure4/src/com/google/javascript/rhino/jstype/NamedType.java195super.resolveInternal(t,enclosing,forAnnotations);
projects/Closure4/src/com/google/javascript/rhino/jstype/NamedType.java195super.resolveInternal(t,enclosing,getReferencedType());
projects/Closure4/src/com/google/javascript/rhino/jstype/NamedType.java195super.resolveType(t,enclosing);
projects/Closure4/src/com/google/javascript/rhino/jstype/NamedType.java195super.resolveInternal(t,enclosing,registry);
projects/Closure4/src/com/google/javascript/rhino/jstype/NamedType.java195super.resolveInternal(t,propertyNode);
projects/Closure4/src/com/google/javascript/rhino/jstype/NamedType.java195
projects/Closure4/src/com/google/javascript/rhino/jstype/NamedType.java195super.resolveInternal(t,enclosing,false);
projects/Closure4/src/com/google/javascript/rhino/jstype/NamedType.java195super.resolveInternal(t,enclosing,getPropertyType());
projects/Closure4/src/com/google/javascript/rhino/jstype/NamedType.java195super.resolvePropertyInternal(t,enclosing);
projects/Closure4/src/com/google/javascript/rhino/jstype/NamedType.java195super.resolveInternal(t,enclosing,getPropertyName());
