projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>3;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>1;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>4;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>2;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>8;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd-3;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>1;_outputMaxContiguous=_outputEnd>>1;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>1;_outputMaxContiguous=_outputEnd>=1;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>1;_outputMaxContiguous=_outputEnd[Delete]1;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>1;_outputMaxContiguous=_outputEnd!=1;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputTail=ctxt.allocWriteEncodingBuffer();
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputTail=ctxt.allocOutputTailBuffer();
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputTail=ctxt.allocOutputBuffer();
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputTail=ctxt.allocOutputTail();
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>8;_outputMaxContiguous=_outputEnd>>8;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>8;_outputMaxContiguous=_outputEnd>=8;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>8;_outputMaxContiguous=_outputEnd[Delete]8;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>8;_outputMaxContiguous=_outputEnd!=8;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd-3;_outputMaxContiguous=_outputEnd-3;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd-3;_outputMinContiguous=_outputEnd-3;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd-3;_outputMaxContiguous=_outputEnd-4;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd-3;_outputmaxContiguous=_outputEnd-3;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd-1;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd+1;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd<<1;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd-2;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd-4;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>4;_outputMaxContiguous=_outputEnd>>4;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>4;_outputMaxContiguous=_outputEnd>=4;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>4;_outputMaxContiguous=_outputEnd!=4;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>4;_outputMaxContiguous=_outputEnd[Delete]4;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>2;_outputMaxContiguous=_outputEnd>>2;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>2;_outputMaxContiguous=_outputEnd>=2;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>2;_outputMaxContiguous=_outputEnd!=2;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>2;_outputMaxContiguous=_outputEnd[Delete]2;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113if(isEnabled(Feature.ESCAPE_NON_ASCII)){setHighestNonEscapedChar(127);}
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd>>1;_outputMaxContiguous=_outputEnd>>2;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd<<2;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113if(_outputTail>MAX_BYTES_TO_BUFFER){_outputMaxContiguous=out;_outputEnd=_outputBuffer.length;}
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113if(_outputTail>MAX_BYTES_TO_BUFFER){_outputEnd=_outputBuffer.length;}
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java113_outputMaxContiguous=_outputEnd-3;_outputMaxContiguous=_outputStart-3;
