name;suspiciousness_value
org.apache.commons.compress.archivers.sevenz$Coders#<clinit>():65;1.0
org.apache.commons.compress.archivers.sevenz$Coders#Coders():43;0.0
org.apache.commons.compress.archivers.sevenz$Coders#Coders():250;0.0
org.apache.commons.compress.archivers.sevenz$Coders#addDecoder(java.io.InputStream,org.apache.commons.compress.archivers.sevenz.Coder,byte[]):46;0.0
org.apache.commons.compress.archivers.sevenz$Coders#addDecoder(java.io.InputStream,org.apache.commons.compress.archivers.sevenz.Coder,byte[]):47;0.0
org.apache.commons.compress.archivers.sevenz$Coders#addDecoder(java.io.InputStream,org.apache.commons.compress.archivers.sevenz.Coder,byte[]):48;0.0
org.apache.commons.compress.archivers.sevenz$Coders#addDecoder(java.io.InputStream,org.apache.commons.compress.archivers.sevenz.Coder,byte[]):51;0.0
org.apache.commons.compress.archivers.sevenz$Coders#addEncoder(java.io.OutputStream,org.apache.commons.compress.archivers.sevenz.SevenZMethod,byte[]):57;0.0
org.apache.commons.compress.archivers.sevenz$Coders#addEncoder(java.io.OutputStream,org.apache.commons.compress.archivers.sevenz.SevenZMethod,byte[]):58;0.0
org.apache.commons.compress.archivers.sevenz$Coders#addEncoder(java.io.OutputStream,org.apache.commons.compress.archivers.sevenz.SevenZMethod,byte[]):59;0.0
org.apache.commons.compress.archivers.sevenz$Coders#addEncoder(java.io.OutputStream,org.apache.commons.compress.archivers.sevenz.SevenZMethod,byte[]):62;0.0
