projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90this.upperBound=upperBound;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90this.upperBound=lowerBound;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90this.lowerBound=lowerBound;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90this.lowerBound=upperBound;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90this.upperBound=lowerBound;this.upperBound=lowerBound;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90this.upperBound=lowerBound;this.upperBound=upperBound;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90this.lowerBound=lowerBound;this.lowerBound=lowerBound;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90this.lowerBound=lowerBound;this.lowerBound=upperBound;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90this.lowerBound=upperBound;this.lowerBound=upperBound;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90this.lowerBound=upperBound;this.lowerBound=lowerBound;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90this.upperBound=lowerBound+1;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90this.upperBound=lowerBound;this.lowerBound=lowerBound;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90this.lowerBound=lowerBound;this.lowerBound=lowBound;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90this.lowerBound=lowerBound+1;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90this.lowerBound=upperBound;this.upperBound=upperBound;
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90this.upperBound=Math.max(this.upperBound,upperBound);
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90this.upperBound=Math.max(this.upperBound,this.upperBound);
projects/Chart24/source/org/jfree/chart/renderer/GrayPaintScale.java90this.lowerBound=lowerBound;this.upperBound=lowerBound;
