compilation error,180,add,[CE] ';' expected, ,    Pattern  parsePattern  =  getParsePattern();  if(parsePattern!= null) { for(String id : tzNames.values()) { parsePattern = id; }
compilation error,379,replace,[CE] cannot find symbol,   Locale  locale  =  getLocale();  ,Locale locale = getDefaultLocale();
compilation error,180,replace,[CE] method getParsePattern in class FastDateParser cannot be applied to given types;, return  this.parsePattern;  ,parsePattern = getParsePattern(locale);
compilation error,436,add,[CE] variable longValues is already defined in method createKeyValues(String[],String[]), ,    Arrays.sort(fieldKeyValues,  IGNORE_CASE_COMPARATOR);  KeyValue[] longValues = new KeyValue[count(longValues)+ count(shortValues)];
increase failing tests,436,replace, [FE] IllegalArgumentException testLocales_Long_BC,   Arrays.sort(fieldKeyValues,  IGNORE_CASE_COMPARATOR);  ,KeyValue[] keyValues = new KeyValue[count(longValues)+ count(shortValues)];
compilation error,436,replace,[CE] method count in class FastDateParser cannot be applied to given types;,   Arrays.sort(fieldKeyValues,  IGNORE_CASE_COMPARATOR);  ,KeyValue[] keyValues = new KeyValue[count(longValues)+ count(0)];
compilation error,436,add,[CE] no suitable method found for sort(String[],Comparator<KeyValue>), ,    Arrays.sort(fieldKeyValues,  IGNORE_CASE_COMPARATOR);  Arrays.sort(longValues, IGNORE_CASE_COMPARATOR);
compilation error,380,replace,[CE] bad operand types for binary operator '+', KeyValue[]  fieldKeyValues  =  this.nameValues.get(fieldInt);  ,KeyValue[] fieldKeyValues = this.nameValues.get(fieldInt)+ 1;
compilation error,411,replace,[CE] cannot find symbol prior,   nameValues.put(fieldInt,  fieldKeyValues);  ,nameValues.put(fieldInt, prior);
compilation error,382,add,[CE] variable locale is already defined in method getDisplayNames(int), ,    Locale  locale  =  getLocale();  Locale locale = getLocale();
compilation error,436,replace,[CE] variable longValues is already defined in method createKeyValues(String[],String[]),   Arrays.sort(fieldKeyValues,  IGNORE_CASE_COMPARATOR);  ,KeyValue[] longValues = new KeyValue[count(longValues)+ count(shortValues)];
compilation error,411,add,[CE] cannot find symbol prior, ,    nameValues.put(fieldInt,  fieldKeyValues);  nameValues.put(fieldInt, prior);
compilation error,407,add,[CE] variable prior is already defined in method getDisplayNames(int), ,    prior  =  nameValues.get(fieldInt);  KeyValue[] prior = nameValues.get(fieldInt);
compilation error,411,add,[CE] unreachable statement, ,return(fieldKeyValues  ==  null)?  null  :  fieldKeyValues;  nameValues.put(fieldInt, fieldKeyValues);
compilation error,379,add,[CE] cannot find symbol, ,    Locale  locale  =  getLocale();  Locale nameValues = getNameValues();
compilation error,382,replace,[CE] cannot find symbol,   Locale  locale  =  getLocale();  ,Locale locale = getDefaultLocale();
compilation error,436,replace,[CE] method copy in class FastDateParser cannot be applied to given types;,   Arrays.sort(fieldKeyValues,  IGNORE_CASE_COMPARATOR);  ,if(fieldKeyValues == null) { Arrays.sort(fieldKeyValues, IGNORE_CASE_COMPARATOR); } else { copy(shortValues, 0, longValues, shortValues); }
compilation error,411,replace,[CE] cannot find symbol, return(fieldKeyValues  ==  null)?  null  :  fieldKeyValues;  ,return(fieldKeyValues == null)? null : fieldKeyValues.values();
compilation error,180,replace,[CE] cannot find symbol,   Pattern  parsePattern  =  getParsePattern();  ,Pattern parsePattern = getFormatPattern();
increase failing tests,379,replace, [FE] AssertionFailedError testLocales_Long_BC, Integer  fieldInt  =  Integer.valueOf(field)+  1;  ,Integer fieldInt = Integer.valueOf(0)+ 1;
compilation error,380,add,[CE] variable fieldKeyValues is already defined in method getDisplayNames(int), ,KeyValue[]  fieldKeyValues  =  this.nameValues.get(fieldInt);  KeyValue[] fieldKeyValues = this.nameValues.get(fieldInt);
compilation error,180,replace,[CE] cannot find symbol ParsePattern, return  this.parsePattern;  ,return ParsePattern.valueOf(this.parsePattern);
compilation error,434,replace,[CE] cannot find symbol fieldKeyValues,   KeyValue[]  strategies  =  new  KeyValue[count(longValues)+count(shortValues)];  ,KeyValue[] strategies = new KeyValue[count(shortValues)+count(longValues)];
compilation error,180,replace,[CE] cannot find symbol ParsePattern, return  this.formatPattern;  ,return ParsePattern.valueOf(this.formatPattern);
compilation error,379,add,[CE] variable fieldInt is already defined in method getDisplayNames(int), ,Integer  fieldInt  =  Integer.valueOf(field  +  1);  Integer fieldInt = Integer.valueOf(field + 1);
compilation error,436,add,[CE] no suitable method found for sort(String[],Comparator<KeyValue>), ,    Arrays.sort(fieldKeyValues,  IGNORE_CASE_COMPARATOR);  Arrays.sort(shortValues, IGNORE_CASE_COMPARATOR);
compilation error,436,replace,[CE] no suitable method found for sort(String[],Comparator<KeyValue>),   Arrays.sort(fieldKeyValues,  IGNORE_CASE_COMPARATOR);  ,Arrays.sort(longValues, IGNORE_CASE_COMPARATOR);
compilation error,411,replace,[CE] cannot find symbol, return(fieldKeyValues  ==  null)?  null  :  fieldKeyValues;  ,return(fieldKeyValues == null)? null : fieldKeyValues.trim();
compilation error,180,replace,[CE] cannot find symbol tz, return  this.parsePattern;  ,Pattern parsePattern =(Pattern)tz.getParsePattern();
compilation error,379,add,[CE] cannot find symbol Preconditions, ,    Locale  locale  =  getLocale();  Preconditions.checkNotNull(locale);
compilation error,380,replace,[CE] cannot find symbol keyValues, KeyValue[]  fieldKeyValues  =  this.nameValues.get(fieldInt);  ,KeyValue[] fieldKeyValues = this.keyValues.get(fieldInt);
compilation error,381,add,[CE] variable locale is already defined in method getDisplayNames(int), ,    Locale  locale  =  getLocale();  Locale locale = getLocale();
compilation error,411,add,[CE] cannot find symbol prior, ,    nameValues.put(fieldInt,  fieldKeyValues);  prior = nameValues.get(fieldInt);
compilation error,436,add,[CE] cannot find symbol keyValues, ,    Arrays.sort(fieldKeyValues,  IGNORE_CASE_COMPARATOR);  copy(keyValues, 0, longValues, shortValues);
compilation error,180,add,[CE] variable parsePattern is already defined in method getParsePattern(), ,    Pattern  parsePattern  =  getParsePattern();  Pattern parsePattern =(Pattern)this.strategies.getParsePattern();
compilation error,411,add,[CE] cannot find symbol prior, ,return(fieldKeyValues  ==  null)?  null  :  fieldKeyValues;  System.arraycopy(fieldKeyValues, fieldInt, prior, nameValues.length);
compilation error,411,replace,[CE] cannot find symbol previous,   nameValues.put(fieldInt,  fieldKeyValues);  ,nameValues.put(fieldInt, previous);
compilation error,382,add,[CE] variable locale is already defined in method getDisplayNames(int), ,    Locale  locale  =  getLocale();  Locale locale = tz.getLocale();
compilation error,379,replace,[CE] bad operand types for binary operator '+',   Locale  locale  =  getLocale();  ,Locale locale = getLocale() + 1;
compilation error,380,add,[CE] variable fieldKeyValues is already defined in method getDisplayNames(int), ,KeyValue[]  fieldKeyValues  =  this.nameValues.get(fieldInt);  KeyValue[] fieldKeyValues = getKeyValues(fieldInt);
