projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897xk=FastMath.pow(inv,-n);
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897doublexk=FastMath.pow(inv,-n);
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897xk=FastMath.pow(inv,-i);
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897function[i]=xk;
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897function[i]=inv;
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897xk=FastMath.pow(inv,-1);
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897function[i]=coefficient;
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897function[0]=inv;
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897xk=FastMath.pow(inv,-i);xk=FastMath.pow(inv,-i);
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897xk=FastMath.pow(inv,-i);xk=fastMath.pow(inv,-i);
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897doublexk=FastMath.pow(inv,-n+1);
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897doublexk=FastMath.pow(inv,-i);
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897function[i]=inv;function[i]=inv;
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897function[i]=inv;xk*=inv;
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897function[i]=inv;Function[i]=inv;
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897xk=FastMath.pow(inv,-1);xk=FastMath.pow(inv,-1);
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897xk=FastMath.pow(inv,-1);xk=FastMath.pow(inv,-n);
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897xk=FastMath.pow(inv,-n+1);
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897xk=FastMath.pow(inv,-n);xk=FastMath.pow(inv,-n);
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897xk=FastMath.pow(inv,-n);doublexk=FastMath.pow(inv,-n);
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897xk=FastMath.pow(inv,-1);xk=FastMath.pow(inv,-i);
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897xk=FastMath.pow(inv,-1);xk=FastMath.pow(inv,-2);
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897xk=FastMath.pow(inv,-i);doublexk=FastMath.pow(inv,-i);
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897function[i]=inv;xk=FastMath.pow(inv,-n);
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897function[i]=inv;xk=FastMath.pow(inv,-i);
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897function[i]=inv;doublefunction[i]=inv;
projects/Math10/src/main/java/org/apache/commons/math3/analysis/differentiation/DSCompiler.java897xk=FastMath.pow(inv,n);
