projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getLastChild(),ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,alias);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,globalNames);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE_REDEFINED),ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429NodeUtil.copyNameAnnotations(n.getFirstChild(),ref);parent.replaceChild(n,ref);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,newNode(Token.NAMESPACE));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,alias,originalName);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,UNSAFE_THIS);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,ref,alias,UNSAFE_THIS);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java429parent.replaceChild(n,alias,originalName);
