projects/Gson15/gson/src/main/java/com/google/gson/stream/JsonWriter.java494writeDeferredName();
projects/Gson15/gson/src/main/java/com/google/gson/stream/JsonWriter.java494if(value<0){writeDeferredName();}else{thrownewIllegalArgumentException("");}
projects/Gson15/gson/src/main/java/com/google/gson/stream/JsonWriter.java494if(values!=null){writeDeferredName();}else{thrownewIllegalArgumentException("");}
projects/Gson15/gson/src/main/java/com/google/gson/stream/JsonWriter.java494if(value<0.0){writeDeferredName();}else{thrownewIllegalArgumentException("");}
projects/Gson15/gson/src/main/java/com/google/gson/stream/JsonWriter.java494if(value>0.0){writeDeferredName();}else{thrownewIllegalArgumentException("");}
projects/Gson15/gson/src/main/java/com/google/gson/stream/JsonWriter.java494if(values==null){writeDeferredName();}else{thrownewIllegalArgumentException("");}
projects/Gson15/gson/src/main/java/com/google/gson/stream/JsonWriter.java494if(value<0){writeDeferredName();}else{out.append("n");}
projects/Gson15/gson/src/main/java/com/google/gson/stream/JsonWriter.java494if(values!=null){writeDeferredName();}
projects/Gson15/gson/src/main/java/com/google/gson/stream/JsonWriter.java494
projects/Gson15/gson/src/main/java/com/google/gson/stream/JsonWriter.java494if(value<0){writeDeferredName();}else{out.append(",");}
projects/Gson15/gson/src/main/java/com/google/gson/stream/JsonWriter.java494if(value<0){writeDeferredName();}else{out.append("'");}
projects/Gson15/gson/src/main/java/com/google/gson/stream/JsonWriter.java494if(value<0.0){writeDeferredName();}else{out.append("n");}
projects/Gson15/gson/src/main/java/com/google/gson/stream/JsonWriter.java494if(value<0){writeDeferredName();}else{out.append("null");}
projects/Gson15/gson/src/main/java/com/google/gson/stream/JsonWriter.java494if(value<0){writeDeferredName();}else{out.append('n');}
projects/Gson15/gson/src/main/java/com/google/gson/stream/JsonWriter.java494if(value<=0){writeDeferredName();}else{out.append("n");}
