projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-3;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-1;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-2;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-2;_charBufferLength=_charBuffer.length-2;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-2;(_charBufferLength=_charBuffer.length-2);
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-2;_charBufferLength=_charBuffer.length-3;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-2;_charBufferLength=_charBuffer.length-1;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-3;_charBufferLength=_charBuffer.length-3;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-3;(_charBufferLength=_charBuffer.length-3);
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-3;||_charBufferLength>_charBuffer.length-3;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-3;_charBufferLength=_charBuffer.length-4;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-1;_charBufferLength=_charBuffer.length-1;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-1;_charBufferLength=_charBuffer.length-2;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-1;(_charBufferLength=_charBuffer.length-1);
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-1;||_charBufferLength>_charBuffer.length-1;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_outputTail=ctxt.allocWriteEncodingBuffer();
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_outputTail=ctxt.allocWriteCharBuffer();
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_outputTail=ctxt.allocOutputBuffer();
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBuffer=ctxt.allocWriteCharBuffer();
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-4;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-2;_charBufferLength=_charBuffer.length-4;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-3;(_charBufferLength=_charBuffer.length-3;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_outputTail=ctxt.allocOutputTail();
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-1;_charBufferLength=_charBuffer.length-3;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-1;((_charBufferLength-_charBuffer.length-1)>=_charBuffer.length-1);
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-1;((_charBufferLength-_charBuffer.length-1)>=_charBufferRecyclable));
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_charBufferLength=_charBuffer.length-2;_charBufferLength=_charBuffer.length+2;
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115_outputTail=codec.allocWriteEncodingBuffer();
projects/JacksonCore17/src/main/java/com/fasterxml/jackson/core/json/UTF8JsonGenerator.java115if(_outputTail>MAX_BYTES_TO_BUFFER){_outputEnd=_outputBuffer.length;}
