projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java824NodenameNode=Node.newString(Token.NAME,propAlias);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java824NodenameNode=Node.newString(Token.NAME,propAlias,p.name);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java824NodenameNode=Node.newString(Token.NAME,propAlias,parent);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java824NodenameNode=Node.newString(Token.NAME,propAlias,addAfter);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java824NodenameNode=Node.newString(Token.NAME,propAlias,p.node);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java824NodenameNode=Node.newString(Token.NAME,propAlias,p.type);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java824NodenameNode=Node.newString(Token.NAME,propAlias,p.refs);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java824NodenameNode=Node.newString(Token.NAME,propAlias,false);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java824
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java824NodenameNode=Node.newString(Token.NAME,propAlias+1);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java824NodenameNode=Node.newString(Token.NAME,propAlias,appendAfter);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java824NodenameNode=Node.newString(Token.NAME,propAlias,p);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java824NodenameNode=Node.newString(Token.NAME,propAlias,getName());
