bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action2	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  verifyInterval(min,max);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	add	verifyInterval(min,max);	clearResult();  	compilable	  [FE]  NullPointerException  testMath369	5	1
3	[BUG]  [BUGGY]  verifyInterval(min,max);  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]  verifyInterval(min,max);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	replace	verifyInterval(min,max);	clearResult();  	compilable	  [FE]  NullPointerException  testMath369	5	1	replace
3	[BUG]  [BUGGY]  ensureInterval(min,max);  [CE]  cannot  find  symbol  [CONTEXT]    [BUGGY]  ensureInterval(min,max);  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	replace	ensureInterval(min,max);	clearResult();  	non-compiled	[CE]  cannot  find  symbol	5	None	replace
4	[BUG]  [BUGGY]  verifyResult();  [CE]  cannot  find  symbol  [CONTEXT]    [BUGGY]  verifyResult();  [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	replace	verifyResult();	clearResult();  	non-compiled	[CE]  cannot  find  symbol	5	None	replace
5	[BUG]  [BUGGY]  [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	add	  	clearResult();  	compilable	  [FE]  NullPointerException  testMath369	5	1
6	[BUG]  [BUGGY]    [FE]  NullPointerException  testMath369  [CONTEXT]    [BUGGY]    [BUGGY]  verifyInterval(min,max);  double  m;  double  fm;  double  fmin;  int  i  =  0;  while  (i  <  maximalIterationCount)  {  m  =  UnivariateRealSolverUtils.midpoint(min,  max);  fmin  =  f.value(min);  fm  =  f.value(m);  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  UnivariateRealFunction  f  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.5	79	79	1	replace	  	clearResult();  	compilable	  [FE]  NullPointerException  testMath369	5	1	replace
12	[BUG]  [BUGGY]    double  min  =  Math.min(min,  max);  solve(min,  max);  [CE]  variable  min  is  already  defined  in  method  solve(double,double)  [CONTEXT]    [BUGGY]    double  min  =  Math.min(min,  max);  solve(min,  max);  [BUGGY]  return  solve(f,  min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.7071067811865475	66	66	1	replace	    double  min  =  Math.min(min,  max);  solve(min,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(double,double)	4	None	add
13	[BUG]  [BUGGY]    double  min  =  solve(min,  max);  [CE]  variable  min  is  already  defined  in  method  solve(double,double)  [CONTEXT]    [BUGGY]    double  min  =  solve(min,  max);  [BUGGY]  return  solve(f,  min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.7071067811865475	66	66	1	replace	    double  min  =  solve(min,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(double,double)	4	None	add
14	[BUG]  [BUGGY]    double  min  =  Math.min(min,  max);  [CE]  variable  min  is  already  defined  in  method  solve(double,double)  [CONTEXT]    [BUGGY]    double  min  =  Math.min(min,  max);  [BUGGY]  return  solve(f,  min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.7071067811865475	66	66	1	replace	    double  min  =  Math.min(min,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(double,double)	4	None	add
15	[BUG]  [BUGGY]    double  min  =  Math.min(min,  max);  solveMin(min,  max);  [CE]  variable  min  is  already  defined  in  method  solve(double,double)  [CONTEXT]    [BUGGY]    double  min  =  Math.min(min,  max);  solveMin(min,  max);  [BUGGY]  return  solve(f,  min,  max);  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.7071067811865475	66	66	1	replace	    double  min  =  Math.min(min,  max);  solveMin(min,  max);		non-compiled	[CE]  variable  min  is  already  defined  in  method  solve(double,double)	4	None	add
23	[BUG]  [BUGGY]  return  solve(min,  f,  max);  [CE]  no  suitable  method  found  for  solve(double,UnivariateRealFunction,double)  [CONTEXT]    [BUGGY]  return  solve(min,  f,  max);  [BUGGY]  }  [CLASS]  BisectionSolver  [METHOD]  solve  [RETURN_TYPE]  double  double  min  double  max  	projects/Math70/src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java	0.7071067811865475	66	66	1	replace	return  solve(min,  f,  max);	return  solve(f,  min,  max);  	non-compiled	[CE]  no  suitable  method  found  for  solve(double,UnivariateRealFunction,double)	3	None	replace
