projects/Chart17/source/org/jfree/data/time/TimeSeries.java142}
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=newLinkedList<Comparable>();
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=newLinkedHashMap<String,Object>();
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=newArrayList<Comparable>();
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=Collections.binarySearch(this.data,name);
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=Collections.binarySearch(this.data,name,DEFAULT_DOMAIN_DESCRIPTION);
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=Collections.binarySearch(this.data,name,TimeSeries.class);
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=newArrayList<String,Object>();
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=Collections.binarySearch(this.data,name,Day.class);
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=newLinkedList<String,Object>();
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=Collections.binarySearch(this.data,name,this.timePeriodClass);
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=Collections.binarySearch(this.data,name,DEFAULT_DOMAIN_DESCRIPTION,this.timePeriodClass);
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=Collections.binarySearch(this.timePeriodClass,name);
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=Collections.binarySearch(this.data,DEFAULT_DOMAIN_DESCRIPTION,DEFAULT_RANGE_DESCRIPTION);
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=Collections.binarySearch(this.data,name,DEFAULT_DOMAIN_DESCRIPTION,Day.class);
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=Collections.binarySearch(this.data,name,Day.class,TimeSeries.class);
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=Collections.binarySearch(this.data,name,TimeSeries.class,timePeriodClass);
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=Collections.binarySearch(this.data,name,TimeSeries.class,TimePeriodClass);
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=Collections.binarySearch(this.data,name,Day.class,TimePeriodClass);
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=Collections.binarySearch(this.data,name,this.timePeriodClass,Day.class);
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=Collections.binarySearch(this.data,name,this.timePeriodClass,TimeSeries.class);
projects/Chart17/source/org/jfree/data/time/TimeSeries.java142this.data=Collections.binarySearch(this.data,name,DEFAULT_RANGE_DESCRIPTION);
