projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.reportCodeChange();
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNSAFE_THIS));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,NAMESPACE_REDEFINED_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNSAFE_THIS,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(n,NAMESPACE_REDEFINED_WARNING,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNSAFE_THIS,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNSAFE_THIS));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(compiler,n,UNSAFE_THIS,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNSAFE_NAMESPACE_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNSAFE_NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(nameMap,n,NAMESPACE_REDEFINED_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430writer.report(JSError.make(alias,n,UNSAFE_NAMESPACE_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430report(JSError.make(alias,n,UNSAFE_NAMESPACE_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNKNOWN_SYNTHETIC_WARNING,originalName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,NAMESPACE_REDEFINED_WARNING,UNSAFE_THIS));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,NAMESPACE_REDEFINED_WARNING,nameMap));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,NAMESPACE_REDEFINED_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,NAMESPACE_REDEFINED_WARNING,true));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNSAFE_THIS,originalName),NAMESPACE_REDEFINED_WARNING);
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNSAFE_THIS,originalName,isQName));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNSAFE_THIS,originalName,nameMap));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(alias,n,UNSAFE_THIS,originalName),NAMESPACE_REDEFINED_WARNING));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNSAFE_THIS,alias));
projects/Closure89/src/com/google/javascript/jscomp/CollapseProperties.java430compiler.report(JSError.make(sourceName,n,UNKNOWN_SYNTHETIC_WARNING,originalName));
