patch is same with buggy,1797,replace,, if(dataset!=  null)  {  return  result;  }  ,if(dataset!= null) { return result; }
compilation error,1797,replace,[CE] illegal start of type, if(dataset!=  null)  {  return  result;  }  ,if(dataset == null) { return result; }
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset instanceof CategoryDataset) { int columnCount = dataset.getColumnCount(); if(plot.getRenderingOrder().equals(SortOrder.ASCENDING)) { return result; }
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset instanceof CategoryDataset) { int columnCount = dataset.getColumnCount(); if(plot.getRenderingOrder().equals(SortOrder.ASCENDING)) } return result; }
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset instanceof CategoryDataset) { int columnCount = dataset.getColumnCount(); if(plot.getRenderingOrder().equals(SortOrder.ASCENDING))!= return result; }
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset!= null) { return result; >>
compilation error,1797,replace,[CE] cannot find symbol, if(dataset.getColumnCount()  >  0)  {  int  columnCount  =  dataset.getColumnCount();  if(plot.getRowRenderingOrder().equals(SortOrder.ASCENDING))  {  return  result;  }  ,if(dataset.getColumnCount() > 0) { int columnCount = dataset.getColumnCount(); if(plot.getRenderingOrder().equals(SortOrder.ASCENDING)) { return result; }
compilation error,1797,replace,[CE] cannot find symbol, if(dataset.getColumnCount()  >  0)  {  int  columnCount  =  dataset.getColumnCount();  if(plot.getRowRenderingOrder().equals(SortOrder.ASCENDING))  {  return  result;  }  ,if(dataset!= null) { int columnCount = dataset.getColumnCount(); if(plot.getRenderingOrder().equals(SortOrder.ASCENDING)) { return result; }
compilation error,1797,replace,[CE] illegal start of type, if(dataset!=  null)  {  return  result;  }  ,int rowCount = dataset.getRowCount(); if(plot.getRenderingOrder().equals(SortOrder.ASCENDING)) { return result; }
patch is same with buggy,1791,replace,, CategoryPlot  p  =(CategoryPlot)getPlot();  ,CategoryPlot p =(CategoryPlot)getPlot();
compilation error,1791,replace,[CE] cannot find symbol, CategoryPlot  p  =(CategoryPlot)getPlot();  ,CategoryPlot p =(CategoryPlot)this.plot.getPlot();
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset!= null) { int columnCount = dataset.getColumnCount(); if(plot.getRenderingOrder().equals(SortOrder.ASCENDING)) } return result; }
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset!= null) { int columnCount = dataset.getColumnCount(); if(plot.getRenderingOrder().equals(SortOrder.ASCENDING)) >> return result; }
patch is same with buggy,253,replace,, if(this.itemLabelGeneratorList!=  null)  {  this.itemLabelGeneratorList  =  new  ObjectList();  this.toolTipGeneratorList  =  new  ObjectList();  }  ,if(this.itemLabelGeneratorList!= null) { this.itemLabelGeneratorList = new ObjectList(); this.toolTipGeneratorList = new ObjectList(); }
patch is same with buggy,253,replace,, if(this.itemLabelGeneratorList!=  null)  {  this.itemLabelGeneratorList  =  new  ObjectList();  this.toolTipGeneratorList  =  new  ObjectList();  }  , 
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset.getColumnCount() > 0) { int columnCount = dataset.getColumnCount(); if(plot.getRenderingOrder().equals(SortOrder.ASCENDING)) } return result; }
patch is same with buggy,1796,replace,, CategoryPlot  c  =(CategoryPlot)getPlot();  ,CategoryPlot c =(CategoryPlot)getPlot();
compilation error,1796,replace,[CE] cannot find symbol, CategoryPlot  c  =(CategoryPlot)getPlot();  ,CategoryPlot c =(CategoryPlot)this.plot.getPlot();
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset == null) { int columnCount = dataset.getColumnCount(); if(plot.getRenderingOrder().equals(SortOrder.ASCENDING)) { return result; }
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset!= null) { int columnCount = dataset.getColumnCount(); if(plot.getRangeRenderingOrder().equals(SortOrder.ASCENDING)) { return result; }
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset!= null) { int rowCount = dataset.getRowCount(); if(plot.getRowRenderingOrder().equals(SortOrder.ASCENDING)) { result.add(row); }
patch is same with buggy,1797,replace,, if(dataset!=  null)  {  return  result;  }  ,if(dataset!= null) { return result; }
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset instanceof CategoryDataset) { int rowCount = dataset.getRowCount(); if(plot.getRowRenderingOrder().equals(SortOrder.ASCENDING)) { return result; }
compilation error,1797,add,[CE] method add in class LegendItemCollection cannot be applied to given types;, ,if(dataset!= null) { result.add(dataset); }
compilation error,1797,add,[CE] incompatible types, ,if(dataset!= null) { return dataset.getRowCount(); }
compilation error,1797,add,[CE] cannot find symbol, ,if(dataset!= null) { return dataset.getSeriesCount(); }
compilation error,1796,add,[CE] cannot find symbol, ,CategoryPlot c =(CategoryPlot)c.getPlot();
compilation error,1796,add,[CE] cannot find symbol c, ,CategoryPlot p =(CategoryPlot)c.getPlot();
compilation error,1797,replace,[CE] unreachable statement, if(dataset.getColumnCount()  >  0)  {  int  columnCount  =  dataset.getColumnCount();  if(plot.getRowRenderingOrder().equals(SortOrder.ASCENDING))  {  return  result;  }  ,int columnCount = dataset.getColumnCount(); if(plot.getRowRenderingOrder().equals(SortOrder.ASCENDING)) { return result;
patch is same with buggy,1796,replace,, CategoryPlot  c  =(CategoryPlot)getPlot();  ,CategoryPlot c =(CategoryPlot)getPlot();
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset!= null) { int rowCount = dataset.getRowCount(); if(plot.getColumnRenderingOrder().equals(SortOrder.ASCENDING)) { return result; }
patch is same with buggy,1791,replace,, CategoryPlot  p  =(CategoryPlot)getPlot();  ,CategoryPlot p =(CategoryPlot)getPlot();
patch is same with buggy,253,replace,, if(this.itemLabelGeneratorList!=  null)  {  this.itemLabelGeneratorList  =  new  ObjectList();  this.toolTipGeneratorList  =  new  ObjectList();  }  ,if(this.itemLabelGeneratorList!= null) { this.itemLabelGeneratorList = new ObjectList(); this.toolTipGeneratorList = new ObjectList(); }
compilation error,1797,add,[CE] illegal start of expression, ,[Delete]
compilation error,1797,add,[CE] illegal start of expression, ,if(isSeriesVisibleInLegend(i)) { if(dataset!= null) { int columnCount = dataset.getColumnCount(); if(plot.getRowRenderingOrder().equals(SortOrder.ASCENDING)) { return
patch is same with buggy,1797,replace,, if(dataset!=  null)  {  return  result;  }  ,if(dataset!= null) { return result; }
compilation error,1797,replace,[CE] illegal start of type, if(dataset!=  null)  {  return  result;  }  ,if(dataset!= null) { return dataset; }
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset!= null) { int rowCount = dataset.getRowCount(); if(isSeriesVisibleInLegend(i)) { result.add(row); }
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset!= null) { int rowCount = dataset.getRowCount(); if(!plot.getRowRenderingOrder().equals(SortOrder.ASCENDING)) { return result; }
patch is same with buggy,1791,replace,, CategoryPlot  p  =(CategoryPlot)getPlot();  ,CategoryPlot p =(CategoryPlot)getPlot();
compilation error,1791,replace,[CE] cannot find symbol, CategoryPlot  p  =(CategoryPlot)getPlot();  ,CategoryPlot p =(CategoryPlot)getPlotInfo();
compilation error,1797,add,[CE] cannot find symbol, ,int columnCount = dataset.getColumnCount(); if(dataset.getColumnRenderingOrder().equals(SortOrder.ASCENDING)) { return result; }
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset!= null) { int columnCount = dataset.getColumnCount(); if(isSeriesVisibleInLegend(column)) { result.add(column); }
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset!= null) { int rowCount = dataset.getRowCount(); if(dataset.getRowRenderingOrder().equals(SortOrder.ASCENDING)) { return result; }
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset!= null) { int columnCount = dataset.getColumnCount(); if(dataset.getRowRenderingOrder().equals(SortOrder.ASCENDING)) { return result; }
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset == null) { int columnCount = dataset.getColumnCount(); if(plot.getRowRenderingOrder().equals(SortOrder.ASCENDING)) { return result; }
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset!= null) { int columnCount = dataset.getColumnCount(); if(plot.getRowRenderingOrder().equals(SortOrder.ASSIGNING)) { return result; }
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset instanceof CategoryDataset) { int rowCount = dataset.getRowCount(); if(dataset.getRowRenderingOrder().equals(SortOrder.ASCENDING)) { return result; }
compilation error,1797,add,[CE] illegal start of expression, ,if(dataset instanceof CategoryDataset) { int rowCount = dataset.getRowCount(); if(dataset.getRowRenderingOrder().equals(SortOrder.ASCENDING)) { result.add(dataset); }
patch is same with buggy,1797,replace,, if(dataset.getColumnCount()  >  0)  {  int  columnCount  =  dataset.getColumnCount();  if(plot.getRowRenderingOrder().equals(SortOrder.ASCENDING))  {  return  result;  }  ,if(dataset.getColumnCount() > 0) { int columnCount = dataset.getColumnCount(); if(plot.getRowRenderingOrder().equals(SortOrder.ASCENDING)) { return result; }
patch is same with buggy,1796,replace,, CategoryPlot  c  =(CategoryPlot)getPlot();  ,CategoryPlot c =(CategoryPlot)getPlot();
