FL_Ranking,Iteration,Time
4,0,26569.53294801712
4,1,26877.201187610626
4,1,26906.25314593315
4,1,27129.035866737366
4,1,27355.419620513916
4,1,27434.426083803177
4,1,27573.180634975433
4,1,27765.037736415863
4,2,27859.43567633629
4,2,27986.957051753998
4,2,28015.69372868538
4,2,28081.61225771904
4,2,28263.408177375793
4,2,28441.181292057037
4,2,28768.630714416504
4,2,29004.91038918495
4,2,29034.677043676376
4,2,29170.1416182518
4,2,29863.221864938736
4,2,30248.99078154564
4,2,30393.338053703308
4,2,30442.35883617401
4,2,30471.481488227844
4,2,30592.667020082474
4,2,30845.418335437775
4,2,30872.289968252182
4,2,30914.811817884445
4,2,31267.887855768204
4,2,31384.387343883514
4,2,31415.16974425316
4,2,31605.97038960457
4,2,31642.138800382614
5,0,32060.81580710411
5,0,32113.752168893814
5,0,32180.43666267395
5,0,32208.72249174118
5,1,32475.388384342194
5,1,32502.201887845993
5,1,32616.377128124237
5,2,32960.12330007553
5,2,33321.35320138931
5,2,34093.40370178223
