projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setPaint(seriesPaint);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setStroke(getItemStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.fill(bar);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setPaint(errorIndicatorPaint);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setStroke(getItemStroke(row,column));g2.setStroke(getItemStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setStroke(getItemStroke(row,column));g2.setPaint(getItemPaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setPaint(seriesPaint);g2.setPaint(seriesPaint);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setPaint(seriesPaint);g2.setStroke(seriesStroke);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setPaint(seriesPaint);g2.setFont(seriesPaint);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setPaint(getItemOutlinePaint(row,column),bar);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setPaint(errorIndicatorPaint);g2.setPaint(errorIndicatorPaint);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setPaint(errorIndicatorPaint);g2.setStroke(errorIndicatorStroke);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setPaint(errorIndicatorPaint);g2.setFont(errorIndicatorPaint);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setPaint(getItemOutlinePaint(row,column));g2.setPaint(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setPaint(getItemOutlinePaint(row,column));g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setPaint(getItemPaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setPaint(this.errorIndicatorPaint);
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setPaint(getItemOutlinePaint(row,column));g2.setFont(getItemOutlinePaint(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setStroke(getItemOutlineStroke(row,column));
projects/Chart25/source/org/jfree/chart/renderer/category/StatisticalBarRenderer.java307g2.setPaint(getItemOutlinePaint(row,column));g2.setStroke(getItemOutlinePaint(row,column));
