bugid	buggy	buggy_class	suspiciousness	buggy_line	endbuggycode	original_failing_test_number	action	patch	original_buggy	execution_result	diagnosis	previous_bug_id	new_failing_test_number
this_action2	[BUG]  [BUGGY]    System.arraycopy(str,  0,  str.length()  -  1,  str.length());  [CE]  method  arraycopy  in  class  System  cannot  be  applied  to  given  types;  [CONTEXT]  public  static  File  createFile(final  String  str)  {  [BUGGY]    System.arraycopy(str,  0,  str.length()  -  1,  str.length());  [BUGGY]  return  new  File(str);  }  [CLASS]  TypeHandler  [METHOD]  createFile  [RETURN_TYPE]  File  String  str  [VARIABLES]  boolean  String  str  	projects/Cli39/src/main/java/org/apache/commons/cli/TypeHandler.java	0.8164965809277261	224	224	2	replace	    System.arraycopy(str,  0,  str.length()  -  1,  str.length());		non-compiled	[CE]  method  arraycopy  in  class  System  cannot  be  applied  to  given  types;	4	None	add
3	[BUG]  [BUGGY]    System.arraycopy(str,  0,  str.length(),  0,  str.length()));  [CE]  ';'  expected  [CONTEXT]  public  static  File  createFile(final  String  str)  {  [BUGGY]    System.arraycopy(str,  0,  str.length(),  0,  str.length()));  [BUGGY]  return  new  File(str);  }  [CLASS]  TypeHandler  [METHOD]  createFile  [RETURN_TYPE]  File  String  str  [VARIABLES]  boolean  String  str  	projects/Cli39/src/main/java/org/apache/commons/cli/TypeHandler.java	0.8164965809277261	224	224	2	replace	    System.arraycopy(str,  0,  str.length(),  0,  str.length()));		non-compiled	[CE]  ';'  expected	4	None	add
4	[BUG]  [BUGGY]    System.arraycopy(str,  0,  str.length()  -  1);  [CE]  method  arraycopy  in  class  System  cannot  be  applied  to  given  types;  [CONTEXT]  public  static  File  createFile(final  String  str)  {  [BUGGY]    System.arraycopy(str,  0,  str.length()  -  1);  [BUGGY]  return  new  File(str);  }  [CLASS]  TypeHandler  [METHOD]  createFile  [RETURN_TYPE]  File  String  str  [VARIABLES]  boolean  String  str  	projects/Cli39/src/main/java/org/apache/commons/cli/TypeHandler.java	0.8164965809277261	224	224	2	replace	    System.arraycopy(str,  0,  str.length()  -  1);		non-compiled	[CE]  method  arraycopy  in  class  System  cannot  be  applied  to  given  types;	4	None	add
5	[BUG]  [BUGGY]    System.arraycopy(str,  0,  str.length(),  0,  str.length);  [CE]  cannot  find  symbol  length  [CONTEXT]  public  static  File  createFile(final  String  str)  {  [BUGGY]    System.arraycopy(str,  0,  str.length(),  0,  str.length);  [BUGGY]  return  new  File(str);  }  [CLASS]  TypeHandler  [METHOD]  createFile  [RETURN_TYPE]  File  String  str  [VARIABLES]  boolean  String  str  	projects/Cli39/src/main/java/org/apache/commons/cli/TypeHandler.java	0.8164965809277261	224	224	2	replace	    System.arraycopy(str,  0,  str.length(),  0,  str.length);		non-compiled	[CE]  cannot  find  symbol  length	4	None	add
11	[BUG]  [BUGGY]    else  if(PatternOptionBuilder.WHOLE_VALUE  ==  clazz)  {  if(PatternOptionBuilder.LONG_VALUE  ==  clazz)  {  return  createLong(str);  }  [CE]  illegal  start  of  expression  [CONTEXT]  {  if  (PatternOptionBuilder.STRING_VALUE  ==  clazz)  {  return  str;  }  else  if  (PatternOptionBuilder.OBJECT_VALUE  ==  clazz)  {  return  createObject(str);  }  [BUGGY]    else  if(PatternOptionBuilder.WHOLE_VALUE  ==  clazz)  {  if(PatternOptionBuilder.LONG_VALUE  ==  clazz)  {  return  createLong(str);  }  [BUGGY]  else  if  (PatternOptionBuilder.NUMBER_VALUE  ==  clazz)  {  {  return  createNumber(str);  }  else  if  (PatternOptionBuilder.DATE_VALUE  ==  clazz)  {  return  createDate(str);  }  else  if  (PatternOptionBuilder.CLASS_VALUE  ==  clazz)  {  return  createClass(str);  [CLASS]  TypeHandler  [METHOD]  createValue  [RETURN_TYPE]  Object  String  str  Class<?>  clazz  [VARIABLES]  boolean  Class  clazz  String  str  	projects/Cli39/src/main/java/org/apache/commons/cli/TypeHandler.java	0.5773502691896258	74	75	2	replace	    else  if(PatternOptionBuilder.WHOLE_VALUE  ==  clazz)  {  if(PatternOptionBuilder.LONG_VALUE  ==  clazz)  {  return  createLong(str);  }		non-compiled	[CE]  illegal  start  of  expression	14	None	add
12	[BUG]  [BUGGY]    else  if(PatternOptionBuilder.WHOLE_VALUE  ==  clazz)  {  if(PatternOptionBuilder.SECOND_VALUE  ==  clazz)  {  return  createSecond(str);  }  [CE]  illegal  start  of  expression  [CONTEXT]  {  if  (PatternOptionBuilder.STRING_VALUE  ==  clazz)  {  return  str;  }  else  if  (PatternOptionBuilder.OBJECT_VALUE  ==  clazz)  {  return  createObject(str);  }  [BUGGY]    else  if(PatternOptionBuilder.WHOLE_VALUE  ==  clazz)  {  if(PatternOptionBuilder.SECOND_VALUE  ==  clazz)  {  return  createSecond(str);  }  [BUGGY]  else  if  (PatternOptionBuilder.NUMBER_VALUE  ==  clazz)  {  {  return  createNumber(str);  }  else  if  (PatternOptionBuilder.DATE_VALUE  ==  clazz)  {  return  createDate(str);  }  else  if  (PatternOptionBuilder.CLASS_VALUE  ==  clazz)  {  return  createClass(str);  [CLASS]  TypeHandler  [METHOD]  createValue  [RETURN_TYPE]  Object  String  str  Class<?>  clazz  [VARIABLES]  boolean  Class  clazz  String  str  	projects/Cli39/src/main/java/org/apache/commons/cli/TypeHandler.java	0.5773502691896258	74	75	2	replace	    else  if(PatternOptionBuilder.WHOLE_VALUE  ==  clazz)  {  if(PatternOptionBuilder.SECOND_VALUE  ==  clazz)  {  return  createSecond(str);  }		non-compiled	[CE]  illegal  start  of  expression	14	None	add
13	[BUG]  [BUGGY]    else  if(PatternOptionBuilder.WORD_VALUE  ==  clazz)  {  if(PatternOptionBuilder.SINGLE_VALUE  ==  clazz)  {  return  createSingle(str);  }  [CE]  illegal  start  of  expression  [CONTEXT]  {  if  (PatternOptionBuilder.STRING_VALUE  ==  clazz)  {  return  str;  }  else  if  (PatternOptionBuilder.OBJECT_VALUE  ==  clazz)  {  return  createObject(str);  }  [BUGGY]    else  if(PatternOptionBuilder.WORD_VALUE  ==  clazz)  {  if(PatternOptionBuilder.SINGLE_VALUE  ==  clazz)  {  return  createSingle(str);  }  [BUGGY]  else  if  (PatternOptionBuilder.NUMBER_VALUE  ==  clazz)  {  {  return  createNumber(str);  }  else  if  (PatternOptionBuilder.DATE_VALUE  ==  clazz)  {  return  createDate(str);  }  else  if  (PatternOptionBuilder.CLASS_VALUE  ==  clazz)  {  return  createClass(str);  [CLASS]  TypeHandler  [METHOD]  createValue  [RETURN_TYPE]  Object  String  str  Class<?>  clazz  [VARIABLES]  boolean  Class  clazz  String  str  	projects/Cli39/src/main/java/org/apache/commons/cli/TypeHandler.java	0.5773502691896258	74	75	2	replace	    else  if(PatternOptionBuilder.WORD_VALUE  ==  clazz)  {  if(PatternOptionBuilder.SINGLE_VALUE  ==  clazz)  {  return  createSingle(str);  }		non-compiled	[CE]  illegal  start  of  expression	14	None	add
14	[BUG]  [BUGGY]    else  if(PatternOptionBuilder.WORD_VALUE  ==  clazz)  {  if(PatternOptionBuilder.SINGLE_VALUE  ==  clazz)  {  return  createShort(str);  }  [CE]  illegal  start  of  expression  [CONTEXT]  {  if  (PatternOptionBuilder.STRING_VALUE  ==  clazz)  {  return  str;  }  else  if  (PatternOptionBuilder.OBJECT_VALUE  ==  clazz)  {  return  createObject(str);  }  [BUGGY]    else  if(PatternOptionBuilder.WORD_VALUE  ==  clazz)  {  if(PatternOptionBuilder.SINGLE_VALUE  ==  clazz)  {  return  createShort(str);  }  [BUGGY]  else  if  (PatternOptionBuilder.NUMBER_VALUE  ==  clazz)  {  {  return  createNumber(str);  }  else  if  (PatternOptionBuilder.DATE_VALUE  ==  clazz)  {  return  createDate(str);  }  else  if  (PatternOptionBuilder.CLASS_VALUE  ==  clazz)  {  return  createClass(str);  [CLASS]  TypeHandler  [METHOD]  createValue  [RETURN_TYPE]  Object  String  str  Class<?>  clazz  [VARIABLES]  boolean  Class  clazz  String  str  	projects/Cli39/src/main/java/org/apache/commons/cli/TypeHandler.java	0.5773502691896258	74	75	2	replace	    else  if(PatternOptionBuilder.WORD_VALUE  ==  clazz)  {  if(PatternOptionBuilder.SINGLE_VALUE  ==  clazz)  {  return  createShort(str);  }		non-compiled	[CE]  illegal  start  of  expression	14	None	add
15	[BUG]  [BUGGY]    else  if(PatternOptionBuilder.WHOLE_VALUE  ==  clazz)  {  if(PatternOptionBuilder.SINGLE_VALUE  ==  clazz)  {  return  createSingle(str);  }  [CE]  illegal  start  of  expression  [CONTEXT]  {  if  (PatternOptionBuilder.STRING_VALUE  ==  clazz)  {  return  str;  }  else  if  (PatternOptionBuilder.OBJECT_VALUE  ==  clazz)  {  return  createObject(str);  }  [BUGGY]    else  if(PatternOptionBuilder.WHOLE_VALUE  ==  clazz)  {  if(PatternOptionBuilder.SINGLE_VALUE  ==  clazz)  {  return  createSingle(str);  }  [BUGGY]  else  if  (PatternOptionBuilder.NUMBER_VALUE  ==  clazz)  {  {  return  createNumber(str);  }  else  if  (PatternOptionBuilder.DATE_VALUE  ==  clazz)  {  return  createDate(str);  }  else  if  (PatternOptionBuilder.CLASS_VALUE  ==  clazz)  {  return  createClass(str);  [CLASS]  TypeHandler  [METHOD]  createValue  [RETURN_TYPE]  Object  String  str  Class<?>  clazz  [VARIABLES]  boolean  Class  clazz  String  str  	projects/Cli39/src/main/java/org/apache/commons/cli/TypeHandler.java	0.5773502691896258	74	75	2	replace	    else  if(PatternOptionBuilder.WHOLE_VALUE  ==  clazz)  {  if(PatternOptionBuilder.SINGLE_VALUE  ==  clazz)  {  return  createSingle(str);  }		non-compiled	[CE]  illegal  start  of  expression	14	None	add
21	[BUG]  [BUGGY]    else  if(PatternOptionBuilder.STRING_VALUE  ==  clazz)  {  if(PatternOptionBuilder.OBJECT_VALUE  ==  clazz)  {  return  createString(str);  }  [CE]  illegal  start  of  expression  [CONTEXT]  {  if  (PatternOptionBuilder.STRING_VALUE  ==  clazz)  {  return  str;  }  [BUGGY]    else  if(PatternOptionBuilder.STRING_VALUE  ==  clazz)  {  if(PatternOptionBuilder.OBJECT_VALUE  ==  clazz)  {  return  createString(str);  }  [BUGGY]  else  if  (PatternOptionBuilder.OBJECT_VALUE  ==  clazz)  {  {  return  createObject(str);  }  else  if  (PatternOptionBuilder.NUMBER_VALUE  ==  clazz)  {  return  createNumber(str);  }  else  if  (PatternOptionBuilder.DATE_VALUE  ==  clazz)  {  return  createDate(str);  [CLASS]  TypeHandler  [METHOD]  createValue  [RETURN_TYPE]  Object  String  str  Class<?>  clazz  [VARIABLES]  boolean  Class  clazz  String  str  	projects/Cli39/src/main/java/org/apache/commons/cli/TypeHandler.java	0.5345224838248488	70	71	2	replace	    else  if(PatternOptionBuilder.STRING_VALUE  ==  clazz)  {  if(PatternOptionBuilder.OBJECT_VALUE  ==  clazz)  {  return  createString(str);  }		non-compiled	[CE]  illegal  start  of  expression	20	None	add
