projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=input.trim();
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=this.input.trim();
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=input.trim();}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=(input!=null)?null:input.trim();
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=input.trim();}else{thrownewIllegalArgumentException("");}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=String.valueOf(input.trim());
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=input.trim();}else{returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=String.valueOf(input.toLowerCase());
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=input.trim();}else{cleanInput=null;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=input.trim();}else{returnDoubleMetaphoneResult.UNKNOWN;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(input==null)?null:input.toUpperCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(String)this.cleanInput.toUpperCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(input==null)?null:input.toUpperCase(java.util.Locale.ENGLISH);cleanInput=input;
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){if(input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(String)this.cleanInput.toUpperCase(java.util.Locale.ENGLISH);cleanInput=input;
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(String)this.cleanInput.getValue();
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(input==null)?null:input.toLowerCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input==null){if(input.length()==0){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(String)this.cleanInput.toUpperCase(java.util.Locale.ENGLISH);if(input!=null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891Stringinput=(String)this.cleanInput.toUpperCase(java.util.Locale.ENGLISH);if(input==null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=input.trim();}else{returnDoubleMetaphoneResult.toUpperCase(java.util.Locale.ENGLISH);}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=this.input.toUpperCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){input=input.trim();}else{returnDoubleMetaphoneResult.toLowerCase(java.util.Locale.ENGLISH);}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=String.valueOf(input);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891input=this.input.toLowerCase(java.util.Locale.ENGLISH);
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input==null){returnnull;}
projects/Codec13/src/main/java/org/apache/commons/codec/language/DoubleMetaphone.java891if(input!=null){Stringinput=input.toUpperCase(java.util.Locale.ENGLISH);if(input==null){returnnewDoubleMetaphoneResult();}
