FL_Ranking,Iteration,Time
1,0,41.519160985946655
1,1,1169.9461166858673
1,2,5024.659648895264
1,2,5075.428235769272
1,2,5730.6008477211
1,2,9705.96073627472
1,2,9816.463228702545
1,2,10680.768013715744
1,2,16137.117680311203
1,2,17313.256972551346
1,2,23763.689162254333
1,2,23822.79466509819
1,2,28240.33647418022
1,2,31259.93544626236
1,2,31312.596171855927
1,2,32860.93566417694
1,2,32964.389471292496
1,2,34371.480305194855
1,2,35551.06219267845
1,2,39861.3376224041
1,2,39912.9832983017
1,2,40492.71389365196
1,2,41014.81382203102
1,2,42564.428726911545
1,2,42621.46313428879
