projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443h[2]=constraint.getHeight()-h[1]-h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443h[2]=constraint.getWidth()-h[1]-h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443h[2]=constraint.getHeight()-h[1]/h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443Size2Dsize=this.rightBlock.arrange(g2,c3);
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443Size2Dsize=this.rightBlock.arrange(g2,c2);
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443if(this.rightBlock!=null){Size2Dsize=this.rightBlock.arrange(g2,c2);w[2]=size.width;}
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443if(this.rightBlock!=null){Size2Dsize=this.rightBlock.arrange(g2,c2);w[1]=size.width;}
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[2]=constraint.getWidth()-h[1]-h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[2]=constraint.getWidth();
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443Size2Dsize=this.rightBlock.arrange(g2,c3);w[2]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443Size2Dsize=this.rightBlock.arrange(g2,c1);w[2]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443h[2]=constraint.getWidth()-h[1]-h[0];h[2]=constraint.getWidth()-h[1]-h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443h[2]=constraint.getWidth()-h[1]-h[0];w[2]=constraint.getWidth()-h[1]-h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443h[2]=constraint.getWidth()-h[1]-h[0];h[2]=constraint.getHeight()-h[1]-h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[2]=constraint.getWidth();w[2]=constraint.getWidth();
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[2]=constraint.getWidth();if(constraint.getWidth()!=LengthConstraintType.FIXED){w[2]=constraint.getWidth();}
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[2]=constraint.getWidth();if(constraint.getWidth()!=LengthConstraintType.RANGE){w[2]=constraint.getWidth();}
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443Size2Dsize=this.rightBlock.arrange(g2,c4);
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443Size2Dsize=this.rightBlock.arrange(g2,c3);w[1]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443Size2Dsize=this.rightBlock.arrange(g2,c3);w[1]=size.width;}
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443h[2]=constraint.getWidth()-h[1]/h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[2]=constraint.getHeight();
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[1]=constraint.getWidth();
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443h[2]=constraint.getHeight()-h[1]/h[0];h[2]=constraint.getHeight()-h[1]/h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443h[2]=constraint.getHeight()-h[1]/h[0];w[2]=constraint.getHeight()-h[1]/h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443Size2Dsize=this.rightBlock.arrange(g2,c1);
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[2]=constraint.getHeight()-h[1]-h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[2]=constraint.getWidth()-h[1]-h[0];w[2]=constraint.getWidth()-h[1]-h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[2]=constraint.getWidth()-h[1]-h[0];w[2]=constraint.getWidth()-h[0]-h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[2]=constraint.getWidth()-h[1]-h[0];h[2]=constraint.getWidth()-h[1]-h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443if(this.rightBlock!=null){Size2Dsize=this.rightBlock.arrange(g2,c2);h[1]=size.height;}
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443if(this.rightBlock!=null){Size2Dsize=this.rightBlock.arrange(g2,c3);w[2]=size.width;}
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443h[2]=constraint.getWidth()-h[1]-h[0];h[2]=constraint.getWidth()-h[0]-h[1];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[2]=constraint.getWidth();if(constraint!=null){Size2Dsize=this.rightBlock.arrange(g2,c2);w[2]=constraint.getWidth();}
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[2]=constraint.getWidth();if(constraint!=null){Size2Dsize=this.leftBlock.arrange(g2,c2);w[2]=constraint.getWidth();}
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443h[2]=constraint.getHeight()-h[1]/h[0];h[2]=constraint.getHeight()-h[0]/h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443h[2]=constraint.getHeight()-h[1]/h[0];h[2]=constraint.getHeight()+h[1]/h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443Size2Dsize=this.rightBlock.arrange(g2,c2);w[1]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[2]=constraint.getWidth()-h[1]-h[0];w[2]=constraint.getWidth()-h[0]-h[1];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[2]=constraint.getWidth()-h[1]-h[0];w[2]=constraint.getWidth()+h[1]-h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443h[2]=constraint.getWidth()-h[1]-h[0];h[2]=constraint.getWidth()-h[0]-h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443h[2]=constraint.getWidth()-h[1]-h[0];h[2]=constraint.getWidth()+h[1]-h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443if(this.rightBlock!=null){RectangleConstraintc1=newRectangleConstraint(0.0,constraint.getWidth(),LengthConstraintType.RANGE,h[2],null,LengthConstraintType.FI
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443if(this.rightBlock!=null){RectangleConstraintc1=newRectangleConstraint(0.0,constraint.getWidth(),LengthConstraintType.RANGE,h[2],null,LengthConstraintType.FIXED
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[2]=constraint.getWidth()-h[1]/h[0];
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[2]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[1]=size.width;
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[2]=constraint.getWidth();w[1]=constraint.getWidth();
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443w[2]=constraint.getWidth();w[3]=constraint.getWidth();
projects/Chart13/source/org/jfree/chart/block/BorderArrangement.java443if(this.rightBlock!=null){RectangleConstraintc1=newRectangleConstraint(0.0,constraint.getWidth(),LengthConstraintType.RANGE,h[2],null,LengthConstraintType.FIXED);Size2Dsize=this.leftBlock.arrange(g2,
