projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174doubleupper=getSupportUpperBound();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174Doubleupper=getSupportUpperBound();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174doubleupper=getSupportUpper();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174returnupper;
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174returnthis.supportUpperBound;
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174returnthis.upper;
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174doubleupper=this.getSupportUpperBound();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174returnthis.upportUpperBound;
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174returnthis.upper.getSupportUpperBound();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174doubleupper=this.getSupportUpperBound()+1;
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174Doubleupper=getSupportLowerBound();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174doubleupper=this.getSupportUpperBound();doubleupper=this.getSupportUpperBound();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174doubleupper=this.getSupportUpperBound();Doubleupper=this.getSupportUpperBound();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174returnthis.upper;this.upper;
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174returnthis.upper;doubleupper=this.upper.doubleValue();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174returnthis.upper;doubleupper=this.upper.getLowerBound();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174doubleupper=getSupportUpperBound()+1;
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174doubleupper=getSupportUpperBound();doubleupper=getSupportUpperBound();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174doubleupper=getSupportUpperBound();Doubleupper=getSupportUpperBound();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174doubleupper=getSupportUpperBound();doublelower=getSupportUpperBound();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174Doubleupper=getSupportUpperBound();Doubleupper=getSupportUpperBound();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174Doubleupper=getSupportUpperBound();doubleupper=getSupportUpperBound();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174Doubleupper=getSupportUpperBound();Doublelower=getSupportUpperBound();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174returnthis.upper;Doubleupper=getSupportUpperBound();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174returnthis.upper;this.upper=getSupportUpperBound();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174returnthis.lower;
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174doubleupper=getSupportLowerBound();
projects/Math22/src/main/java/org/apache/commons/math3/distribution/UniformRealDistribution.java174returnthis.upper;this.upper=Math.max(this.upper,this.inverseCumAccuracy);
