projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295appendUsage(buffer,helpSettings,comp,"|");
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295if(comp.isEnabled(Feature.AUTO_CLOSE_SOURCE)){for(inti=0;i<helpSettings.size();++i){buffer.append('[');}
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295if(comp.isEnabled(Feature.AUTO_CLOSE_SOURCE)){for(inti=0;i<helpSettings.size();++i){appendUsage(buffer,helpSettings,comp,"|");}
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295if(comp.isEnabled(Feature.AUTO_CLOSE_SOURCE)){for(inti=0;i<helpSettings.size();++i){appendUsage(buffer,helpSettings.get(i),"|");}
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295appendUsage(buffer,helpSettings,comp,null);
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295appendUsage(buffer,helpSettings,comp,prefixes,"|");
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295appendUsage(buffer,helpSettings,comp,this.prefixes);
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295appendUsage(buffer,helpSettings,comp,"n");
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295appendUsage(buffer,helpSettings,comp,newPrefixes);
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295if(comp!=null){buffer.append("n");}else{buffer.append("n");}
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295if(comp!=null){buffer.append("n");}else{buffer.append('n');}
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295if(comp!=null){System.arraycopy(buffer,0,buffer,helpSettings,prefixes);}else{buffer.append("n");}
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295if(comp!=null){System.arraycopy(buffer,0,buffer,helpSettings,prefixes);}else{buffer.append(",");}
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295if(comp!=null){System.err.println("UnabletoappendUsage:"+comp);}else{buffer.append("n");}
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295if(comp.isEnabled(Feature.AUTO_CLOSE_SOURCE)){buffer.append("n");}else{buffer.append('n');}
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295if(comp.isEnabled(Feature.AUTO_CLOSE_SOURCE)){buffer.append("n");}else{buffer.append("n");}
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295if(comp.isEnabled(Feature.AUTO_CLOSE_SOURCE)){buffer.append('n');}else{buffer.append(comp.getName());}
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295if(comp.hasArg()){buffer.append("n");}else{buffer.append('n');}
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295if(comp!=null){buffer.append(",");}else{buffer.append('n');}
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295appendUsage(buffer,helpSettings,comp,"/");
projects/Cli16/src/java/org/apache/commons/cli2/option/GroupImpl.java295appendUsage(buffer,helpSettings,comp,null,"null");
